dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-10,10,5242880,Phon,ses-5,72,0.007927966309957433,-0.004235663462972754,0.005235063348125281
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-20,20,10485760,Phon,ses-5,72,-0.0008720601036066951,-0.017558857692002355,-0.0004991899647504509
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-30,30,15728640,Phon,ses-5,72,-0.007911035643648149,-0.016059612433531698,-0.005214238245301335
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-50,50,26214400,Phon,ses-5,72,0.0009851326652266762,-0.009347231687320486,0.0006768158417782187
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-70,70,36700160,Phon,ses-5,72,-0.017029532489652218,-0.014121805903182585,-0.011388268729576852
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-100,100,52428800,Phon,ses-5,72,-0.0010773106575084266,-0.0023630069403215944,-0.000491227425435413
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-300,300,157286400,Phon,ses-5,72,-0.021633311223938384,-0.02274419720050839,-0.014369933451546416
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-640,640,335544320,Phon,ses-5,72,-0.03328154353176667,-0.03305074318967888,-0.022191597071010535
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1100,1100,576716800,Phon,ses-5,72,-0.03614903644441261,-0.037743788211885496,-0.023898030496525575
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1850,1850,969932800,Phon,ses-5,72,-0.0287451719889269,-0.025266003585510767,-0.019122344416575555
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-4000,4000,2097152000,Phon,ses-5,72,-0.024341732046903073,-0.01739033637776272,-0.01613394216133942
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-10,10,5242880,Phon,ses-7,72,0.0060728604110290765,-0.004458852259394952,0.004296096211975046
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-20,20,10485760,Phon,ses-7,72,0.002558091453415816,-0.01738625932529008,0.0018313840424587094
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-30,30,15728640,Phon,ses-7,72,-0.008645682837648373,-0.016245183832122645,-0.005779578536669024
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-50,50,26214400,Phon,ses-7,72,0.004854466856102569,-0.008967246308798141,0.0033087413369103508
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-70,70,36700160,Phon,ses-7,72,-0.021377935549645944,-0.014363761938688989,-0.014085119545277754
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-100,100,52428800,Phon,ses-7,72,-0.006523085346177385,-0.0031085064024150297,-0.004283233648466138
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-300,300,157286400,Phon,ses-7,72,-0.022727581292520622,-0.02440837967125826,-0.015051649317518503
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-640,640,335544320,Phon,ses-7,72,-0.03514522902428868,-0.03366196315215259,-0.02346009083419849
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1100,1100,576716800,Phon,ses-7,72,-0.036945432422961125,-0.03816078502658742,-0.024527071102413565
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1850,1850,969932800,Phon,ses-7,72,-0.02478671896733456,-0.02589499302741292,-0.016299317977882515
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-4000,4000,2097152000,Phon,ses-7,72,-0.022549640420781527,-0.017408258655266733,-0.01506267437195471
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-10,10,5242880,Phon,ses-9,72,0.007950965714678512,-0.004331903620821328,0.005320201268493763
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-20,20,10485760,Phon,ses-9,72,-0.0025347478301394684,-0.01718922491548753,-0.001772583752132276
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-30,30,15728640,Phon,ses-9,72,-0.016353657559833007,-0.016737344802842148,-0.011011579369673138
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-50,50,26214400,Phon,ses-9,72,-0.0020304971100534737,-0.009116460170695832,-0.0014283570525129468
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-70,70,36700160,Phon,ses-9,72,-0.02129377087909657,-0.014006024972061671,-0.013984669049303431
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-100,100,52428800,Phon,ses-9,72,0.001121612807224088,-0.0021438044923046172,0.0008348416220305087
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-300,300,157286400,Phon,ses-9,72,-0.020834704054378254,-0.024094800827056916,-0.013729867791222218
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-640,640,335544320,Phon,ses-9,72,-0.033075525492651935,-0.03393128623507809,-0.022045208848218686
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1100,1100,576716800,Phon,ses-9,72,-0.035179102573432174,-0.0373952564055898,-0.023413540604356735
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1850,1850,969932800,Phon,ses-9,72,-0.01949539349159101,-0.025351590780765213,-0.012880326096610101
ds003604,parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-4000,4000,2097152000,Phon,ses-9,72,-0.0189309490787179,-0.017102899251753175,-0.012569787063323625
