dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-10,10,5242880,Phon,ses-5,72,-0.01435442181844619,-0.018415964752414547,-0.009398246403841619
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-20,20,10485760,Phon,ses-5,72,-0.001396675052125307,-0.008001591857584534,-0.0007019284657717996
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-30,30,15728640,Phon,ses-5,72,0.00363783391800364,-0.010043637255738938,0.0022815737652704658
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-50,50,26214400,Phon,ses-5,72,0.008345705349470026,0.007528996461410094,0.00574221585219077
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-70,70,36700160,Phon,ses-5,72,-0.003682227332346691,-0.002778558171365926,-0.00233057400720916
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-100,100,52428800,Phon,ses-5,72,-0.01888986849848715,-0.020931794762775638,-0.012395223701417026
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-300,300,157286400,Phon,ses-5,72,-0.008876644146185653,-0.01040962029517956,-0.006134830290724561
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-640,640,335544320,Phon,ses-5,72,-0.015662588866101355,-0.01815544894852933,-0.010571802198273354
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1100,1100,576716800,Phon,ses-5,72,-0.026868875449585633,-0.02927593385672492,-0.017829963035442487
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1850,1850,969932800,Phon,ses-5,72,-0.007935171185187351,-0.01805997236765812,-0.00533980136526924
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-4000,4000,2097152000,Phon,ses-5,72,-0.0024654327049472694,-0.006789495833128342,-0.001890184332785143
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-10,10,5242880,Phon,ses-7,72,-0.011728625665271076,-0.01773124241806391,-0.007645875251509054
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-20,20,10485760,Phon,ses-7,72,0.001292108784949425,-0.007525558012783923,0.0012844188418180314
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-30,30,15728640,Phon,ses-7,72,0.003726958497672991,-0.01006493167631104,0.00248186225419488
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-50,50,26214400,Phon,ses-7,72,0.0017868183990681723,0.007801258255993135,0.0013769067984773173
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-70,70,36700160,Phon,ses-7,72,-0.008711016094333791,-0.002617046675262325,-0.005831028790704654
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-100,100,52428800,Phon,ses-7,72,-0.021360424239093113,-0.02128355841566018,-0.01418924505939748
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-300,300,157286400,Phon,ses-7,72,-0.010041468957930531,-0.00972417307090839,-0.006751620836127878
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-640,640,335544320,Phon,ses-7,72,-0.01978771409311718,-0.01787985195302554,-0.01308612711275262
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1100,1100,576716800,Phon,ses-7,72,-0.028285683334789077,-0.02882024649258874,-0.018740755032477973
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1850,1850,969932800,Phon,ses-7,72,-0.005655839990629781,-0.017361266999199692,-0.0038103813137577366
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-4000,4000,2097152000,Phon,ses-7,72,-0.003893356190595194,-0.006024722843359859,-0.0028254764507899756
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-10,10,5242880,Phon,ses-9,72,-0.012338330147137873,-0.01722023849725818,-0.007872501370475517
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-20,20,10485760,Phon,ses-9,72,0.0016319732270113358,-0.007257152205770596,0.0014828698216697443
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-30,30,15728640,Phon,ses-9,72,0.0018260866218951866,-0.009817857217533385,0.0011515056855593224
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-50,50,26214400,Phon,ses-9,72,-0.012720338725718212,0.008080879014186245,-0.00849664195216964
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-70,70,36700160,Phon,ses-9,72,-0.014253054124943595,-0.002370386176430461,-0.009654272667971298
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-100,100,52428800,Phon,ses-9,72,-0.021206717359711743,-0.021117528893895867,-0.01410104462390783
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-300,300,157286400,Phon,ses-9,72,-0.017992820571072883,-0.009409258012550032,-0.01222617286672853
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-640,640,335544320,Phon,ses-9,72,-0.019848104687541338,-0.01665184684818519,-0.01322455279622943
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1100,1100,576716800,Phon,ses-9,72,-0.02507924509392713,-0.028184982770089385,-0.01690937099001926
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1850,1850,969932800,Phon,ses-9,72,-0.007554172266461193,-0.017181669694090514,-0.005130937834005555
ds003604,parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-4000,4000,2097152000,Phon,ses-9,72,-0.0004659864081602563,-0.005773096962120516,-0.00048448989216884255
