dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step0,0,0,Phon,ses-5,72,-0.0029703812041922757,-0.021654463368667606,-0.00207761025820065
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step1,1,2097152,Phon,ses-5,72,-0.0029703812041922757,-0.021654463368667606,-0.00207761025820065
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step4,4,8388608,Phon,ses-5,72,-0.006508145254811935,-0.022061268597085897,-0.004418596816821783
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step16,16,33554432,Phon,ses-5,72,-0.012309353987251503,-0.017526045850562492,-0.007922114115438444
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step256,256,536870912,Phon,ses-5,72,-0.01375727448696515,-0.015502232726502599,-0.0090723947949493
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step5000,5000,10485760000,Phon,ses-5,72,-0.013747577440650315,-0.01313867167200288,-0.009133032594348434
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step14000,14000,29360128000,Phon,ses-5,72,-0.013495193377726531,-0.0038706483982448806,-0.008877618833242989
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step28000,28000,58720256000,Phon,ses-5,72,-0.006368110104061042,0.004289670768496021,-0.003975144627276597
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step51000,51000,106954752000,Phon,ses-5,72,-0.00948012610515041,-0.008441719868233347,-0.005953529395551389
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step86000,86000,180355072000,Phon,ses-5,72,-0.021441069831844673,-0.016339784307949926,-0.014354620875940574
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step143000,143000,299892736000,Phon,ses-5,72,-0.010385522230803851,-0.01261118625022435,-0.006947009300858422
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step0,0,0,Phon,ses-7,72,-0.003697354983300711,-0.022343240813292174,-0.0026503005858591424
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step1,1,2097152,Phon,ses-7,72,-0.003697354983300711,-0.022343240813292174,-0.0026503005858591424
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step4,4,8388608,Phon,ses-7,72,-0.006591720657688404,-0.022797176637581594,-0.0046776855960726305
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step16,16,33554432,Phon,ses-7,72,-0.008597334862324849,-0.018198574155783402,-0.005645440374361848
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step256,256,536870912,Phon,ses-7,72,-0.011189232314687507,-0.017116003213241915,-0.00736412386036156
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step5000,5000,10485760000,Phon,ses-7,72,-0.00995359980585211,-0.01181581204223015,-0.006553782359300398
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step14000,14000,29360128000,Phon,ses-7,72,-0.012464346476226566,-0.002829977195571767,-0.008303703499536028
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step28000,28000,58720256000,Phon,ses-7,72,-0.001851315183105713,0.004916864675890611,-0.0011006679345479267
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step51000,51000,106954752000,Phon,ses-7,72,-0.0021592140097699357,-0.007473842488381792,-0.0014865448398151465
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step86000,86000,180355072000,Phon,ses-7,72,-0.02260783707105279,-0.015552274322235705,-0.015188237491922616
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step143000,143000,299892736000,Phon,ses-7,72,-0.0065902180251225006,-0.011508985711921153,-0.0043849091504889305
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step0,0,0,Phon,ses-9,72,-0.001318249992433839,-0.022276857093396888,-0.001108017970838731
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step1,1,2097152,Phon,ses-9,72,-0.001318249992433839,-0.022276857093396888,-0.001108017970838731
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step4,4,8388608,Phon,ses-9,72,-0.004158820558619214,-0.022715749840295462,-0.0030031023278177436
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step16,16,33554432,Phon,ses-9,72,-0.006913756878168525,-0.017898413472738444,-0.00454783495493509
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step256,256,536870912,Phon,ses-9,72,-0.010652887346382542,-0.016811881677579018,-0.006833696241375191
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step5000,5000,10485760000,Phon,ses-9,72,-0.006933123663271885,-0.011491492383070796,-0.004390421677707033
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step14000,14000,29360128000,Phon,ses-9,72,-0.0055514584085660165,-0.0024237595672740118,-0.0036290804185845666
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step28000,28000,58720256000,Phon,ses-9,72,-0.004208049560975642,0.004471480506734363,-0.002483699763267581
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step51000,51000,106954752000,Phon,ses-9,72,-0.005995564301964598,-0.007660203531308684,-0.0036597055697962506
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step86000,86000,180355072000,Phon,ses-9,72,-0.017848968115592154,-0.015898711052265292,-0.011857446046139851
ds003604,polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step143000,143000,299892736000,Phon,ses-9,72,-0.0017644966521709333,-0.012034318211236844,-0.0011839683458437075
