dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,Phon,ses-5,72,-0.003175772607440213,-0.011882043805730769,-0.0022411485656710427
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,Phon,ses-5,72,-0.003175772607440213,-0.011882043805730769,-0.0022411485656710427
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,Phon,ses-5,72,-0.00225794652698407,-0.01178682051320696,-0.0015159449849783634
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,Phon,ses-5,72,-0.0025106942111791826,-0.012450669722609345,-0.0013346440898051933
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,Phon,ses-5,72,-0.027049834521600577,-0.02636899767992436,-0.0180902768207418
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,Phon,ses-5,72,-0.004495566193729415,-0.008595603472222605,-0.0030741526786288507
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,Phon,ses-5,72,-0.0018852656244943281,-0.006053890857523547,-0.001267881260163722
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,Phon,ses-5,72,-0.014075970565806662,-0.02304603825481936,-0.009392733876623514
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step51000,51000,106954752000,Phon,ses-5,72,-0.02958890053399185,-0.010942852678061821,-0.01965522204765886
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step86000,86000,180355072000,Phon,ses-5,72,-0.023242177253361647,-0.016846522403370597,-0.015770727867968848
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step143000,143000,299892736000,Phon,ses-5,72,-0.01609499348447812,-0.008226534820931244,-0.010955229091443638
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,Phon,ses-7,72,-0.0025369676445804435,-0.012393612703149879,-0.0015778077904259652
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,Phon,ses-7,72,-0.0025369676445804435,-0.012393612703149879,-0.0015778077904259652
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,Phon,ses-7,72,-0.0017996342523347152,-0.012241177588539156,-0.0011184305222507035
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,Phon,ses-7,72,-0.002382257572916907,-0.012407291556528567,-0.0013597567137987742
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,Phon,ses-7,72,-0.02738221167112104,-0.02542751516255206,-0.01834936559999265
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,Phon,ses-7,72,-0.0013575814537428235,-0.007805821825240941,-0.0008673042823148938
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,Phon,ses-7,72,0.0012637470444049228,-0.005115050598702892,0.0008017664587218899
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,Phon,ses-7,72,-0.014994430468320734,-0.02200558032717641,-0.009844148605483738
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step51000,51000,106954752000,Phon,ses-7,72,-0.029734604870927547,-0.010138601542778571,-0.019882460669649556
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step86000,86000,180355072000,Phon,ses-7,72,-0.021390877161257312,-0.016052730949832485,-0.014346658336625535
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step143000,143000,299892736000,Phon,ses-7,72,-0.014922249490104705,-0.007413561437360026,-0.010065262197232099
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step0,0,0,Phon,ses-9,72,-0.004095559080837432,-0.011880227903880665,-0.0028138388933295357
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step1,1,2097152,Phon,ses-9,72,-0.004095559080837432,-0.011880227903880665,-0.0028138388933295357
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step4,4,8388608,Phon,ses-9,72,-0.0034657045190337786,-0.011729295004318217,-0.0024328620122561853
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step16,16,33554432,Phon,ses-9,72,-0.0019209098511329841,-0.011839179910568754,-0.0012923813811330691
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step256,256,536870912,Phon,ses-9,72,-0.0245522946332903,-0.02551592394084859,-0.016488581412370723
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step5000,5000,10485760000,Phon,ses-9,72,-0.009333804474396393,-0.007903711199072919,-0.006296531089122251
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step14000,14000,29360128000,Phon,ses-9,72,-0.002617314291780868,-0.004971369113680326,-0.0018160714668528676
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step28000,28000,58720256000,Phon,ses-9,72,-0.013424289385674833,-0.021886659483565593,-0.009017269522768268
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step51000,51000,106954752000,Phon,ses-9,72,-0.025787768327301657,-0.010071857099272366,-0.017126197060597988
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step86000,86000,180355072000,Phon,ses-9,72,-0.01922468535989726,-0.015811846111044282,-0.012875426072416232
ds003604,pythia-160m-full,EleutherAI/pythia-160m@step143000,143000,299892736000,Phon,ses-9,72,-0.013570617484000869,-0.007249538817119626,-0.009112207491524488
