dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Phon,ses-5,72,-0.031785178043149204,-0.03365092601644482,-0.021321842776598706
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Phon,ses-5,72,-0.031785178043149204,-0.03365092601644482,-0.021321842776598706
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Phon,ses-5,72,-0.031643119260975267,-0.0335737014974295,-0.021176679559855322
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Phon,ses-5,72,-0.01992967658032993,-0.021145467353708376,-0.013088577124849553
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Phon,ses-5,72,-0.041390601858275006,-0.03792467275697312,-0.027331722450379597
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Phon,ses-5,72,-0.0023598294703909,-0.015985879028976805,-0.001757271176526434
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Phon,ses-5,72,-0.015642921698208637,-0.019445510794972004,-0.010438889042014645
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Phon,ses-5,72,-0.013323858052876864,-0.006792458966759602,-0.008975619317120377
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Phon,ses-5,72,-0.00941815526729611,-0.013989033247417897,-0.0061078801576582775
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Phon,ses-5,72,0.01158627584235625,-0.0024255135557333767,0.007900064006566032
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Phon,ses-5,72,-0.005367453110129805,-0.009594279321664248,-0.0035733426433793014
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Phon,ses-7,72,-0.02301732708176385,-0.03400516188248423,-0.015572276888117135
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Phon,ses-7,72,-0.02301732708176385,-0.03400516188248423,-0.015572276888117135
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Phon,ses-7,72,-0.022884235947504744,-0.03392579073018708,-0.015440588737906892
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Phon,ses-7,72,-0.012986232109352874,-0.021102540944223085,-0.00874286816791158
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Phon,ses-7,72,-0.036655600399424317,-0.037187370063743785,-0.024332295140707255
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Phon,ses-7,72,-0.0012941137322755245,-0.015296646953974546,-0.0009542797117560768
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Phon,ses-7,72,-0.011195242844951122,-0.018668736489054163,-0.007519087125492682
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Phon,ses-7,72,-0.01458569860077421,-0.006894807747681959,-0.009790860842375407
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Phon,ses-7,72,-0.007537779127248657,-0.014016541841377768,-0.005111337737230077
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Phon,ses-7,72,0.013736507831829085,-0.0025270491670196377,0.009233483090322759
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Phon,ses-7,72,-0.002799792524601323,-0.009997803658098402,-0.0021725482269568707
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step0,0,0,Phon,ses-9,72,-0.025161325050428823,-0.03384494928371213,-0.016868333287395607
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step1,1,2097152,Phon,ses-9,72,-0.025161325050428823,-0.03384494928371213,-0.016868333287395607
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step4,4,8388608,Phon,ses-9,72,-0.024989409081335612,-0.033767736639693756,-0.01671459502831295
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step16,16,33554432,Phon,ses-9,72,-0.01218599654888201,-0.021249046351195927,-0.007912314067050705
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step256,256,536870912,Phon,ses-9,72,-0.03340523297216651,-0.0368952144356583,-0.022153009380483816
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step5000,5000,10485760000,Phon,ses-9,72,-0.00397703579324309,-0.0164472798952156,-0.002701138336870538
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step14000,14000,29360128000,Phon,ses-9,72,-0.006325360171630103,-0.018548041150275217,-0.0044700470708574115
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step28000,28000,58720256000,Phon,ses-9,72,-0.011729179001988315,-0.0070616533159481515,-0.007730400668853302
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step51000,51000,106954752000,Phon,ses-9,72,-0.005127086514637691,-0.013829318875033745,-0.003567830116161198
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step86000,86000,180355072000,Phon,ses-9,72,0.015062127981888902,-0.0027933309278121796,0.00995746166496697
ds003604,pythia-1b-full,EleutherAI/pythia-1b@step143000,143000,299892736000,Phon,ses-9,72,-0.0012986949291227943,-0.01003815569602488,-0.0010259425655914174
