family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,2.949931040679479,0.11453071207562839,0.028969598173759676,0.5189807158754186,9.79399364232941,
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,13.548299163766876,0.2840145340883227,0.11924809539626942,0.20747014640528674,47.30879654771078,0.5686388900800502
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,21.645415542341738,0.306813178269664,0.13334193403385894,0.15242427394243876,75.04080432740163,0.9677352559949356
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,27.39482911844641,0.280074568294419,0.11349770077352977,0.1629846764563652,75.17288629058821,0.9578625822632363
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,27.454275433776022,0.28330355698414666,0.11874434316971301,0.133063312950186,63.95592910208006,0.8560563848825611
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,29.41841956765927,0.27659491593845514,0.11645416000768634,0.09237017240009375,94.5374436227069,0.6858508664084603
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,23.54923855459789,0.22532525048439753,0.093896895882479,0.07970888809305803,109.43706934633495,0.7436803593494844
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,25.12344700743901,0.2111670114193518,0.10048228147629484,0.08679231475066147,101.07941374506977,0.8714212314246909
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,25.87027053049481,0.19942354575591592,0.10814800604150494,0.09357511109133743,88.89449292517016,0.9425995387526894
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,24.053686342274982,0.18520456650570757,0.1075626217113631,0.09706528018301108,77.23186784705574,0.9673724224303891
parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,22.182371006025534,0.17930122583859207,0.10546518215210275,0.09882275536628703,64.285349281273,0.987142850775511
