dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Gram,ses-5,60,0.025315729530001947,0.03557903455917115,0.01661444909665201
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Gram,ses-5,60,0.018831288663863348,0.030133030815419196,0.012283744207362838
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Gram,ses-5,60,0.003787460816129033,0.023048330215754864,0.0023857201713119547
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Gram,ses-5,60,0.015255797006683166,0.029640106886141236,0.010128611715259347
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Gram,ses-5,60,0.026278078578880114,0.03456978147030882,0.01746398265163056
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Gram,ses-5,60,0.03329348377777206,0.03985715873488572,0.022275025310351214
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Gram,ses-5,60,0.032194502734920215,0.0376899662408648,0.021195542823198014
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Gram,ses-5,60,0.03345172136311438,0.03685729679235372,0.02212811349257297
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Gram,ses-5,60,0.03395068198084862,0.037320634708640624,0.02258034639251644
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Gram,ses-7,60,0.009657336868168798,0.03877682811020684,0.006340841804715869
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Gram,ses-7,60,0.00809385292306377,0.031711241325179516,0.005244751894683389
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Gram,ses-7,60,-0.008157957734072706,0.025584292885678057,-0.00528179922264486
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Gram,ses-7,60,-0.003725591439403331,0.0318491780795568,-0.00229629558657737
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Gram,ses-7,60,0.007782958764011723,0.036940918966381756,0.005143829863340072
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Gram,ses-7,60,0.01097625607940609,0.04242216315834023,0.007305349825781747
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Gram,ses-7,60,0.011064091550966758,0.040521865475967124,0.007260637533414455
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Gram,ses-7,60,0.012843246213918478,0.03940791762201387,0.008535576612916105
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Gram,ses-7,60,0.012781664652061769,0.03995407784707489,0.008420602146828781
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Gram,ses-9,60,0.0014152473854548355,0.0386879268038905,0.0007786326342247049
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Gram,ses-9,60,-0.0016462783284151706,0.03070201752312652,-0.0009127695113265818
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Gram,ses-9,60,-0.01377721628390959,0.024520516695776193,-0.009017191876415224
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Gram,ses-9,60,-0.011497393590203813,0.030371518719469727,-0.007383276963907599
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Gram,ses-9,60,-0.0022170563300387388,0.03528175436105482,-0.0013458400002554988
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Gram,ses-9,60,0.0006455503569686128,0.04051115299149206,0.0004707565639242063
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Gram,ses-9,60,0.0005792577201510135,0.03874365006542858,0.0003774994969867109
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Gram,ses-9,60,0.0012753477189083784,0.03747992097118908,0.0006125584054319048
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Gram,ses-9,60,0.0015691331234171095,0.038048442568974286,0.0009447068630175048
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Phon,ses-5,72,-0.009142990978480803,-0.007507274249589536,-0.006376156482272631
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Phon,ses-5,72,-0.015069223627013599,-0.018635861148036205,-0.009959299174039671
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Phon,ses-5,72,-0.009807022346693759,-0.01745129526277702,-0.00675039583007941
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Phon,ses-5,72,-0.007485720202824064,-0.01172598008379034,-0.004810598752331339
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Phon,ses-5,72,-0.001655242832519014,-0.005458305986241165,-0.001194993400279914
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Phon,ses-5,72,0.003140086700892986,-0.0060991016437342595,0.0021615231725206643
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Phon,ses-5,72,0.0003470994992945873,-0.007276365557371941,0.00039322694155802387
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Phon,ses-5,72,0.00023524284121430517,-0.006702100283055019,0.0002731763488082222
