dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,ses-5,60,0.01971945505327467,0.028678590154462457,0.01305918310641845
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,ses-5,60,0.0297170529352299,0.03554059360321025,0.019988310929281123
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,ses-5,60,0.03253975722848261,0.03504031322370122,0.021935211888359795
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,ses-5,60,0.027916528559260825,0.03075131236652577,0.018787466505702417
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,ses-5,60,0.029500259090187667,0.03356325490946948,0.01967404738864244
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,ses-5,60,0.031798043162935885,0.03329939857539767,0.021199375305400926
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,ses-5,60,0.0327371008476413,0.034265167493901204,0.02134628712317917
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,ses-5,60,0.03249805220475901,0.0343256448613425,0.021247920079971127
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,ses-7,60,0.011589665305985809,0.031755906482866844,0.007821457429107063
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,ses-7,60,0.017234271040488244,0.0383403821824774,0.011779134050646253
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,ses-7,60,0.007510292046018071,0.03690587565231857,0.005371223807379444
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,ses-7,60,0.013273973067485593,0.03334828305888922,0.009331455417053908
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,ses-7,60,0.01274561638072575,0.03639736832128791,0.008807682849322769
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,ses-7,60,0.016860951351166654,0.03602108171808922,0.01173058927607605
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,ses-7,60,0.017219369587947734,0.03736524786699971,0.011494252873563218
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,ses-7,60,0.0170306712349667,0.037385862516490564,0.01137289093713771
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,ses-9,60,-0.006288362117588378,0.029769961893814288,-0.0035712346660790196
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,ses-9,60,-0.0015771291831233522,0.03548658656141147,-0.0006355532986493694
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,ses-9,60,-0.0016191350058453742,0.03453028032945245,-0.0007019829901664895
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,ses-9,60,-0.0012236687197622956,0.031237309524881438,-0.00028296493598157856
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,ses-9,60,6.07278553468004e-05,0.03439560867626559,0.0003481171334310616
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,ses-9,60,-4.8302043483946844e-05,0.033674846819058246,0.00042476677748927704
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,ses-9,60,0.0024831141261534018,0.03527332137854149,0.001593673849377062
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,ses-9,60,0.0022204668280352306,0.035269199782131715,0.0014390970671929943
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-5,72,-0.002394617103046506,-0.0037372107481704222,-0.001447344646264191
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-5,72,-0.00721214981120205,-0.010629320843314059,-0.004758535995271477
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-5,72,-0.011393690950326385,-0.018299203921982764,-0.007775113389622361
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-5,72,-0.007163032913427297,-0.019423354297376676,-0.005107662719084675
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-5,72,-0.007979849172699269,-0.019643298080001495,-0.005733640809851498
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-5,72,-0.00850779492080801,-0.019054545000773335,-0.0057844785608628935
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-5,72,-0.006470164078816837,-0.01718795840593252,-0.004342033938792573
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-5,72,-0.005506853720203657,-0.01669667599002636,-0.0036468430062873433
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-7,72,-0.0014289065565949147,-0.0039385022206080665,-0.0008832293609449696
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-7,72,-0.007438892825544277,-0.010585144035040897,-0.004880424097093979
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-7,72,-0.009373832277626162,-0.01781566289919974,-0.006426994233284026
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-7,72,-0.0065481687463270245,-0.01914012968169905,-0.004318146320847459
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-7,72,-0.00991419073367889,-0.018792490613649755,-0.00647905699034389
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-7,72,-0.011503516072173375,-0.018600043447115622,-0.007400874041815581
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-7,72,-0.008675969040178285,-0.016319432434679246,-0.005673003010452363
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-7,72,-0.008162079481925636,-0.015789528039144754,-0.005206888209010532
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-9,72,-0.0013800210541746432,-0.0035704526365233523,-0.000897929433526578
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-9,72,-0.005969079594544029,-0.010557080640657995,-0.0037068683026622445
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-9,72,-0.011180985441743306,-0.017994925477885868,-0.007419249132542592
