dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Gram,ses-5,60,0.01780797912731946,0.017362387582283763,0.011822568848945907
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Gram,ses-5,60,0.012275045561986423,0.01908772693507909,0.008228978036683241
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Gram,ses-5,60,0.004624329074190835,0.01416671663778727,0.0030180797347922317
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Gram,ses-5,60,0.012509590875978676,0.02226069730378919,0.008535576612916105
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Gram,ses-5,60,0.016445766500525174,0.029781185997627437,0.011208094202412547
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Gram,ses-5,60,-0.011811027400565227,-0.01552424239533754,-0.007947929341803118
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Gram,ses-5,60,0.01393046579952988,0.01440983619785572,0.009204983504357852
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Gram,ses-5,60,0.01706059316123415,0.030031071399854437,0.011785521520984438
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Gram,ses-5,60,0.008538886123239267,0.01898123873889075,0.005726367158182509
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Gram,ses-5,60,0.019651052495424978,0.026055568646955487,0.012996585897104241
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Gram,ses-5,60,0.016843405464265916,0.018181577869690792,0.011006250139725914
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Gram,ses-7,60,0.003356740454626633,0.01953161241296161,0.002121278899311111
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Gram,ses-7,60,0.007360909636945834,0.02035361415851145,0.004636664718488214
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Gram,ses-7,60,-0.0006196621669102157,0.014725316479216183,-0.0005359087613736893
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Gram,ses-7,60,0.006909834488543052,0.02304848578334121,0.005178322203166269
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Gram,ses-7,60,0.014227568649107535,0.030475080203123648,0.009652106428030775
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Gram,ses-7,60,-0.008103926443478536,-0.0172754950201355,-0.005740419592926516
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Gram,ses-7,60,0.003566901573552597,0.014867449858590748,0.0025517944001047545
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Gram,ses-7,60,0.0021371974419901697,0.03202516598695374,0.0014505945138017266
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Gram,ses-7,60,-0.00735308237092216,0.019837834721733026,-0.004595784908323832
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Gram,ses-7,60,0.004222853300204038,0.026815307513128,0.002924822667854736
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Gram,ses-7,60,-0.0033690602294324887,0.018776151136559817,-0.002282243151833364
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Gram,ses-9,60,0.0006918993709843909,0.018869718503030986,0.00014627307074442772
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Gram,ses-9,60,-0.0037161541413305503,0.019431652498843696,-0.002762580921264847
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Gram,ses-9,60,-0.00955620348405201,0.014274164376964806,-0.006463481235209015
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Gram,ses-9,60,-0.003556538074247267,0.02227249173428579,-0.0022209234365867915
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Gram,ses-9,60,-0.005263351660089385,0.02967108143657811,-0.00271148115855937
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Gram,ses-9,60,-0.019575361512922884,-0.017587400433874543,-0.013344064283501484
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Gram,ses-9,60,-0.012458617347864864,0.012928828664157628,-0.008577733917148122
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Gram,ses-9,60,-0.008274771618495701,0.02959139694794805,-0.005524523095495875
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Gram,ses-9,60,-0.01839018965490462,0.017335329284919983,-0.012322069029391945
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Gram,ses-9,60,-0.006517889065556604,0.024220258216945352,-0.0046379422125558505
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Gram,ses-9,60,-0.01159376612686357,0.016351369720382133,-0.008097396147716639
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Phon,ses-5,72,-0.007688648179751619,-0.009969668339341039,-0.004861436503342735
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Phon,ses-5,72,-0.005301882709136998,-0.008088805173020923,-0.003682368181692897
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Phon,ses-5,72,-0.01173825156829369,-0.017869661698102425,-0.00798642693298298
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Phon,ses-5,72,-0.020157602441732644,-0.020259719932864496,-0.013897081116838014
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Phon,ses-5,72,-0.020229882589386308,-0.01419718802795215,-0.013361140970633541
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Phon,ses-5,72,-0.02325577568284257,-0.0062785713931915055,-0.01566843986292182
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Phon,ses-5,72,-0.01677956298694911,-0.01813135687515185,-0.011211867858597551
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Phon,ses-5,72,-0.00487828404937458,-0.007309623514047518,-0.0031978782895240544
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Phon,ses-5,72,-0.002348309287385632,-0.012464627694949788,-0.001757271176526434
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Phon,ses-5,72,-0.018488043279238524,-0.01517342210923873,-0.012179622636886768
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Phon,ses-5,72,-0.01589896928137201,-0.006191703791237693,-0.010830278474499968
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Phon,ses-7,72,-0.003983781470859613,-0.009562619325471297,-0.002590887792508475
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Phon,ses-7,72,-0.004441260147337542,-0.007811727361950636,-0.0030227024245932216
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Phon,ses-7,72,-0.012765211459009834,-0.017596945063916885,-0.008467241807006422
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Phon,ses-7,72,-0.021512985639607893,-0.020424846796291245,-0.014524896716677537
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Phon,ses-7,72,-0.022968750585562293,-0.014513392381902742,-0.015171087407244073
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Phon,ses-7,72,-0.02558243225772544,-0.007049154119454426,-0.01717825981765785
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Phon,ses-7,72,-0.0225126681860215,-0.01793736069745314,-0.014874023440490736
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Phon,ses-7,72,-0.0051610728869819706,-0.006515560740430218,-0.0034581920748233694
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Phon,ses-7,72,-0.006268559798295975,-0.012362008998599152,-0.004288746175684243
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Phon,ses-7,72,-0.017845807628731874,-0.014778815727283708,-0.011641232478585362
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Phon,ses-7,72,-0.013692963825277953,-0.005040316614155434,-0.009065657261682729
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Phon,ses-9,72,0.0016917041290894891,-0.00931027975565255,0.0012299060726612336
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Phon,ses-9,72,0.005091755605932432,-0.0073494945742371256,0.003388979233084963
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Phon,ses-9,72,-0.008884753762879212,-0.01721418667929539,-0.005915554208048902
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Phon,ses-9,72,-0.019252863852567872,-0.019955947088191206,-0.01307326454924371
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Phon,ses-9,72,-0.023864317438984053,-0.014140553973884999,-0.015935491181487706
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Phon,ses-9,72,-0.02141145697542392,-0.0066973153337550485,-0.014414646172315476
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Phon,ses-9,72,-0.01891408739984349,-0.017418566007793814,-0.012590612166147569
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Phon,ses-9,72,-0.0023276058707315385,-0.005708075092760074,-0.001348731659362568
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Phon,ses-9,72,-0.0024146522039252337,-0.01188352073669592,-0.0018093339335862968
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Phon,ses-9,72,-0.011874092139280269,-0.014505567430049094,-0.007693037984375047
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Phon,ses-9,72,-0.004714699750280936,-0.004832745525637632,-0.003108452847985937
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Plaus,ses-5,60,0.0052522956738812136,-0.0056571928628137615,0.0036389418516637765
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Plaus,ses-5,60,0.029380536760772735,0.006596960268993174,0.019659994953898433
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Plaus,ses-5,60,0.027713926367683682,0.010877824312807736,0.0188526187031519
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Plaus,ses-5,60,0.027272446490928394,0.020998195920137807,0.017908550587168212
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Plaus,ses-5,60,-0.0036000890083712524,-0.014118875634442175,-0.0020050269391561513
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Plaus,ses-5,60,-0.013185841124969644,-0.0250561765264493,-0.009075956603526522
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Plaus,ses-5,60,-0.010099991808637347,-0.009959900119469473,-0.006955316451249229
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Plaus,ses-5,60,-0.004084076760853128,-0.003556888468796435,-0.0029133252212460038
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Plaus,ses-5,60,-0.0005152437980480753,0.005535047046904841,5.557099194220617e-05
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Plaus,ses-5,60,-0.0013440532397780642,-0.0020093484137668222,-0.0007518052588043295
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Plaus,ses-5,60,-0.007289252390652788,-0.0008655202723422926,-0.004885776061677414
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Plaus,ses-7,60,0.006301608093626783,-0.006597801385009493,0.00440543829224593
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Plaus,ses-7,60,0.0214380928529828,0.005947774882716427,0.014739087805361005
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Plaus,ses-7,60,0.01994670328652824,0.01035322930487275,0.0137528623851453
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Plaus,ses-7,60,0.020814168645587754,0.02200686614674522,0.014017303657146143
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Plaus,ses-7,60,-0.0040894002539187185,-0.011460870614649558,-0.0025722343051869452
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Plaus,ses-7,60,-0.011003477306752456,-0.02318841410360161,-0.00800541657484678
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Plaus,ses-7,60,-0.004335168183780138,-0.008564868600011313,-0.003480532587276798
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Plaus,ses-7,60,0.0011411783814829306,-0.0045501986047577075,0.0006023384528908094
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Plaus,ses-7,60,0.008717980548486524,0.005797897379370752,0.006013803323400817
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Plaus,ses-7,60,0.005964018564470215,-0.0018082113107186215,0.003829288467741678
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Plaus,ses-7,60,0.003724453164056786,-0.0003447383067993366,0.0023320654204712038
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Plaus,ses-9,60,0.0021067669706534495,-0.006428030954630754,0.0016205012247974375
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Plaus,ses-9,60,0.018393275549665404,0.005722970821622129,0.012437043495479267
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Plaus,ses-9,60,0.014949070753177593,0.010501241525221196,0.010191208924573557
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Plaus,ses-9,60,0.016062500968061527,0.023325717147499918,0.010716258986372332
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Plaus,ses-9,60,0.000810409848319346,-0.01037403196942767,0.00025358257242592933
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Plaus,ses-9,60,-0.007494750043092434,-0.02272509981063059,-0.005079955159958226
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Plaus,ses-9,60,-0.010486254510977355,-0.009520179359035612,-0.007542963722362215
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Plaus,ses-9,60,-0.009944145467131404,-0.005575776431541654,-0.006837786997026633
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Plaus,ses-9,60,0.00015933366226821892,0.004581836577428817,-6.195846228039078e-05
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Plaus,ses-9,60,0.0003302848743423816,-0.0028231561967231693,-0.00016671297582661852
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Plaus,ses-9,60,-0.0009389635497670672,-0.0013355629568390362,-0.0005678461130646125
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Sem,ses-5,72,-0.0016528785756362659,0.00013763621201808018,-0.000855666724854454
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Sem,ses-5,72,-0.018375508244715292,-0.0075627769158349185,-0.012330298380848256
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Sem,ses-5,72,-0.007558337382841863,-0.012023494423912404,-0.005061112489242916
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Sem,ses-5,72,-0.005252950496474363,-0.011762421397765259,-0.0034269544205874514
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Sem,ses-5,72,-0.018216296024306945,-0.014875439944309801,-0.01207672212881551
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Sem,ses-5,72,-0.016333103615954483,-0.01315152861837197,-0.010615289912993946
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Sem,ses-5,72,0.004112910139327993,0.0024065375354058883,0.0027195134275975483
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Sem,ses-5,72,-0.00029634558717974303,0.005368690220404586,-0.0002572512701781465
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Sem,ses-5,72,-0.006389874202526361,-0.0013527092901702616,-0.004395321701900903
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Sem,ses-5,72,-0.0035383274480044846,-0.0008721317595509455,-0.0026043628590416163
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Sem,ses-5,72,0.007593609364779833,0.005508326854469191,0.005267526008409666
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Sem,ses-7,72,-0.0031057438934685108,4.441741743403671e-05,-0.001955722156378147
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Sem,ses-7,72,-0.01992010098064525,-0.006992680587184689,-0.01318290259058154
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Sem,ses-7,72,-0.015305152749481103,-0.01142151754221353,-0.01038008875168821
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Sem,ses-7,72,-0.013348738083817441,-0.011026142048916988,-0.008658955253591564
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Sem,ses-7,72,-0.021980514923004398,-0.0139626944553925,-0.014636984770112303
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Sem,ses-7,72,-0.020815893480468584,-0.012666783193523861,-0.013751305397070398
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Sem,ses-7,72,0.009410231772952894,0.003241939341607541,0.006038054812895638
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Sem,ses-7,72,0.0025962364745687467,0.0055512615957925004,0.0016133329658315186
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Sem,ses-7,72,-0.0035765249283526857,0.00024647711573886656,-0.002467162181613272
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Sem,ses-7,72,-0.004230923207351893,0.0009360531411229675,-0.002989014758260369
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Sem,ses-7,72,0.005883302342704417,0.006961582624318714,0.003864894082914534
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-10,10,5242880,Sem,ses-9,72,-0.0018151930747567137,0.0003158451334268654,-0.0012501186724609452
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-20,20,10485760,Sem,ses-9,72,-0.012525575699155942,-0.006321768770652998,-0.008385778904783342
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-30,30,15728640,Sem,ses-9,72,-0.01138496978876741,-0.010700367402208557,-0.007833301176924561
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-50,50,26214400,Sem,ses-9,72,-0.00845407742346993,-0.010127994119923909,-0.005587865090083882
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-70,70,36700160,Sem,ses-9,72,-0.017413543859701317,-0.013680385118398777,-0.011726370398953844
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-100,100,52428800,Sem,ses-9,72,-0.02268192742025285,-0.012772446277398862,-0.014799910574558461
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-300,300,157286400,Sem,ses-9,72,0.004438370579882974,0.003672802544703166,0.002670513185658854
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-640,640,335544320,Sem,ses-9,72,-0.005157055806138639,0.005390806583076276,-0.003686043199838299
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1100,1100,576716800,Sem,ses-9,72,-0.0035571229309127738,0.0005668035502061023,-0.00265826312517418
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-1850,1850,969932800,Sem,ses-9,72,-0.0017095711561033987,0.001400368886562425,-0.001207855963788821
ds003604,parc-mamba-seed0,jmichaelov/parc-mamba-seed0@checkpoint-4000,4000,2097152000,Sem,ses-9,72,0.008137595410116483,0.007225730498347307,0.005524777278587812
