dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,Gram,ses-5,60,0.015714454886672058,0.017150400019958684,0.01062938938977302
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,20,10485760,Gram,ses-5,60,0.013855651245764194,0.010925589901953888,0.00944259740093832
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,30,15728640,Gram,ses-5,60,0.015692725946073852,0.00598794141062681,0.01098708772871136
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,70,36700160,Gram,ses-5,60,0.018038724419432373,0.030593256258351704,0.01197970061926525
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,100,52428800,Gram,ses-5,60,-0.009349762318207245,-0.012295996766377734,-0.006467313717411925
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,300,157286400,Gram,ses-5,60,0.029914844506853867,0.041753146360333594,0.01985672904031452
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,640,335544320,Gram,ses-5,60,0.022328343195167355,0.029192022963615595,0.014684155560452617
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1100,1100,576716800,Gram,ses-5,60,0.019856883407186613,0.022081037710331382,0.013209927406399606
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1850,1850,969932800,Gram,ses-5,60,0.01726393977623184,0.021979591778745856,0.011232366589697649
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-4000,4000,2097152000,Gram,ses-5,60,0.023706643158323267,0.023803223907542713,0.015554129020513362
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,Gram,ses-7,60,0.0035432856061441468,0.018958223647622105,0.00257862177552513
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,20,10485760,Gram,ses-7,60,-0.0012759947613582203,0.012356080480689348,-0.0005448512198471478
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,30,15728640,Gram,ses-7,60,0.0005889482087476451,0.006863794861696819,0.0007032604842341264
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,70,36700160,Gram,ses-7,60,0.021687305905185857,0.032652024057185924,0.014194875332547676
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,100,52428800,Gram,ses-7,60,-0.007952046753512928,-0.0119529972125776,-0.0055015282022784105
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,300,157286400,Gram,ses-7,60,0.020951490962442698,0.04302789183316451,0.013880611791908993
ds003604,parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,640,335544320,Gram,ses-7,60,0.0066506993974352275,0.03137906258966299,0.004632832236285303
