dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step0,0,0,Gram,ses-5,60,0.012613974620495676,0.017951426529174544,0.008194485696857046
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step1,1,2097152,Gram,ses-5,60,0.012613974620495676,0.017951426529174544,0.008194485696857046
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step4,4,8388608,Gram,ses-5,60,0.012664489376036354,0.017967319005415233,0.008170213309571944
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step16,16,33554432,Gram,ses-5,60,0.0112851117301379,0.01831303306592796,0.007550628686768036
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step256,256,536870912,Gram,ses-5,60,0.011510864624485643,0.009144841842841759,0.007766525184198676
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step5000,5000,10485760000,Gram,ses-5,60,0.02209869506199113,0.03067600759027855,0.014515526343524541
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step14000,14000,29360128000,Gram,ses-5,60,0.021939721709314547,0.02470672213016439,0.014553851165553652
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step28000,28000,58720256000,Gram,ses-5,60,0.012325172957665827,0.02016849738629764,0.00831712512735019
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step51000,51000,106954752000,Gram,ses-5,60,0.013694089723288241,0.017814385422241914,0.008884332493380984
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step86000,86000,180355072000,Gram,ses-5,60,0.0018119558199198847,0.011767626485369163,0.0011491059138394127
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step143000,143000,299892736000,Gram,ses-5,60,0.0012056640602884294,0.00888349974742085,0.0007518052588043295
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step0,0,0,Gram,ses-7,60,-0.004531479564649283,0.02084462871891423,-0.0030423521220773334
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step1,1,2097152,Gram,ses-7,60,-0.004531479564649283,0.02084462871891423,-0.0030423521220773334
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step4,4,8388608,Gram,ses-7,60,-0.004599081434517565,0.020862555899334057,-0.0031126142957973637
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step16,16,33554432,Gram,ses-7,60,-0.0077300116482248125,0.021317444505027004,-0.005096562582837506
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step256,256,536870912,Gram,ses-7,60,0.003185880131458468,0.011176490273329216,0.002240085847601345
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step5000,5000,10485760000,Gram,ses-7,60,0.018122839937911844,0.033327025302123545,0.011802128943863717
ds003604,polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step14000,14000,29360128000,Gram,ses-7,60,0.010482986838404573,0.0272463109857203,0.006607838064851986
