dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Gram,ses-5,60,0.007478835828456518,0.01476639292882544,0.0049994730336971
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Gram,ses-5,60,0.007478835828456518,0.01476639292882544,0.0049994730336971
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Gram,ses-5,60,0.006536168555770037,0.014559652077512286,0.00435178354140518
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Gram,ses-5,60,0.012846204431406553,0.014518173814974458,0.008627556185785963
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Gram,ses-5,60,-0.0048725315283200555,0.005261059576458891,-0.003530354855914638
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Gram,ses-5,60,0.011579290986572621,0.018661006719400297,0.007663048164720085
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Gram,ses-5,60,0.009686704804913971,0.016673887704458205,0.006250139725913648
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Gram,ses-5,60,0.022892278560582225,0.02227628663020187,0.015439154554426038
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Gram,ses-5,60,0.01874567997049963,0.016863585825189223,0.012207094563304622
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Gram,ses-5,60,0.010068299712724514,0.015432480335376045,0.00634467428691878
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Gram,ses-5,60,0.010231510219637857,0.01501470754982365,0.006702372625857119
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Gram,ses-7,60,0.004004797830585687,0.017460313578703958,0.002597784186539684
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Gram,ses-7,60,0.004004797830585687,0.017460313578703958,0.002597784186539684
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Gram,ses-7,60,0.0022368073549207074,0.01724993391543632,0.0012909077553471112
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Gram,ses-7,60,0.003460379775723077,0.017141370298482145,0.002158326227272582
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Gram,ses-7,60,0.0002246546534002695,0.006948542703422964,-0.00020120531565281542
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Gram,ses-7,60,-0.00443272660426101,0.020597294160641405,-0.0032288662559523235
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Gram,ses-7,60,-0.006246187501183788,0.017970211537621735,-0.0042610814626029584
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Gram,ses-7,60,0.00209519594731129,0.023838088215244427,0.0016141137544592528
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Gram,ses-7,60,-0.0009827958066953323,0.01739010814906311,-0.0007415853062632341
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Gram,ses-7,60,-0.005684405337232438,0.015981879004915704,-0.003755193811818737
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Gram,ses-7,60,-0.0016237400437492668,0.016055357922661613,-0.0009038270528531233
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Gram,ses-9,60,-0.008849862515111027,0.017364859147193448,-0.006347229275054054
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Gram,ses-9,60,-0.008849862515111027,0.017364859147193448,-0.006347229275054054
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Gram,ses-9,60,-0.009507744549004138,0.01719533932233887,-0.006739419953818589
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Gram,ses-9,60,0.0019196288772253779,0.017314104820334558,0.000990696649452434
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Gram,ses-9,60,-0.010233555220022809,0.006665348081948649,-0.007005138719887069
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Gram,ses-9,60,-0.011304429950705592,0.019014496220578537,-0.00808845368924318
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Gram,ses-9,60,-0.008916382374193621,0.016169115873363307,-0.005868168999690208
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Gram,ses-9,60,-0.0002503913619486703,0.021575969641271505,-7.984337922730772e-05
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Gram,ses-9,60,-0.005154220052244783,0.015273149683641978,-0.003838230926215137
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Gram,ses-9,60,-0.007757903722258306,0.013915837226906572,-0.00534439643195907
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Gram,ses-9,60,-0.005718315555255935,0.014107327475711822,-0.003750083835548189
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Phon,ses-5,72,-0.053085770773488306,-0.03984771045026507,-0.035307736831950605
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Phon,ses-5,72,-0.053085770773488306,-0.03984771045026507,-0.035307736831950605
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Phon,ses-5,72,-0.05312369302271611,-0.038829467921946054,-0.03545902507893633
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step16,16,33554432,Phon,ses-5,72,-0.03719777552459545,-0.027047381788962793,-0.02466549678589038
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step256,256,536870912,Phon,ses-5,72,-0.029263029043304065,-0.02328821203081622,-0.019368570632317495
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step5000,5000,10485760000,Phon,ses-5,72,-0.011612144693196724,-0.015726974137116663,-0.007666087851308765
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step14000,14000,29360128000,Phon,ses-5,72,-0.013430083611585349,-0.017110721591580336,-0.00897929433526578
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step28000,28000,58720256000,Phon,ses-5,72,-0.0024833565028711297,-0.01602025530601968,-0.0021033353852184643
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step51000,51000,106954752000,Phon,ses-5,72,-0.0005513612332964218,-0.010706523359421757,-0.0005812653699977643
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step86000,86000,180355072000,Phon,ses-5,72,-0.0027944733059246975,-0.012108918026739496,-0.002092922833806492
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step143000,143000,299892736000,Phon,ses-5,72,-0.006267020516155292,-0.010877803093612134,-0.0043971592109736035
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step0,0,0,Phon,ses-7,72,-0.04726129602863662,-0.039803732872851535,-0.03153410569964689
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step1,1,2097152,Phon,ses-7,72,-0.04726129602863662,-0.039803732872851535,-0.03153410569964689
ds003604,pythia-1.4b-full,EleutherAI/pythia-1.4b@step4,4,8388608,Phon,ses-7,72,-0.04680055769586078,-0.03872986907343623,-0.03135464231354642
