dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Gram,ses-5,60,0.029666124851569088,0.023128001111954708,0.01968171235304826
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Gram,ses-5,60,0.029666124851569088,0.023128001111954708,0.01968171235304826
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Gram,ses-5,60,0.03039505820571526,0.02282353803147025,0.020191432486035395
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Gram,ses-5,60,0.020391418375532742,0.019851371311126978,0.013203539936061421
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Gram,ses-5,60,0.008086467117440656,0.023740183254366734,0.005432543522626017
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Gram,ses-5,60,0.0018106097985024876,0.006109800113120196,0.0012359755104387235
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Gram,ses-5,60,0.012943455560824288,0.012233506772837702,0.009024856840821044
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Gram,ses-5,60,0.011101208848959038,0.015052315249741124,0.007182710395288602
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Gram,ses-5,60,0.014535619283814792,0.013574078274586916,0.009488587187373249
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Gram,ses-5,60,0.005768966644155614,0.020192742533005428,0.003954482886370096
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Gram,ses-5,60,0.008337062979427823,0.018840066717713454,0.005569235387863168
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Gram,ses-7,60,0.012815412568467414,0.026224140626169807,0.008559849000201205
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Gram,ses-7,60,0.012815412568467414,0.026224140626169807,0.008559849000201205
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Gram,ses-7,60,0.013823294795228947,0.025887213199019245,0.009299518065362984
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Gram,ses-7,60,0.00502682626635932,0.022889485566507824,0.003014247252589321
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Gram,ses-7,60,-0.010252819340051218,0.026160021725017617,-0.006849284443635364
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Gram,ses-7,60,-0.013312010074645707,0.007588866939125699,-0.008950762184898103
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Gram,ses-7,60,-0.009872258834551792,0.013004781509868363,-0.006803294657200435
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Gram,ses-7,60,-0.006925452232223688,0.01706901877879931,-0.004838508781174848
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Gram,ses-7,60,-0.009368576321748806,0.014621241852353743,-0.006107060390338312
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Gram,ses-7,60,-0.012732636579340624,0.021914862493789582,-0.008135720969745746
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Gram,ses-7,60,-0.010264788543362512,0.020752932531554177,-0.006630832958069452
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Gram,ses-9,60,0.012775538306993198,0.02623749619991112,0.008419324652761144
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Gram,ses-9,60,0.012775538306993198,0.02623749619991112,0.008419324652761144
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Gram,ses-9,60,0.013857618341372575,0.02587684280024693,0.009166658682328743
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Gram,ses-9,60,0.008671300439170325,0.023112633089974594,0.005645885031921383
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Gram,ses-9,60,-0.008721161660196451,0.025766360118609558,-0.005801739308173088
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Gram,ses-9,60,-0.01974417034364138,0.00596688228997161,-0.013015748308118793
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Gram,ses-9,60,-0.010469390290871605,0.011080772336725699,-0.007419046797801433
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Gram,ses-9,60,-0.01121781498731118,0.014859413228915354,-0.007429266750342528
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Gram,ses-9,60,-0.012279921102586737,0.012279059651885553,-0.008278800305321084
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Gram,ses-9,60,-0.013295901098068368,0.019598763237381397,-0.008940542232357008
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Gram,ses-9,60,-0.010854984310546056,0.018531950472517933,-0.007381999469839963
