family,model_ref,dataset,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,ds003604,191,,Gram,ses-5,60,-0.0168013260648104,-0.0149100506250242,-0.0111723243685187,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,ds003604,382,,Gram,ses-5,60,-0.0083462167906747,-0.0268760556345756,-0.0055143031429547,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,ds003604,573,,Gram,ses-5,60,-0.0063128328735175,-0.0251997915289857,-0.0047771890659282,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,ds003604,764,,Gram,ses-5,60,-0.0026976920131065,-0.0186706477099039,-0.0018772775323924,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,ds003604,1146,,Gram,ses-5,60,-0.011881236916427,-0.0179219037769091,-0.0075174138410094,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,ds003604,1337,,Gram,ses-5,60,-0.0003717431996068,-0.0174369310967833,-1.2136193642550773e-05,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,ds003604,1528,,Gram,ses-5,60,-0.0061385339200724,-0.0204125207480721,-0.0040273000482254,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,ds003604,1719,,Gram,ses-5,60,-0.0038180860494071,-0.0211770085364871,-0.0023997726060559,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,ds003604,1908,,Gram,ses-5,60,-0.0044209348507185,-0.0205715806956958,-0.0027421410161826,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,ds003604,191,,Gram,ses-7,60,-0.0304825539258892,-0.0057214406921565,-0.0195680153810285,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,ds003604,382,,Gram,ses-7,60,-0.0207377245835788,-0.0213698479522004,-0.0131741575725057,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,ds003604,573,,Gram,ses-7,60,-0.0191122673887126,-0.0211036966923065,-0.0129787009801573,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,ds003604,764,,Gram,ses-7,60,-0.0163921593581589,-0.0130644221525254,-0.0112464190244416,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,ds003604,1146,,Gram,ses-7,60,-0.0287680191110804,-0.0120244988460336,-0.0189688706633068,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,ds003604,1337,,Gram,ses-7,60,-0.0180646169375339,-0.012855510235626,-0.0118391762718251,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,ds003604,1528,,Gram,ses-7,60,-0.0225848273598502,-0.0168279484074477,-0.0150750687451495,,
