family,model_ref,step,phenomenon,selectivity_index,mean_overlap_with_others,gini,entropy,max_t,mean_topk_t,layer_com,n_active_layers,n_units
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,Gram,0.4787312746047973,0.0036429872495446,0.4130812840363273,0.969139253610314,3.50040864944458,2.618687391281128,0.4188320977152298,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,Gram,0.5483607649803162,0.0018214936247723,0.4225306533392532,0.9675776269352696,4.134412288665772,2.9061646461486816,0.4107866545056236,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,Gram,0.5682520866394043,0.0073463555032253,0.4101192188053716,0.9694458059982006,4.147712230682373,2.966949462890625,0.5362559709492903,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,Gram,0.5450044870376587,0.0018214936247723,0.413251040621047,0.9689687277648376,4.477391719818115,2.8056564331054688,0.5402483754660995,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,Gram,0.5079303979873657,0.005524861878453,0.4085273569027112,0.9697539528108045,3.88757848739624,2.782045841217041,0.5837548885424259,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,Gram,0.5105786323547363,0.0073260073260073,0.4128055406562956,0.9691074238449056,3.8959689140319824,2.850018262863159,0.5881919953961602,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,Gram,0.4667129516601562,0.0018214936247723,0.410767892423463,0.9694485340452432,3.705104112625122,2.779315710067749,0.6322602185952634,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,Gram,0.4880042970180511,0.0018214936247723,0.411629812288833,0.9693300924028878,3.8349878787994394,2.859949111938477,0.6254708677656479,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,Gram,0.4984895884990692,0.0018214936247723,0.4121937826586722,0.9692141673623508,3.8889312744140634,2.8625736236572266,0.6161107093357479,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,Phon,0.5222170352935791,0.0036630036630036,0.4161575437652633,0.9685883684335386,4.593389987945557,3.175494909286499,0.5020966882983142,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,Phon,0.5416948199272156,0.0,0.4112402378571459,0.9693306405666592,4.091420650482178,3.028564691543579,0.4491270994455058,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,Phon,0.543407678604126,0.0,0.4120125157496665,0.9691603103620926,4.202103137969971,2.955559015274048,0.4840755176336728,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,Phon,0.5486143827438354,0.0018214936247723,0.4127719667514568,0.9690924539802552,4.608781814575195,3.004590511322021,0.4432336041084118,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,Phon,0.5542756915092468,0.0,0.4113478690628228,0.9693679112180488,3.439181089401245,2.763021945953369,0.4670341585828375,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,Phon,0.4980088174343109,0.0036630036630036,0.4089633055578633,0.9696213808107012,4.291783332824707,2.818397521972656,0.5071222608429999,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,Phon,0.5330318808555603,0.0054844972877759,0.4092964265317768,0.9696097106833214,4.171854019165039,2.9061150550842285,0.49311032506567,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,Phon,0.5344559550285339,0.0018214936247723,0.4073980610366878,0.9699301555955632,4.600132942199707,2.8553807735443115,0.501055683333362,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,Phon,0.531484842300415,0.0018214936247723,0.4099363030399698,0.9695083167461648,4.627914905548096,2.810178756713867,0.5108966877808022,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,Plaus,0.4924394190311432,0.0054844972877759,0.4171601015800208,0.968397993829154,4.182875156402588,2.8680341243743896,0.5193715274060984,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,Plaus,0.4972250461578369,0.0018214936247723,0.4230346081448443,0.9676498107750092,4.1000494956970215,2.7456982135772705,0.4359869665229512,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,Plaus,0.4418862164020538,0.0111324805893905,0.4253349143664716,0.9671641419280094,4.845066070556641,2.637006998062134,0.3828031498472287,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,Plaus,0.5263306498527527,0.0036429872495446,0.4227287847382256,0.9675679760784786,3.817738771438599,2.817293643951416,0.4602806188217423,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,Plaus,0.5169457197189331,0.0018115942028985,0.425788926974439,0.967197192611048,4.076324462890625,2.765108585357666,0.4982822741901627,12,93
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,Plaus,0.5411450862884521,0.0054844972877759,0.419771191761671,0.9680818044146908,3.9135940074920654,2.8032593727111816,0.4731857871810211,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,Plaus,0.507266640663147,0.0036630036630036,0.4217303201888518,0.9676761191790338,3.858527660369873,2.862403154373169,0.4985411512574413,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,Plaus,0.5457406640052795,0.0036630036630036,0.4196890763434932,0.9680211989168364,4.137048721313477,2.878457546234131,0.4657259421464111,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,Plaus,0.5445060133934021,0.0036630036630036,0.4220244673712994,0.9676831669988176,4.18235969543457,2.8902900218963623,0.4892960151263691,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,Sem,0.601631760597229,0.0018214936247723,0.4151345004104205,0.968746402034004,4.437943458557129,3.169567823410034,0.6083091683688966,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,Sem,0.5535796284675598,0.0036429872495446,0.4143124985376773,0.9689079481315694,4.2590155601501465,2.9738659858703613,0.5429804754897757,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,Sem,0.530488908290863,0.0148358488430712,0.4022155674864304,0.9705672166436082,3.966107845306397,2.9140288829803467,0.5024844769497911,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,Sem,0.5486180186271667,0.0,0.4125540569090618,0.9691723156350712,4.07159948348999,2.916778326034546,0.4879249917534535,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,Sem,0.5379138588905334,0.0073364560813515,0.414263402712161,0.9688537121890466,3.9213204383850098,3.1243560314178467,0.5318876764694491,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,Sem,0.5533998608589172,0.0091475009507796,0.4117063889573022,0.969283758378993,4.303107261657715,2.953033685684204,0.4563346703719943,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,Sem,0.578089714050293,0.0073260073260073,0.4084598419498327,0.9698000750027096,4.048797607421875,3.010247707366944,0.5124077275979909,12,92
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,Sem,0.5735913515090942,0.0073059909125482,0.4122951773954078,0.969160080925974,4.458803176879883,3.046687364578247,0.525246779169188,12,92
