family,model_ref,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Gram,ses-5,-0.0231481849315055,-0.0229266302390062,-0.026733403865649
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Gram,ses-7,-0.0447848624700182,-0.0438572784276842,-0.0475699106239073
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Gram,ses-9,-0.0415130219916906,-0.04197201096698,-0.0381481372418801
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Gram,ses-5,-0.0231481849315055,-0.0229266302390062,-0.026733403865649
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Gram,ses-7,-0.0447848624700182,-0.0438572784276842,-0.0475699106239073
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Gram,ses-9,-0.0415130219916906,-0.04197201096698,-0.0381481372418801
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Gram,ses-5,-0.0231481849315055,-0.0229266302390062,-0.026733403865649
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Gram,ses-7,-0.0447848624700182,-0.0438572784276842,-0.0475699106239073
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Gram,ses-9,-0.0415130219916906,-0.04197201096698,-0.0381481372418801
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Gram,ses-5,-0.0231677779828128,-0.0229924770873801,-0.0267541070600224
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Gram,ses-7,-0.0447947325724052,-0.0439168279732854,-0.047584180182149
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Gram,ses-9,-0.0415203450406882,-0.042008104682769,-0.0381400957377209
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,Gram,ses-5,-0.0231135649144066,-0.023004569639921,-0.0267853836637935
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,Gram,ses-7,-0.0447227290826608,-0.0439329023255176,-0.0475915594957074
