family,model_ref,acc_none,acc_localized_ablated,acc_random_ablated,drop_localized,drop_random,causal_selectivity,step,tokens,phenomenon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0.65,0.6,0.625,0.05,0.025,0.025,0,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,0.65,0.6,0.625,0.05,0.025,0.025,1,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,0.65,0.6,0.625,0.05,0.025,0.025,2,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,0.65,0.6,0.625,0.05,0.025,0.025,4,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,0.65,0.6,0.625,0.05,0.025,0.025,6,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,0.65,0.6,0.625,0.05,0.025,0.025,8,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,0.65,0.65,0.6,0.0,0.05,-0.05,16,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,0.65,0.6,0.625,0.05,0.025,0.025,32,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,0.65,0.65,0.6375,0.0,0.0125,-0.0125,64,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,0.55,0.55,0.5875,0.0,-0.0374999999999999,0.0374999999999999,128,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,0.65,0.65,0.6000000000000001,0.0,0.0499999999999999,-0.0499999999999999,256,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,0.65,0.65,0.625,0.0,0.025,-0.025,512,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,0.75,0.8,0.7625,-0.05,-0.0124999999999999,-0.0375,1024,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,0.75,0.75,0.7625,0.0,-0.0124999999999999,0.0124999999999999,2048,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,0.65,0.65,0.6375,0.0,0.0125,-0.0125,4096,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,0.8,0.8,0.7875000000000001,0.0,0.0124999999999999,-0.0124999999999999,8192,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,0.7,0.75,0.7375,-0.05,-0.0375,-0.0124999999999999,16384,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,0.75,0.75,0.725,0.0,0.025,-0.025,32768,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,0.8,0.8,0.8250000000000001,0.0,-0.025,0.025,65536,,Gram
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.0,0.0,0,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.0,0.0,1,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.0,0.0,2,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.0,0.0,4,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.0,0.0,6,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.0,0.0,8,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,0.5416666666666666,0.5416666666666666,0.5104166666666666,0.0,0.03125,-0.03125,16,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,0.5416666666666666,0.5416666666666666,0.5104166666666666,0.0,0.03125,-0.03125,32,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,0.5,0.5833333333333334,0.5520833333333333,-0.0833333333333333,-0.0520833333333332,-0.0312500000000001,64,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,0.5,0.5,0.5729166666666667,0.0,-0.0729166666666667,0.0729166666666667,128,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,0.5,0.5,0.5520833333333334,0.0,-0.0520833333333333,0.0520833333333333,256,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,0.5416666666666666,0.5,0.5312499999999999,0.0416666666666666,0.0104166666666667,0.0312499999999998,512,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,0.5416666666666666,0.5833333333333334,0.59375,-0.0416666666666667,-0.0520833333333333,0.0104166666666666,1024,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,0.5,0.5416666666666666,0.5416666666666666,-0.0416666666666666,-0.0416666666666666,0.0,2048,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,0.5833333333333334,0.5833333333333334,0.6145833333333334,0.0,-0.03125,0.03125,4096,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,0.5833333333333334,0.5833333333333334,0.5625,0.0,0.0208333333333333,-0.0208333333333333,8192,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,0.5833333333333334,0.5416666666666666,0.53125,0.0416666666666667,0.0520833333333333,-0.0104166666666666,16384,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,0.5416666666666666,0.5833333333333334,0.5520833333333333,-0.0416666666666667,-0.0104166666666666,-0.0312500000000001,32768,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,0.5833333333333334,0.5416666666666666,0.5729166666666667,0.0416666666666667,0.0104166666666666,0.0312500000000001,65536,,Phon
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0.5,0.4,0.475,0.0999999999999999,0.025,0.0749999999999999,0,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,0.5,0.4,0.475,0.0999999999999999,0.025,0.0749999999999999,1,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,0.5,0.4,0.475,0.0999999999999999,0.025,0.0749999999999999,2,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,0.5,0.4,0.475,0.0999999999999999,0.025,0.0749999999999999,4,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,0.5,0.4,0.475,0.0999999999999999,0.025,0.0749999999999999,6,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,0.5,0.4,0.475,0.0999999999999999,0.025,0.0749999999999999,8,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,0.5,0.4,0.5,0.0999999999999999,0.0,0.0999999999999999,16,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,0.5,0.4,0.5,0.0999999999999999,0.0,0.0999999999999999,32,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,0.45,0.5,0.4125,-0.0499999999999999,0.0375,-0.0875,64,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,0.6,0.65,0.6,-0.05,0.0,-0.05,128,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,0.65,0.7,0.6375000000000001,-0.0499999999999999,0.0124999999999999,-0.0624999999999998,256,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,0.7,0.65,0.6375000000000001,0.0499999999999999,0.0624999999999998,-0.0124999999999999,512,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,0.6,0.6,0.6,0.0,0.0,0.0,1024,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,0.65,0.65,0.6625000000000001,0.0,-0.0125,0.0125,2048,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,0.6,0.6,0.6000000000000001,0.0,-1.1102230246251563e-16,1.1102230246251563e-16,4096,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,0.7,0.7,0.725,0.0,-0.025,0.025,8192,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,0.8,0.8,0.8,0.0,0.0,0.0,16384,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,0.75,0.8,0.8,-0.05,-0.05,0.0,32768,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,0.8,0.75,0.7875000000000001,0.05,0.0124999999999999,0.0375,65536,,Plaus
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0.5416666666666666,0.4583333333333333,0.4791666666666666,0.0833333333333333,0.0625,0.0208333333333333,0,,Sem
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,0.5416666666666666,0.4583333333333333,0.4791666666666666,0.0833333333333333,0.0625,0.0208333333333333,1,,Sem
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,0.5416666666666666,0.4583333333333333,0.4791666666666666,0.0833333333333333,0.0625,0.0208333333333333,2,,Sem
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,0.5416666666666666,0.4583333333333333,0.4791666666666666,0.0833333333333333,0.0625,0.0208333333333333,4,,Sem
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,0.5416666666666666,0.4583333333333333,0.4791666666666666,0.0833333333333333,0.0625,0.0208333333333333,6,,Sem
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,0.5,0.4583333333333333,0.4791666666666666,0.0416666666666666,0.0208333333333333,0.0208333333333333,8,,Sem
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,0.4583333333333333,0.4583333333333333,0.5416666666666666,0.0,-0.0833333333333333,0.0833333333333333,16,,Sem
