family,model_ref,dataset,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,ds003604,0,,Gram,ses-5,60,-0.0231481849315055,-0.0313462476774813,-0.0156869884035476,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,ds003604,1,,Gram,ses-5,60,-0.0231481849315055,-0.0313462476774813,-0.0156869884035476,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,ds003604,2,,Gram,ses-5,60,-0.0231481849315055,-0.0313462476774813,-0.0156869884035476,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,ds003604,4,,Gram,ses-5,60,-0.0231677779828128,-0.0313491427625973,-0.0156793234391417,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,ds003604,6,,Gram,ses-5,60,-0.0231135649144066,-0.0313501943225819,-0.0156448310993155,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,ds003604,8,,Gram,ses-5,60,-0.0231890438227947,-0.0313523382694955,-0.0157074283086297,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,ds003604,16,,Gram,ses-5,60,-0.023300014848975,-0.0313613328676333,-0.0157623605535381,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,ds003604,32,,Gram,ses-5,60,-0.0239084857783288,-0.0314161560910812,-0.0160344667899448,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,ds003604,64,,Gram,ses-5,60,-0.032790437487311,-0.0300603879437018,-0.021438266696049,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,ds003604,128,,Gram,ses-5,60,-0.0161810309215906,-0.0136877878936901,-0.0108197360058509,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,ds003604,256,,Gram,ses-5,60,0.0192873194216645,0.0205734519936765,0.013148607691153,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,ds003604,512,,Gram,ses-5,60,-0.0160101186619047,-0.0175965759017125,-0.0103790005525161,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,ds003604,1024,,Gram,ses-5,60,-0.022508526123265,-0.0336539761618031,-0.0152028181519132,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,ds003604,2048,,Gram,ses-5,60,-0.0178726465839369,-0.0381368893392232,-0.0123348439700683,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,ds003604,4096,,Gram,ses-5,60,-0.0140811487855665,-0.0252759915348863,-0.0096559389102336,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,ds003604,8192,,Gram,ses-5,60,-0.0032985650627232,-0.0210320550801731,-0.0020701791366056,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,ds003604,16384,,Gram,ses-5,60,0.0017324691435815,-0.0136100488276491,0.001052016364699,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,ds003604,32768,,Gram,ses-5,60,-0.01747707858884,-0.0277829782849568,-0.011399718312558,,
