family,model_ref,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Gram,ses-5,-0.0227692344580552,-0.0253004104212981,-0.0239305220099902
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Gram,ses-7,-0.0287791162136984,-0.0309932911490149,-0.0295309903605228
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Gram,ses-9,-0.0382337459352438,-0.0408047160911629,-0.0387461061745481
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Gram,ses-5,-0.0227692344580552,-0.0253004104212981,-0.0239305220099902
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Gram,ses-7,-0.0287791162136984,-0.0309932911490149,-0.0295309903605228
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Gram,ses-9,-0.0382337459352438,-0.0408047160911629,-0.0387461061745481
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Gram,ses-5,-0.0227692344580552,-0.0253004104212981,-0.0239305220099902
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Gram,ses-7,-0.0287791162136984,-0.0309932911490149,-0.0295309903605228
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Gram,ses-9,-0.0382337459352438,-0.0408047160911629,-0.0387461061745481
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Gram,ses-5,-0.0227692344580552,-0.0253004104212981,-0.0239305220099902
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Gram,ses-7,-0.0287791162136984,-0.0309932911490149,-0.0295309903605228
