family,model_ref,dataset,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,ds003604,0,,Gram,ses-5,60,-0.0227692344580552,-0.0356514190386736,-0.0153854998035852,-0.0683520553165581,0.0270429519957492
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,ds003604,1,,Gram,ses-5,60,-0.0227692344580552,-0.0356514190386736,-0.0153854998035852,-0.0714329902641747,0.0234487407705495
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,ds003604,2,,Gram,ses-5,60,-0.0227692344580552,-0.0356514190386736,-0.0153854998035852,-0.0717739673610194,0.0229228151019312
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,ds003604,4,,Gram,ses-5,60,-0.0227692344580552,-0.0356514190386736,-0.0153854998035852,-0.0663412012783851,0.0250894353053575
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,ds003604,6,,Gram,ses-5,60,-0.0227692344580552,-0.0356514190386736,-0.0153854998035852,-0.0700546972343182,0.0241697533141732
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,ds003604,8,,Gram,ses-5,60,-0.0227692344580552,-0.0356514190386736,-0.0153854998035852,-0.0687473851493363,0.0267190135277711
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,ds003604,16,,Gram,ses-5,60,-0.0227438764532818,-0.0356536273847351,-0.0153612274163001,-0.0690033033519687,0.0245929356522423
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,ds003604,32,,Gram,ses-5,60,-0.0227377501082132,-0.0356649366695795,-0.0154084946968027,-0.0680992392542979,0.0254157779031588
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,ds003604,64,,Gram,ses-5,60,-0.0228950528362367,-0.0357042485555534,-0.0155273016450929,-0.071294318667137,0.01885459773207
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,ds003604,256,,Gram,ses-5,60,-0.0410169568348189,-0.0136603240843155,-0.0271231152970333,-0.0905046594142124,0.0016721725409518
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,ds003604,500,,Gram,ses-5,60,-0.0425635094751495,-0.0223392352932128,-0.0284976989138106,-0.0896754961163806,0.0029213030424294
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,ds003604,1000,,Gram,ses-5,60,-0.0349114188336561,-0.0374406241295395,-0.0230019194348366,-0.0824191349437122,0.0117445716778166
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,ds003604,2000,,Gram,ses-5,60,-0.0148826699152814,-0.0118871424162563,-0.0091960410458843,-0.0570376296690535,0.0280137670255272
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,ds003604,2500,,Gram,ses-5,60,-0.0074259125169068,-0.0102954899276853,-0.0042827988617527,-0.0516668293919224,0.0368500191944838
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,ds003604,4000,,Gram,ses-5,60,-0.0143623482406161,-0.0193183589591996,-0.0094566498356823,-0.0596327378870259,0.0335292696745381
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,ds003604,5500,,Gram,ses-5,60,-0.0200590138420611,-0.034334672566271,-0.0139585389300348,-0.0669424830245038,0.0253552262808887
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,ds003604,7500,,Gram,ses-5,60,-0.0250325023867399,-0.030297329541075,-0.0167818008195124,-0.0735239749937178,0.0202938316182491
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,ds003604,9500,,Gram,ses-5,60,-0.0198300257354642,-0.0310523591918558,-0.0132840220623225,-0.0685830917356479,0.0284941555843548
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,ds003604,0,,Gram,ses-7,60,-0.0287791162136984,-0.0334884968640425,-0.0188858335489104,-0.0741589907831992,0.0211738451458632
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,ds003604,1,,Gram,ses-7,60,-0.0287791162136984,-0.0334884968640425,-0.0188858335489104,-0.0760914121613109,0.0158241022457088
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,ds003604,2,,Gram,ses-7,60,-0.0287791162136984,-0.0334884968640425,-0.0188858335489104,-0.0802214531598403,0.0168313013808365
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,ds003604,4,,Gram,ses-7,60,-0.0287791162136984,-0.0334884968640425,-0.0188858335489104,-0.0719278122829244,0.0170101751802182
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,ds003604,6,,Gram,ses-7,60,-0.0287791162136984,-0.0334884968640425,-0.0188858335489104,-0.0756046454140675,0.0210691905709115
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,ds003604,8,,Gram,ses-7,60,-0.0287791162136984,-0.0334884968640425,-0.0188858335489104,-0.0744554891285319,0.0192401843975403
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,ds003604,16,,Gram,ses-7,60,-0.0287405490212533,-0.0334914674539413,-0.0188538961972195,-0.0747066200689122,0.0184863342576564
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,ds003604,32,,Gram,ses-7,60,-0.0286975174523064,-0.0335075827470664,-0.0188398437624755,-0.0730481904935119,0.0200731946348994
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,ds003604,64,,Gram,ses-7,60,-0.0286368750758117,-0.0335671785303923,-0.0187363667429969,-0.0766209257353627,0.0159088432066223
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,ds003604,256,,Gram,ses-7,60,-0.0318309752432091,-0.0155444007579191,-0.0207637498283367,-0.0790932416243597,0.0114700715764826
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,ds003604,500,,Gram,ses-7,60,-0.0375750610493478,-0.0249549309330485,-0.024900275619345,-0.0836684070933053,0.008355126922354
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,ds003604,1000,,Gram,ses-7,60,-0.03322483019342,-0.0442915122377491,-0.0223733923535592,-0.0827685083441166,0.0124777514239933
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,ds003604,2000,,Gram,ses-7,60,-0.019347847105016,-0.0081833942700796,-0.0124817557878465,-0.0636239208085392,0.0277338929828753
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,ds003604,2500,,Gram,ses-7,60,-0.0209270072223841,-0.0050792268297886,-0.0134603162436564,-0.0679492721186564,0.0241230672213424
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,ds003604,4000,,Gram,ses-7,60,-0.0201510193831899,-0.0099901887588228,-0.0127832443878088,-0.0650183360010859,0.02280166787005
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,ds003604,5500,,Gram,ses-7,60,-0.0299964151359653,-0.0291071221067019,-0.0205887331410704,-0.0775247468693389,0.0150211314067537
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,ds003604,7500,,Gram,ses-7,60,-0.0288870402975062,-0.023376373644306,-0.0192550293344575,-0.0782607000348189,0.0154749791477058
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,ds003604,9500,,Gram,ses-7,60,-0.0318491313841929,-0.0254588221162486,-0.0214369892019813,-0.0769879339358769,0.0159627160173938
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,ds003604,0,,Gram,ses-9,60,-0.0382337459352438,-0.0356282876285574,-0.0257102068582269,-0.0838971661061669,0.0082143721516891
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,ds003604,1,,Gram,ses-9,60,-0.0382337459352438,-0.0356282876285574,-0.0257102068582269,-0.0846137301859255,0.005089165303217
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,ds003604,2,,Gram,ses-9,60,-0.0382337459352438,-0.0356282876285574,-0.0257102068582269,-0.0867194385278916,0.0076438094148732
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,ds003604,4,,Gram,ses-9,60,-0.0382337459352438,-0.0356282876285574,-0.0257102068582269,-0.0834567979286117,0.0071420928757777
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,ds003604,6,,Gram,ses-9,60,-0.0382337459352438,-0.0356282876285574,-0.0257102068582269,-0.085585517843485,0.0143231843094807
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,ds003604,8,,Gram,ses-9,60,-0.0382337459352438,-0.0356282876285574,-0.0257102068582269,-0.0818590190518457,0.0091393598684957
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,ds003604,16,,Gram,ses-9,60,-0.0381991540504254,-0.0356310181476773,-0.0256680495539948,-0.0862110018848091,0.0049778380201003
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,ds003604,32,,Gram,ses-9,60,-0.038121803263378,-0.0356449289682402,-0.0256105623209512,-0.0824258632229689,0.0088674617174925
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,ds003604,64,,Gram,ses-9,60,-0.0379786272681725,-0.0356896183174133,-0.0254534305506318,-0.0867773614741993,0.0066359675253303
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,ds003604,256,,Gram,ses-9,60,-0.0190659897874087,-0.0083527904802142,-0.0125136931395374,-0.0700458603524572,0.0281395851349546
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,ds003604,500,,Gram,ses-9,60,-0.0263039732610032,-0.0205853673669175,-0.0172506411423351,-0.0737486089381763,0.0202119203297897
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,ds003604,1000,,Gram,ses-9,60,-0.0666392838590429,-0.0451382888686117,-0.0447346485134759,-0.115760831304387,-0.0197372701291688
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,ds003604,2000,,Gram,ses-9,60,-0.0423606908814152,-0.0130153030173042,-0.0280058636977704,-0.0856963990282838,0.0035060060654098
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,ds003604,2500,,Gram,ses-9,60,-0.0423685051633094,-0.0067512063037485,-0.0278755593028714,-0.0898869549999341,0.0015036174517343
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,ds003604,4000,,Gram,ses-9,60,-0.0381606452865627,-0.0149835872454163,-0.0248606733032483,-0.0832862226415966,0.0084510713993136
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,ds003604,5500,,Gram,ses-9,60,-0.0378349319077898,-0.0338149831306452,-0.0254892003845257,-0.0858331757737298,0.009733306625152
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,ds003604,7500,,Gram,ses-9,60,-0.0384419832389929,-0.028590834343798,-0.0257191493167003,-0.086716869733019,0.0078580798568034
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,ds003604,9500,,Gram,ses-9,60,-0.0417210061049158,-0.0313875685634309,-0.0276583853113732,-0.0889699697022777,0.0074088683467169
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,ds003604,0,,Phon,ses-5,72,-0.0274917586873711,-0.0312917750002754,-0.0183757032300346,-0.0646376787088389,0.012137713996456
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,ds003604,1,,Phon,ses-5,72,-0.0274917586873711,-0.0312917750002754,-0.0183757032300346,-0.0648989583011281,0.0098783630997691
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,ds003604,2,,Phon,ses-5,72,-0.0274917586873711,-0.0312917750002754,-0.0183757032300346,-0.0641360889746848,0.0099757255214874
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,ds003604,4,,Phon,ses-5,72,-0.0274917586873711,-0.0312917750002754,-0.0183757032300346,-0.0656069081058903,0.0102345880909289
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,ds003604,6,,Phon,ses-5,72,-0.0274917586873711,-0.0312917750002754,-0.0183757032300346,-0.067261485697775,0.0098349042341502
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,ds003604,8,,Phon,ses-5,72,-0.0274917586873711,-0.0312917750002754,-0.0183757032300346,-0.0651286927539302,0.0099545395387374
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,ds003604,16,,Phon,ses-5,72,-0.0275100590417104,-0.0312832271241595,-0.0183959158298344,-0.0670688001585939,0.0101865061071199
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,ds003604,32,,Phon,ses-5,72,-0.0274656728135585,-0.0312539457922995,-0.0184069408842706,-0.066806649349114,0.0106563308919282
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,ds003604,64,,Phon,ses-5,72,-0.0273878219305385,-0.0311304289249753,-0.0183953033268101,-0.0662763618210245,0.0112222453270342
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,ds003604,256,,Phon,ses-5,72,-0.0249341077474718,-0.0249971065507619,-0.0168450581724747,-0.0624612997297793,0.0138978782037124
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,ds003604,500,,Phon,ses-5,72,-0.0201812277637014,-0.0160980606097793,-0.0139846690493034,-0.0566820303373337,0.0191820202979143
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,ds003604,1000,,Phon,ses-5,72,-0.039890973120264,-0.0431684680053156,-0.0270193459080204,-0.0786938668269556,-0.0016907934249655
