family,model_ref,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,Gram,ses-5,-0.0159392902358735,-0.0168447904380715,-0.0159895193405667
pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,Gram,ses-7,-0.0193651506215007,-0.0197978315865468,-0.0201039865383575
pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,Gram,ses-9,-0.0202880711973484,-0.0202589001865662,-0.021146503930369
pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Gram,ses-5,-0.00995942995149,-0.0095316266910658,-0.0097243349760186
pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Gram,ses-7,-0.020152250711464,-0.0216504547818468,-0.0179897093308406
pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Gram,ses-9,-0.0223949084987029,-0.0191116766108236,-0.0221402529322478
pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Gram,ses-5,-0.026231236167946,-0.0267124150204282,-0.0268859392541508
pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Gram,ses-7,-0.0262437052602403,-0.0252145117490438,-0.0263944683150751
pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Gram,ses-9,-0.0549535478974066,-0.0560963027686043,-0.0561506110539596
pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Gram,ses-5,-0.0001922549224335,-0.0001163864901626,-0.0021094633415313
pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Gram,ses-7,-4.6276519293136855e-05,-0.0035050927894308,-0.0012698143157503
pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Gram,ses-9,-0.024844792991617,-0.0241659740490208,-0.0220770721584499
pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Gram,ses-5,-0.0019840669475563,-0.003442810084585,-0.0070989461696442
pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Gram,ses-7,-0.0062151597598933,-0.0040474160714124,-0.013628037292865
pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Gram,ses-9,-0.0473084989821064,-0.0384531647384522,-0.0524180244148267
pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Gram,ses-5,0.0031539673053453,0.0059418827878165,0.0011074607613792
pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Gram,ses-7,-0.0008545710365264,0.0015695161552352,0.0005623783518942
pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Gram,ses-9,-0.034130931993615,-0.0311054329108652,-0.0349246236932846
pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,Gram,ses-5,-0.0036300931674584,-0.0001045103397789,-0.0055552110853995
pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,Gram,ses-7,-0.0123684685372443,-0.0063218698275995,-0.0127793037045273
pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,Gram,ses-9,-0.0471405341198008,-0.0450263391451036,-0.0392862221545268
pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,Gram,ses-5,0.0058195896007748,0.0072270108022168,-0.0013692424508689
pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,Gram,ses-7,-0.0097272282728595,-0.0094936481124881,-0.0130451602466359
pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,Gram,ses-9,-0.0392394554843477,-0.0367621809704047,-0.0367865024088454
pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,Gram,ses-5,-0.0019588625883144,-0.0004546035855749,-0.0047363929312646
pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,Gram,ses-7,-0.006245166083002,-0.0092499078708391,-0.0078475331677016
pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,Gram,ses-9,-0.0362971630310175,-0.0433842471164182,-0.0390929663721164
pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,Gram,ses-5,-0.0035450774160052,-0.0008071529958544,-0.0096931103087652
pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,Gram,ses-7,-0.0076584193225789,-0.0076864542220361,-0.0154177177567399
pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,Gram,ses-9,-0.0448674436972036,-0.0365415935955478,-0.0343107448740239
pico-decoder-large,pico-lm/pico-decoder-large@609cb555fe8ab89fe8deccc19ae52176c053de3c,16000,,Gram,ses-5,0.013973839283885,0.0143413637234384,0.0153429702876429
pico-decoder-large,pico-lm/pico-decoder-large@609cb555fe8ab89fe8deccc19ae52176c053de3c,16000,,Gram,ses-7,-0.0103388586737076,-0.0060014215133099,-0.0132075700655678
pico-decoder-large,pico-lm/pico-decoder-large@609cb555fe8ab89fe8deccc19ae52176c053de3c,16000,,Gram,ses-9,-0.0281981889509051,-0.0287433449371235,-0.0283685125967235
pico-decoder-large,pico-lm/pico-decoder-large@2e9b09372c42b65faa9486c0d7b8191ff5b5c4de,20000,,Gram,ses-5,0.0018126180105207,0.0093778924346135,0.0041857727905784
pico-decoder-large,pico-lm/pico-decoder-large@2e9b09372c42b65faa9486c0d7b8191ff5b5c4de,20000,,Gram,ses-7,-0.0032350986380778,0.0013253669135092,-0.0028514825341196
pico-decoder-large,pico-lm/pico-decoder-large@2e9b09372c42b65faa9486c0d7b8191ff5b5c4de,20000,,Gram,ses-9,-0.0365085662983254,-0.0346449282332271,-0.0346478128739818
pico-decoder-large,pico-lm/pico-decoder-large@020ad4d5ea0fe4c387769324ee38ad1d15bb3f85,24000,,Gram,ses-5,0.0099137669323123,0.0091905249548989,0.0062284987888593
pico-decoder-large,pico-lm/pico-decoder-large@020ad4d5ea0fe4c387769324ee38ad1d15bb3f85,24000,,Gram,ses-7,-0.0020451702606457,-0.0019446146702885,-0.0035851377833346
pico-decoder-large,pico-lm/pico-decoder-large@020ad4d5ea0fe4c387769324ee38ad1d15bb3f85,24000,,Gram,ses-9,-0.030390444511725,-0.0263551393870368,-0.0334402044403115
pico-decoder-large,pico-lm/pico-decoder-large@dab022094801d1fd4c0c4deb04d7c0815ea0d9b4,30000,,Gram,ses-5,0.0112511603957045,0.0108709093452898,0.0159987229243098
pico-decoder-large,pico-lm/pico-decoder-large@dab022094801d1fd4c0c4deb04d7c0815ea0d9b4,30000,,Gram,ses-7,-0.0016192843233337,0.0001215000731358,0.0072400879845726
pico-decoder-large,pico-lm/pico-decoder-large@dab022094801d1fd4c0c4deb04d7c0815ea0d9b4,30000,,Gram,ses-9,-0.0493707206507238,-0.0445600184647304,-0.0403611977060873
pico-decoder-large,pico-lm/pico-decoder-large@22fe7c47349efbd4d073c95fe64e3b50251cb0fb,37000,,Gram,ses-5,0.0138840670130179,0.0116119504001278,0.009248206949884
pico-decoder-large,pico-lm/pico-decoder-large@22fe7c47349efbd4d073c95fe64e3b50251cb0fb,37000,,Gram,ses-7,-0.0092103755247732,-0.0103995464946553,-0.0129626655803134
pico-decoder-large,pico-lm/pico-decoder-large@22fe7c47349efbd4d073c95fe64e3b50251cb0fb,37000,,Gram,ses-9,-0.0416041121516947,-0.0392623659807239,-0.0453289862179471
pico-decoder-large,pico-lm/pico-decoder-large@5a81c54569b9cadfac8813c3db918fae371226c7,45000,,Gram,ses-5,-0.0084882718227063,-0.0101372540960749,-0.0088867006543205
pico-decoder-large,pico-lm/pico-decoder-large@5a81c54569b9cadfac8813c3db918fae371226c7,45000,,Gram,ses-7,-0.016341196650153,-0.0183681707354158,-0.0168070001293706
pico-decoder-large,pico-lm/pico-decoder-large@5a81c54569b9cadfac8813c3db918fae371226c7,45000,,Gram,ses-9,-0.0461603232368724,-0.0477211605835957,-0.0457251233507173
pico-decoder-large,pico-lm/pico-decoder-large@ea63999d87b948bca4d4e9938706f51ccc88c365,55000,,Gram,ses-5,-0.0107313732343673,-0.0088008669027134,-0.041958944604732
pico-decoder-large,pico-lm/pico-decoder-large@ea63999d87b948bca4d4e9938706f51ccc88c365,55000,,Gram,ses-7,-0.0064501097459194,0.0007559024729794,-0.0493826898540351
pico-decoder-large,pico-lm/pico-decoder-large@ea63999d87b948bca4d4e9938706f51ccc88c365,55000,,Gram,ses-9,-0.0500454842168953,-0.0451981862621083,-0.0264913169364805
