family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,31.51614004179943,0.0567555698975875,0.0052287249308477,0.3912958578599277,17.07634624798068,
pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,36.69386199134558,0.0795606192973125,0.0118752991100623,0.3562492250397215,20.16418158282387,0.9323971616461978
pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,293.6266435696888,0.2851786414017176,0.1284415421870184,0.028009789575499,227.77461557039388,0.2924214932105327
pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,67.73485868528991,0.1702370905785399,0.0611365849961148,0.1480665477519423,37.56439996831142,0.327175507830092
pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,78.15689012996887,0.1873034910240694,0.079659857450144,0.1843282271434383,36.63879781966305,0.8123182795268583
pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,125.58682244481524,0.199152359253168,0.119350626893206,0.1113923884352057,49.98383314204005,0.7349788516085001
pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,145.14589689819812,0.2104384550671872,0.235560593562357,0.1484236537374769,49.07611743817475,0.817836111819597
pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,169.14095223644236,0.2168580531465753,0.3240570329459531,0.1312397314370058,58.175337298509625,0.853810218142876
pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,216.43840961490864,0.212719972451452,0.4762753190819762,0.1226496766123476,58.37817145403756,0.8332732183265966
pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,270.5171806793705,0.2192312104707646,0.5890014871105363,0.0931577641044599,58.85025645875572,0.805081075441315
pico-decoder-large,pico-lm/pico-decoder-large@609cb555fe8ab89fe8deccc19ae52176c053de3c,16000,,348.9067376345524,0.22211951718739,0.6176988666514868,0.0984030184109404,69.15203262768635,0.7875372555744701
pico-decoder-large,pico-lm/pico-decoder-large@2e9b09372c42b65faa9486c0d7b8191ff5b5c4de,20000,,402.8613281046544,0.2260640507586528,0.6640624823574718,0.1058326296228274,79.01065164024465,0.7665112432839799
pico-decoder-large,pico-lm/pico-decoder-large@020ad4d5ea0fe4c387769324ee38ad1d15bb3f85,24000,,471.2497890597565,0.2379898380350882,0.7000804145948915,0.0674000241470131,93.79684594151746,0.6467540493336552
pico-decoder-large,pico-lm/pico-decoder-large@dab022094801d1fd4c0c4deb04d7c0815ea0d9b4,30000,,549.2665589692114,0.2464702409547154,0.7306018704299412,0.0554374721732635,107.97056625614847,0.6494662612332421
pico-decoder-large,pico-lm/pico-decoder-large@22fe7c47349efbd4d073c95fe64e3b50251cb0fb,37000,,639.4217954221654,0.2555372439630702,0.7443299287317623,0.0373073772196059,129.93747661058154,0.8143826910225971
pico-decoder-large,pico-lm/pico-decoder-large@5a81c54569b9cadfac8813c3db918fae371226c7,45000,,666.3400825630654,0.2526675987068826,0.761278137381702,0.0243659571607306,154.82262776703826,0.8442202002734298
pico-decoder-large,pico-lm/pico-decoder-large@ea63999d87b948bca4d4e9938706f51ccc88c365,55000,,708.8561188620088,0.2595654181755772,0.772065200446753,0.0213341168004851,194.69819592500323,0.907291707863364
pico-decoder-large,pico-lm/pico-decoder-large@6dc96c3465c47b8b192056175e156d703a132e5e,68000,,735.0357311875313,0.2634505793343135,0.7827081308484622,0.0173784320242093,189.79369826979817,0.8954787667264682
pico-decoder-large,pico-lm/pico-decoder-large@46310457a1f616890732dc9d54ca3b6f35263f47,83000,,767.5634527486451,0.2705253935011781,0.7836063676138493,0.0167404803806536,234.64953115038085,0.9339191132118496
pico-decoder-large,pico-lm/pico-decoder-large@1ca25b1c86203affda1776487d77204c79b5c4f7,102000,,781.7814381605253,0.2793680646383603,0.7866318169421042,0.0152610523634751,217.50683528210092,0.9414095109951564
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,,743.2188532960846,0.2819223153296205,0.7844154488980624,0.014910548715005,214.10867911881255,0.9545756785950172
