family,model_ref,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
pico-decoder-small,pico-lm/pico-decoder-small@a8294defc7001e32644ce53dbcb87ef35587ff22,0,,Gram,ses-5,-0.0138672417453004,-0.0103163182250201,-0.0185550210139749
pico-decoder-small,pico-lm/pico-decoder-small@a8294defc7001e32644ce53dbcb87ef35587ff22,0,,Gram,ses-7,-0.0288119422569146,-0.0301599870344811,-0.0329141416164173
pico-decoder-small,pico-lm/pico-decoder-small@a8294defc7001e32644ce53dbcb87ef35587ff22,0,,Gram,ses-9,-0.0296876006016434,-0.0329567165768126,-0.0260996376881474
pico-decoder-small,pico-lm/pico-decoder-small@5e3d06988f3cc3adbf36b55cd8b1ddb3ae9f9bde,1000,,Gram,ses-5,-0.0263409672097659,-0.0235098556927084,-0.0227896303613654
pico-decoder-small,pico-lm/pico-decoder-small@5e3d06988f3cc3adbf36b55cd8b1ddb3ae9f9bde,1000,,Gram,ses-7,-0.0413418651975672,-0.0417770369514419,-0.0309782295588781
pico-decoder-small,pico-lm/pico-decoder-small@5e3d06988f3cc3adbf36b55cd8b1ddb3ae9f9bde,1000,,Gram,ses-9,-0.0360041739864471,-0.0377114874612721,-0.0255785910662556
pico-decoder-small,pico-lm/pico-decoder-small@9f1ca389bbb1cc08b42a32bfe58fb818b24b3490,2000,,Gram,ses-5,-0.0015309770950705,-0.0023154955072991,-0.0106028801255236
pico-decoder-small,pico-lm/pico-decoder-small@9f1ca389bbb1cc08b42a32bfe58fb818b24b3490,2000,,Gram,ses-7,-0.010865945079805,-0.0151050188036973,-0.0105701471352349
pico-decoder-small,pico-lm/pico-decoder-small@9f1ca389bbb1cc08b42a32bfe58fb818b24b3490,2000,,Gram,ses-9,-0.0078332484613089,-0.0098065504835584,-0.0078078147157805
pico-decoder-small,pico-lm/pico-decoder-small@f2269f20ce160cf71bea0a02ccf685e126dd2dc1,3000,,Gram,ses-5,0.0006577035021134,0.0035848153441204,-0.0057089215376145
pico-decoder-small,pico-lm/pico-decoder-small@f2269f20ce160cf71bea0a02ccf685e126dd2dc1,3000,,Gram,ses-7,-0.0027816906744211,-0.0008292757883786,-0.0168313605201996
pico-decoder-small,pico-lm/pico-decoder-small@f2269f20ce160cf71bea0a02ccf685e126dd2dc1,3000,,Gram,ses-9,-0.0182399589493764,-0.0125807742015475,-0.0270503421369499
pico-decoder-small,pico-lm/pico-decoder-small@10da1c98e1cd32fc61ab4ced31075c08cf699861,4000,,Gram,ses-5,0.0097412316564479,0.0116988380302402,0.002529277034314
pico-decoder-small,pico-lm/pico-decoder-small@10da1c98e1cd32fc61ab4ced31075c08cf699861,4000,,Gram,ses-7,0.0038090685715192,0.0014920463470014,-0.0023024810815688
pico-decoder-small,pico-lm/pico-decoder-small@10da1c98e1cd32fc61ab4ced31075c08cf699861,4000,,Gram,ses-9,-0.0371822630018622,-0.0386752344680854,-0.0380355540196292
pico-decoder-small,pico-lm/pico-decoder-small@be2865b50166a683e659f4a1f99e058c77288911,5000,,Gram,ses-5,0.0147561395740029,0.016235570757254,0.0133925701056834
pico-decoder-small,pico-lm/pico-decoder-small@be2865b50166a683e659f4a1f99e058c77288911,5000,,Gram,ses-7,0.0102861279600778,0.020299321945498,-0.0030292785464241
pico-decoder-small,pico-lm/pico-decoder-small@be2865b50166a683e659f4a1f99e058c77288911,5000,,Gram,ses-9,-0.0399742533369523,-0.0269041538237171,-0.0475792700172036
pico-decoder-small,pico-lm/pico-decoder-small@496ea4785860af671e895085f1bcdc3bff2f9d97,6000,,Gram,ses-5,0.0155145209336924,0.0153277074435,0.0068322629712954
pico-decoder-small,pico-lm/pico-decoder-small@496ea4785860af671e895085f1bcdc3bff2f9d97,6000,,Gram,ses-7,0.0097719585987399,0.0049125053347865,0.0061862397756134
pico-decoder-small,pico-lm/pico-decoder-small@496ea4785860af671e895085f1bcdc3bff2f9d97,6000,,Gram,ses-9,-0.0547270072992068,-0.0539534929366687,-0.0423997211744766
pico-decoder-small,pico-lm/pico-decoder-small@c5bddf28e9cfbede4fe480513c4a3487279f7d47,7000,,Gram,ses-5,0.0034574540185585,-0.0068935653743694,0.0079861127810895
pico-decoder-small,pico-lm/pico-decoder-small@c5bddf28e9cfbede4fe480513c4a3487279f7d47,7000,,Gram,ses-7,-0.0007511762498675,-0.017772069353364,0.0047839797656192
pico-decoder-small,pico-lm/pico-decoder-small@c5bddf28e9cfbede4fe480513c4a3487279f7d47,7000,,Gram,ses-9,-0.0593745314386105,-0.0629708907558035,-0.0582195671577071
pico-decoder-small,pico-lm/pico-decoder-small@9fe9969ca88ccf3b71599f85000ce082bf854421,8000,,Gram,ses-5,0.0052768551546947,0.0037011942602076,-0.0013161157212915
pico-decoder-small,pico-lm/pico-decoder-small@9fe9969ca88ccf3b71599f85000ce082bf854421,8000,,Gram,ses-7,0.0064479522164128,0.0034575881878959,-0.0030532840377154
pico-decoder-small,pico-lm/pico-decoder-small@9fe9969ca88ccf3b71599f85000ce082bf854421,8000,,Gram,ses-9,-0.0701664074700813,-0.0655703654038607,-0.0567119863818555
pico-decoder-small,pico-lm/pico-decoder-small@8335f55c1bf51378b17a73d527c39899546e2d5b,9000,,Gram,ses-5,0.0053931821342642,0.0037469243640539,-4.220924074973156e-06
pico-decoder-small,pico-lm/pico-decoder-small@8335f55c1bf51378b17a73d527c39899546e2d5b,9000,,Gram,ses-7,0.0072392656563755,0.0068144249414825,0.0039818873342095
pico-decoder-small,pico-lm/pico-decoder-small@8335f55c1bf51378b17a73d527c39899546e2d5b,9000,,Gram,ses-9,-0.0567812913367005,-0.0537908212711266,-0.0679973545485496
pico-decoder-small,pico-lm/pico-decoder-small@8ce4e4fa15c0cec038fcb9f29d30cc50bac60a3d,10000,,Gram,ses-5,0.0216199247655178,0.0187554591839806,0.0106743512659615
pico-decoder-small,pico-lm/pico-decoder-small@8ce4e4fa15c0cec038fcb9f29d30cc50bac60a3d,10000,,Gram,ses-7,0.0290535292971002,0.0268837600844284,0.0196445106582147
pico-decoder-small,pico-lm/pico-decoder-small@8ce4e4fa15c0cec038fcb9f29d30cc50bac60a3d,10000,,Gram,ses-9,-0.0434544328280427,-0.039572502732226,-0.0408705997279035
