family,model_ref,acc_none,acc_localized_ablated,acc_random_ablated,drop_localized,drop_random,causal_selectivity,step,tokens,phenomenon
pico-decoder-small,pico-lm/pico-decoder-small@a8294defc7001e32644ce53dbcb87ef35587ff22,0.4,0.35,0.35,0.05,0.05,0.0,0,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@5e3d06988f3cc3adbf36b55cd8b1ddb3ae9f9bde,0.65,0.65,0.65,0.0,0.0,0.0,1000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@9f1ca389bbb1cc08b42a32bfe58fb818b24b3490,0.85,0.75,0.8125,0.0999999999999999,0.0374999999999999,0.0625,2000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@f2269f20ce160cf71bea0a02ccf685e126dd2dc1,0.7,0.7,0.75,0.0,-0.05,0.05,3000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@10da1c98e1cd32fc61ab4ced31075c08cf699861,0.75,0.8,0.7000000000000001,-0.05,0.0499999999999999,-0.0999999999999999,4000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@be2865b50166a683e659f4a1f99e058c77288911,0.8,0.75,0.725,0.05,0.075,-0.025,5000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@496ea4785860af671e895085f1bcdc3bff2f9d97,0.75,0.7,0.775,0.05,-0.025,0.075,6000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@c5bddf28e9cfbede4fe480513c4a3487279f7d47,0.75,0.65,0.75,0.0999999999999999,0.0,0.0999999999999999,7000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@9fe9969ca88ccf3b71599f85000ce082bf854421,0.75,0.75,0.75,0.0,0.0,0.0,8000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@8335f55c1bf51378b17a73d527c39899546e2d5b,0.75,0.75,0.7375,0.0,0.0124999999999999,-0.0124999999999999,9000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@8ce4e4fa15c0cec038fcb9f29d30cc50bac60a3d,0.65,0.7,0.7,-0.0499999999999999,-0.0499999999999999,0.0,10000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@3261da23d1d8811f9a32b69d6d6b9a17ca82fcd0,0.8,0.8,0.725,0.0,0.075,-0.075,11000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@a6a20b8103a7cdacefa2bb78dee23c516ad6e78e,0.65,0.75,0.7,-0.0999999999999999,-0.0499999999999999,-0.05,12000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@c2395fd6ba7da947893c62b8169b47a83345153b,0.65,0.55,0.6749999999999999,0.0999999999999999,-0.0249999999999999,0.1249999999999998,13000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@6dc7fa92550aabc62d659674176bda49750efe64,0.7,0.75,0.75,-0.05,-0.05,0.0,14000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@d1c60a45e64f88520c2cd94890471321a15410bf,0.7,0.7,0.6875,0.0,0.0124999999999999,-0.0124999999999999,15000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@cbb63c23390c0d43e0d6dfaa0c69aed19778fa74,0.7,0.8,0.75,-0.1,-0.05,-0.05,16000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@a4f386c7a4155bfab638b897e60bc656a82e6a4f,0.75,0.7,0.7124999999999999,0.05,0.0375,0.0124999999999999,17000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@9b68d0ee8ceef680cc668de7d4560f7d8d311e42,0.75,0.75,0.7375,0.0,0.0124999999999999,-0.0124999999999999,18000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@a161849d9bc2ecbb0bc6095f0fe9fa54a03b14ce,0.8,0.75,0.7375,0.05,0.0625,-0.0124999999999999,19000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@082423f29dc36ca1b544cb85c655531783bb8985,0.8,0.7,0.7375,0.1,0.0625,0.0375,20000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@62236c27ddef441fc85ceabb80793b680397d2f4,0.6,0.7,0.725,-0.0999999999999999,-0.125,0.025,21000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@457283267b592ffd80ca1a4ede807a4a5606a7f4,0.7,0.65,0.6875,0.0499999999999999,0.0124999999999999,0.0374999999999999,22000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@542883f65bdcba033a9c80f753fdd6f6829cb7e7,0.75,0.65,0.6375,0.0999999999999999,0.1125,-0.0125,23000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@bbc3997ae0773f6e0f145401283a22dced84175c,0.65,0.6,0.675,0.05,-0.025,0.075,24000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@8316a2db89b6a337de59490bec6e6ed79275e85f,0.7,0.6,0.65,0.0999999999999999,0.0499999999999999,0.05,25000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@b2ff4ecd5fdb6684736075b48a28007f425925d5,0.7,0.55,0.675,0.1499999999999999,0.0249999999999999,0.125,26000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@d0bf4c35052d4efe8b11ad72cf76ba92d8837271,0.7,0.55,0.675,0.1499999999999999,0.0249999999999999,0.125,27000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@c5fe4eaa6e28635b04a285d9d63224a7013711d4,0.65,0.65,0.6125,0.0,0.0374999999999999,-0.0374999999999999,28000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@574194afaad5aebab0de6f7ec3ebd45241ba9f36,0.6,0.7,0.6625,-0.0999999999999999,-0.0625,-0.0374999999999999,29000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@4e76d0f5009af59c7519cc564d83ccb252becc09,0.7,0.65,0.7124999999999999,0.0499999999999999,-0.0124999999999999,0.0624999999999998,30000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@63e4f365e97340e8419c8d14c3479eab48b41672,0.7,0.7,0.7250000000000001,0.0,-0.0250000000000001,0.0250000000000001,31000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@8c1e326d52a990b3ef622fa0187927b4c3c8b198,0.65,0.65,0.6875,0.0,-0.0374999999999999,0.0374999999999999,32000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@5087b4b665fc374f51db109f5832fccfa45038ed,0.7,0.65,0.6875,0.0499999999999999,0.0124999999999999,0.0374999999999999,33000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@1b37af2dca833f47e09a88bc07d1b193eb75b975,0.7,0.65,0.7625,0.0499999999999999,-0.0625,0.1124999999999999,34000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@f84a2138adf461f090569b0490e077e154d5692a,0.8,0.65,0.8125,0.15,-0.0124999999999999,0.1624999999999999,35000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@a5edb37d58f3dac4abc7615fe9f16119c9719363,0.75,0.65,0.725,0.0999999999999999,0.025,0.0749999999999999,36000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@ad19a8ed94822569698ab34f7cbdb71a73e75edb,0.75,0.65,0.6874999999999999,0.0999999999999999,0.0625000000000001,0.0374999999999998,37000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@6ffc4bc90cff1f5d9492cc62aa823b2f31820dec,0.7,0.6,0.725,0.0999999999999999,-0.025,0.125,38000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@2be3f69fedc1c81a1c9dee69aecdfbb30a7ed07b,0.65,0.65,0.7,0.0,-0.0499999999999999,0.0499999999999999,39000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@89ce452106683eb2c3d635f0b06d00b4836a270d,0.65,0.7,0.7125000000000001,-0.0499999999999999,-0.0625000000000001,0.0125000000000001,40000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@fb21f9a6029769e4fde8c343509be2fc23d627f8,0.7,0.65,0.6749999999999999,0.0499999999999999,0.025,0.0249999999999999,41000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@3b04367b1f9f520d1eb5dc4b1d62222a11574175,0.7,0.7,0.7,0.0,0.0,0.0,42000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@a8fcdde6a31d48184ff170362f4802ba6f7c825b,0.65,0.75,0.6375,-0.0999999999999999,0.0125,-0.1125,43000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@42a2d16068cea73c52aa94a34fd039b076c656d2,0.7,0.7,0.65,0.0,0.0499999999999999,-0.0499999999999999,44000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@9b211dca4e657296153efe83773900826fe138d5,0.65,0.7,0.675,-0.0499999999999999,-0.025,-0.0249999999999999,45000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@8866040c1a6ead0d48bd6a4f6ff9046c778670fa,0.6,0.7,0.6625,-0.0999999999999999,-0.0625,-0.0374999999999999,46000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@2c39df607c549d2902ed46ce83a2e6630df09d90,0.65,0.7,0.6874999999999999,-0.0499999999999999,-0.0374999999999998,-0.0125,47000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@e2f848f2a712b27ddfebe48ddc4dd6258de6df59,0.65,0.8,0.7125,-0.15,-0.0625,-0.0875,48000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@fa46e0b2c4bcc53653b39cd684396f35c777aead,0.65,0.7,0.6,-0.0499999999999999,0.05,-0.0999999999999999,49000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@1c1daa1853e150e7a21ae4af47574da037fbb206,0.7,0.75,0.725,-0.05,-0.025,-0.025,50000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@7aa7c5e89a41da940802066eaa61d34d72089434,0.65,0.65,0.725,0.0,-0.0749999999999999,0.0749999999999999,51000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@9213448a01fde86281f3df23d6846b5c31f86998,0.7,0.75,0.7,-0.05,0.0,-0.05,52000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@41f9cd78186e1fbaf4b6b2164f52331d4ef4c15e,0.75,0.85,0.7124999999999999,-0.0999999999999999,0.0375,-0.1375,53000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@f4454c4dd5fa26693e9755fbac1a1f6aa12f6c37,0.7,0.75,0.7250000000000001,-0.05,-0.0250000000000001,-0.0249999999999999,54000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@497f4bdf16cbdcb120415cd944d84b34d1fef37a,0.7,0.8,0.65,-0.1,0.0499999999999999,-0.15,55000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@79119d3d39e86e4f4fdd14e0de769ebbba87b4c1,0.7,0.7,0.6749999999999999,0.0,0.025,-0.025,56000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@1e0aa9e9184e67611fe6a3fe7e0d301e199367b4,0.75,0.75,0.725,0.0,0.025,-0.025,57000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@12cffd4abfebe78cd4df44f368d49ae2aec28999,0.75,0.7,0.7,0.05,0.05,0.0,58000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@88752c656e1478698735820b50bc1648b43897bc,0.7,0.7,0.7,0.0,0.0,0.0,59000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@ef0c2a9858930c1b946d7fd3ec94d87a30fb6316,0.7,0.8,0.7,-0.1,0.0,-0.1,60000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@2adfdbab6dd63824aeb0c5b7f40693509b21f72e,0.7,0.75,0.65,-0.05,0.0499999999999999,-0.0999999999999999,61000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@8f2f5e9d39b7ef2738d2ddfa5002e690090afb1b,0.7,0.75,0.6875,-0.05,0.0124999999999999,-0.0625,62000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@27a605b8a3168bf13fde7e4903edf05011890db5,0.7,0.85,0.7,-0.15,0.0,-0.15,63000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@64faca95211d12573bc85e90ab9b9346d61f571c,0.65,0.75,0.6499999999999999,-0.0999999999999999,1.1102230246251563e-16,-0.1,64000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@04de7a38c9b974bc56e59c77ce6289b59ac333a3,0.6,0.75,0.6499999999999999,-0.15,-0.0499999999999999,-0.1,65000,,Gram
pico-decoder-small,pico-lm/pico-decoder-small@0a060522b26b84154fe744cff68debc60a62771b,0.7,0.85,0.6625000000000001,-0.15,0.0374999999999998,-0.1874999999999999,66000,,Gram
