family,model_ref,step,tokens,phenomenon,mp_accuracy
pico-decoder-small,pico-lm/pico-decoder-small@a8294defc7001e32644ce53dbcb87ef35587ff22,0,,Gram,0.4
pico-decoder-small,pico-lm/pico-decoder-small@5e3d06988f3cc3adbf36b55cd8b1ddb3ae9f9bde,1000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@9f1ca389bbb1cc08b42a32bfe58fb818b24b3490,2000,,Gram,0.85
pico-decoder-small,pico-lm/pico-decoder-small@f2269f20ce160cf71bea0a02ccf685e126dd2dc1,3000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@10da1c98e1cd32fc61ab4ced31075c08cf699861,4000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@be2865b50166a683e659f4a1f99e058c77288911,5000,,Gram,0.8
pico-decoder-small,pico-lm/pico-decoder-small@496ea4785860af671e895085f1bcdc3bff2f9d97,6000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@c5bddf28e9cfbede4fe480513c4a3487279f7d47,7000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@9fe9969ca88ccf3b71599f85000ce082bf854421,8000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@8335f55c1bf51378b17a73d527c39899546e2d5b,9000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@8ce4e4fa15c0cec038fcb9f29d30cc50bac60a3d,10000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@3261da23d1d8811f9a32b69d6d6b9a17ca82fcd0,11000,,Gram,0.8
pico-decoder-small,pico-lm/pico-decoder-small@a6a20b8103a7cdacefa2bb78dee23c516ad6e78e,12000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@c2395fd6ba7da947893c62b8169b47a83345153b,13000,,Gram,0.65
pico-decoder-small,pico-lm/pico-decoder-small@6dc7fa92550aabc62d659674176bda49750efe64,14000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@d1c60a45e64f88520c2cd94890471321a15410bf,15000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@cbb63c23390c0d43e0d6dfaa0c69aed19778fa74,16000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@a4f386c7a4155bfab638b897e60bc656a82e6a4f,17000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@9b68d0ee8ceef680cc668de7d4560f7d8d311e42,18000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@a161849d9bc2ecbb0bc6095f0fe9fa54a03b14ce,19000,,Gram,0.8
pico-decoder-small,pico-lm/pico-decoder-small@082423f29dc36ca1b544cb85c655531783bb8985,20000,,Gram,0.8
pico-decoder-small,pico-lm/pico-decoder-small@62236c27ddef441fc85ceabb80793b680397d2f4,21000,,Gram,0.6
pico-decoder-small,pico-lm/pico-decoder-small@457283267b592ffd80ca1a4ede807a4a5606a7f4,22000,,Gram,0.7
pico-decoder-small,pico-lm/pico-decoder-small@542883f65bdcba033a9c80f753fdd6f6829cb7e7,23000,,Gram,0.75
pico-decoder-small,pico-lm/pico-decoder-small@bbc3997ae0773f6e0f145401283a22dced84175c,24000,,Gram,0.65
