family,model_ref,dataset,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
pico-decoder-tiny,pico-lm/pico-decoder-tiny@103adb71c10fcc35cebf2b93843f0dd76be7f44e,ds003604,0,,Gram,ses-5,60,-0.018686193181524,-0.0382194064283136,-0.0125009181988611,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fa2c5d27a1fbae4ac24e49c80d0ff1a9cecfabd0,ds003604,1000,,Gram,ses-5,60,-0.0197660464377064,-0.0185233588951454,-0.0132508072165639,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@c0dda9ee77ced01962ae332bbf283bcf238765a8,ds003604,2000,,Gram,ses-5,60,-0.0090783117803367,-0.0355446305026606,-0.0055807328344719,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@88ef3234093953618e0d8f3c898c9811ec24ed35,ds003604,3000,,Gram,ses-5,60,-0.0001966868386117,-0.0214429323730249,8.303711439640003e-06,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@84bc530a1fc367c8efc0b3957b86d1c509296091,ds003604,4000,,Gram,ses-5,60,-0.0118308866265257,-0.0275457584072683,-0.0078265674053776,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@d31ea8a1afbffb6e7b934a4645ce44652a0d146f,ds003604,5000,,Gram,ses-5,60,-0.0150953694315106,-0.0166106718888723,-0.0097836883169973,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@61eace927bb768764dca51562258d78a2fe54f76,ds003604,7000,,Gram,ses-5,60,0.0052289480451476,-0.0074708625278618,0.0037424188711423,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5db2932311894754cd4e80f811378100794ae014,ds003604,8000,,Gram,ses-5,60,0.000712262813971,-0.0108721895359808,0.0003966619080012,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@a5175df52f960d869efda7045c5982e933d3b705,ds003604,10000,,Gram,ses-5,60,0.0024662109536593,-0.0039217829529291,0.0012513054392503,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@46c9adae32a035be4680d5185fd1e87408bbc608,ds003604,13000,,Gram,ses-5,60,-0.002576346667513,-0.004623941246935,-0.0016205012247974,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@50fc297ab0c87309ed3b0c670e2d57d37acab44a,ds003604,16000,,Gram,ses-5,60,0.0087388157481757,-0.0109325302822776,0.0055743453641337,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fd11f6e99d18679b34412651c839856af185d241,ds003604,20000,,Gram,ses-5,60,0.0153387612656866,-0.0145470066354289,0.0099344326169785,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@e1dc0e8bf248742bffbb7184e2971541821cff1b,ds003604,24000,,Gram,ses-5,60,0.0254671699235885,-0.01619450064834,0.0164713697610766,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@4e773530a79a36816566462c2b3d9ff7172b65f8,ds003604,30000,,Gram,ses-5,60,0.0320311926830145,-0.01696666483324,0.0205976755995439,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@de9cd9bd9035dd4f914f6f69c10b9352e8b5c974,ds003604,37000,,Gram,ses-5,60,-0.014175194999037,-0.0448865841599976,-0.0095601268551609,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5373188422135e88150055fef33a4e3aac2bd5a8,ds003604,45000,,Gram,ses-5,60,-0.009560600775885,-0.0373498022564892,-0.0064992510691028,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@6a777ce3230ad361b38533d232052d21852db2f0,ds003604,56000,,Gram,ses-5,60,-0.0109092146911247,-0.0423531295011963,-0.0082698578468476,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@807a5f576926680d3e81601211eeb7f086c9bbd6,ds003604,68000,,Gram,ses-5,60,-0.0093429023698259,-0.0303544128686252,-0.0071303331385154,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fcd2b3ed5faa6b2389382af2bc876f1835ecff6a,ds003604,84000,,Gram,ses-5,60,0.0022428428110832,-0.0240434207010257,0.0007518052588043,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@3d9aaed7161ee69ed04d611c1ee9c81176178c6a,ds003604,103000,,Gram,ses-5,60,-0.0067646286411035,-0.0192387390943068,-0.0045753450032416,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@6ce1a7d66569cb86b4589f3fc6298e885b8ab8e5,ds003604,126000,,Gram,ses-5,60,-0.0019312237048048,-0.0195759779392573,-0.0017469731374934,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@103adb71c10fcc35cebf2b93843f0dd76be7f44e,ds003604,0,,Gram,ses-7,60,-0.029684542839163,-0.0372858238480966,-0.0200713480436775,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fa2c5d27a1fbae4ac24e49c80d0ff1a9cecfabd0,ds003604,1000,,Gram,ses-7,60,-0.0326254741229249,-0.0161315134513226,-0.0210000862308495,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@c0dda9ee77ced01962ae332bbf283bcf238765a8,ds003604,2000,,Gram,ses-7,60,-0.0265785573021091,-0.0381761030122852,-0.0180771798040962,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@88ef3234093953618e0d8f3c898c9811ec24ed35,ds003604,3000,,Gram,ses-7,60,-0.0188700268140125,-0.0161223554941689,-0.0127461970598474,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@84bc530a1fc367c8efc0b3957b86d1c509296091,ds003604,4000,,Gram,ses-7,60,-0.0312958819572975,-0.0228743233924358,-0.0207548073698632,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@d31ea8a1afbffb6e7b934a4645ce44652a0d146f,ds003604,5000,,Gram,ses-7,60,-0.0315714095118085,-0.011322497154901,-0.0205836231647999,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@61eace927bb768764dca51562258d78a2fe54f76,ds003604,7000,,Gram,ses-7,60,-0.0151458106103178,0.0003357546813015,-0.0100442971067953,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5db2932311894754cd4e80f811378100794ae014,ds003604,8000,,Gram,ses-7,60,-0.0086925944114326,-0.0031399185518632,-0.0055283555776987,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@a5175df52f960d869efda7045c5982e933d3b705,ds003604,10000,,Gram,ses-7,60,-0.0126165541342087,0.0026339663322528,-0.0084525394985197,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@46c9adae32a035be4680d5185fd1e87408bbc608,ds003604,13000,,Gram,ses-7,60,-0.0171683938958123,0.0028507016875685,-0.0110203025744699,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@50fc297ab0c87309ed3b0c670e2d57d37acab44a,ds003604,16000,,Gram,ses-7,60,0.0038574820621141,-0.0065169292392551,0.0020765666069438,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fd11f6e99d18679b34412651c839856af185d241,ds003604,20000,,Gram,ses-7,60,0.0057385924373797,-0.0105497802425307,0.00337066809746,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@e1dc0e8bf248742bffbb7184e2971541821cff1b,ds003604,24000,,Gram,ses-7,60,0.0072118301908935,-0.0159566159831017,0.0047976289710104,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@4e773530a79a36816566462c2b3d9ff7172b65f8,ds003604,30000,,Gram,ses-7,60,0.0060626849639956,-0.0136201547770956,0.0036478843101372,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@de9cd9bd9035dd4f914f6f69c10b9352e8b5c974,ds003604,37000,,Gram,ses-7,60,-0.0349484019623109,-0.0489841680132758,-0.0232880781059872,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5373188422135e88150055fef33a4e3aac2bd5a8,ds003604,45000,,Gram,ses-7,60,-0.0347640554567099,-0.0380367028950554,-0.0229661496009427,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@6a777ce3230ad361b38533d232052d21852db2f0,ds003604,56000,,Gram,ses-7,60,-0.0256860304092314,-0.0442446880572603,-0.0176287793863557,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@807a5f576926680d3e81601211eeb7f086c9bbd6,ds003604,68000,,Gram,ses-7,60,-0.0233103610361077,-0.0318524866182989,-0.0158990524187753,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fcd2b3ed5faa6b2389382af2bc876f1835ecff6a,ds003604,84000,,Gram,ses-7,60,-0.0165542662140709,-0.0254796730781078,-0.0110573499024313,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@3d9aaed7161ee69ed04d611c1ee9c81176178c6a,ds003604,103000,,Gram,ses-7,60,-0.0141304971334802,-0.0189318426603087,-0.0086352211501917,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@6ce1a7d66569cb86b4589f3fc6298e885b8ab8e5,ds003604,126000,,Gram,ses-7,60,-0.0106475282185843,-0.0201331643433037,-0.0066627703097603,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@103adb71c10fcc35cebf2b93843f0dd76be7f44e,ds003604,0,,Gram,ses-9,60,-0.0449960060547376,-0.0401537908902269,-0.0298799474949938,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fa2c5d27a1fbae4ac24e49c80d0ff1a9cecfabd0,ds003604,1000,,Gram,ses-9,60,-0.045032188495411,-0.0202264743746734,-0.0300907340161539,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@c0dda9ee77ced01962ae332bbf283bcf238765a8,ds003604,2000,,Gram,ses-9,60,-0.0601993655727139,-0.0460682223371036,-0.0400117529454222,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@88ef3234093953618e0d8f3c898c9811ec24ed35,ds003604,3000,,Gram,ses-9,60,-0.0394555135620557,-0.0222320822000329,-0.026364283820857,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@84bc530a1fc367c8efc0b3957b86d1c509296091,ds003604,4000,,Gram,ses-9,60,-0.044530944834919,-0.0265030140182195,-0.0299655395975254,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@d31ea8a1afbffb6e7b934a4645ce44652a0d146f,ds003604,5000,,Gram,ses-9,60,-0.0457392803798373,-0.0149374990349841,-0.0303615627584929,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@61eace927bb768764dca51562258d78a2fe54f76,ds003604,7000,,Gram,ses-9,60,-0.0240324452619805,-0.0028811219129141,-0.015910549865384,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5db2932311894754cd4e80f811378100794ae014,ds003604,8000,,Gram,ses-9,60,-0.0232357044559168,-0.0065861826277608,-0.0152270905391983,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@a5175df52f960d869efda7045c5982e933d3b705,ds003604,10000,,Gram,ses-9,60,-0.0351018202716138,0.0004099417756226,-0.0234963096390121,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@46c9adae32a035be4680d5185fd1e87408bbc608,ds003604,13000,,Gram,ses-9,60,-0.0416208140701826,-0.00274809226773,-0.0278704493266009,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@50fc297ab0c87309ed3b0c670e2d57d37acab44a,ds003604,16000,,Gram,ses-9,60,-0.0364821046425506,-0.0114199199920418,-0.024372670569411,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fd11f6e99d18679b34412651c839856af185d241,ds003604,20000,,Gram,ses-9,60,-0.0384901608512364,-0.0152197751442419,-0.0254777029379169,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@e1dc0e8bf248742bffbb7184e2971541821cff1b,ds003604,24000,,Gram,ses-9,60,-0.043149474580161,-0.0178783137885099,-0.0286446107315889,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@4e773530a79a36816566462c2b3d9ff7172b65f8,ds003604,30000,,Gram,ses-9,60,-0.0421821937261216,-0.0171039472739329,-0.0284351017044964,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@de9cd9bd9035dd4f914f6f69c10b9352e8b5c974,ds003604,37000,,Gram,ses-9,60,-0.0716470764736712,-0.0514720688553058,-0.0475502454385477,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5373188422135e88150055fef33a4e3aac2bd5a8,ds003604,45000,,Gram,ses-9,60,-0.0688520413602301,-0.0413074591021295,-0.0455599096811694,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@6a777ce3230ad361b38533d232052d21852db2f0,ds003604,56000,,Gram,ses-9,60,-0.0639427593355741,-0.0443534890769633,-0.0433294050390753,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@807a5f576926680d3e81601211eeb7f086c9bbd6,ds003604,68000,,Gram,ses-9,60,-0.0556226287429316,-0.0303625316769633,-0.0376675513313085,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fcd2b3ed5faa6b2389382af2bc876f1835ecff6a,ds003604,84000,,Gram,ses-9,60,-0.0556187767845345,-0.0250271399251806,-0.0369930344635962,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@3d9aaed7161ee69ed04d611c1ee9c81176178c6a,ds003604,103000,,Gram,ses-9,60,-0.0544632130696558,-0.0168633659251414,-0.0363082976433428,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@6ce1a7d66569cb86b4589f3fc6298e885b8ab8e5,ds003604,126000,,Gram,ses-9,60,-0.0567711312554228,-0.0180987885896617,-0.0375116970550568,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@103adb71c10fcc35cebf2b93843f0dd76be7f44e,ds003604,0,,Phon,ses-5,72,0.0093936618534384,0.0073189859096899,0.0063504313552548,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fa2c5d27a1fbae4ac24e49c80d0ff1a9cecfabd0,ds003604,1000,,Phon,ses-5,72,-0.0196863025638486,-0.0119753211009261,-0.013653304913193,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@c0dda9ee77ced01962ae332bbf283bcf238765a8,ds003604,2000,,Phon,ses-5,72,-0.0467736202583988,-0.0433861695283637,-0.0311776289395428,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@88ef3234093953618e0d8f3c898c9811ec24ed35,ds003604,3000,,Phon,ses-5,72,-0.0031858023744045,0.0409208814340437,-0.0018503716362099,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@84bc530a1fc367c8efc0b3957b86d1c509296091,ds003604,4000,,Phon,ses-5,72,0.0291292782166989,0.0485627441097575,0.0194671836192191,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@d31ea8a1afbffb6e7b934a4645ce44652a0d146f,ds003604,5000,,Phon,ses-5,72,0.0188467362606879,0.0405585027044179,0.0128472509333014,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@61eace927bb768764dca51562258d78a2fe54f76,ds003604,7000,,Phon,ses-5,72,-0.0167766346140624,-0.00885038802641,-0.0112872057305782,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5db2932311894754cd4e80f811378100794ae014,ds003604,8000,,Phon,ses-5,72,-0.0321394702011487,-0.0230838274255467,-0.021469456005439,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@a5175df52f960d869efda7045c5982e933d3b705,ds003604,10000,,Phon,ses-5,72,-0.0018705059065263,-0.0157434930933455,-0.0013658817440411,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@46c9adae32a035be4680d5185fd1e87408bbc608,ds003604,13000,,Phon,ses-5,72,-0.008732145652122,-0.0153404318348195,-0.0059418918380909,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@50fc297ab0c87309ed3b0c670e2d57d37acab44a,ds003604,16000,,Phon,ses-5,72,0.0070474423104343,-0.0056720687225348,0.0050727500467033,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@fd11f6e99d18679b34412651c839856af185d241,ds003604,20000,,Phon,ses-5,72,-0.0017683779140018,-0.0097818589590887,-0.0013162689990781,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@e1dc0e8bf248742bffbb7184e2971541821cff1b,ds003604,24000,,Phon,ses-5,72,-0.0134250058489307,-0.0186739898644292,-0.0091385451215665,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@4e773530a79a36816566462c2b3d9ff7172b65f8,ds003604,30000,,Phon,ses-5,72,-0.0275179839732918,-0.0246441928726774,-0.0185135164104872,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@de9cd9bd9035dd4f914f6f69c10b9352e8b5c974,ds003604,37000,,Phon,ses-5,72,-0.0381965238661617,-0.0312028297894957,-0.025608138940186,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@5373188422135e88150055fef33a4e3aac2bd5a8,ds003604,45000,,Phon,ses-5,72,-0.0460880475636456,-0.0278912378462931,-0.0307831769919363,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@6a777ce3230ad361b38533d232052d21852db2f0,ds003604,56000,,Phon,ses-5,72,-0.0285604574134258,-0.0154140480811892,-0.0190457815385463,,
pico-decoder-tiny,pico-lm/pico-decoder-tiny@807a5f576926680d3e81601211eeb7f086c9bbd6,ds003604,68000,,Phon,ses-5,72,-0.0111832749622382,-0.0183903020913284,-0.0075294996769046,,
