dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Gram,ses-5,60,0.0390525965497024,0.0434477017740923,0.0256310022260334,BrainAlign/gpt2-babylm-3,0.8398150343230842,0.8472510876978319,60,97,0.046501425854063146,0.0081285104156867,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Gram,ses-5,60,0.0410207070842021,0.031388153424782,0.0269813134555256,BrainAlign/gpt2-babylm-3,0.8398150343230842,0.8472510876978319,60,97,0.04884493061887848,0.0081285104156867,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Gram,ses-5,60,0.0264854307978064,0.0225855857924094,0.0176389993388968,BrainAlign/gpt2-babylm-3,0.8398150343230842,0.8472510876978319,60,97,0.03153721916773548,0.0081285104156867,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Gram,ses-5,60,0.0311462203894426,0.0284423364242465,0.020692210160549,BrainAlign/gpt2-babylm-3,0.8398150343230842,0.8472510876978319,60,97,0.03708700025184399,0.0081285104156867,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Gram,ses-5,60,0.0269416519895059,0.0281333455087493,0.0181742693532366,BrainAlign/gpt2-babylm-3,0.8398150343230842,0.8472510876978319,60,97,0.032080459254009035,0.0081285104156867,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Gram,ses-5,60,0.0224554080497739,0.0237074968180854,0.0149639267612651,BrainAlign/gpt2-babylm-3,0.8398150343230842,0.8472510876978319,60,97,0.026738516378042247,0.0081285104156867,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Gram,ses-5,60,0.0312222121709431,0.0311339182125971,0.0207318124766458,BrainAlign/gpt2-babylm-3,0.8398150343230842,0.8472510876978319,60,97,0.03717748658323213,0.0081285104156867,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Gram,ses-5,60,0.0354258716818198,0.0309079590469669,0.0236611063737372,BrainAlign/gpt2-babylm-3,0.8398150343230842,0.8472510876978319,60,97,0.04218294533197313,0.0081285104156867,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Gram,ses-5,60,0.0352477272620424,0.0304204661149374,0.0234669272754564,BrainAlign/gpt2-babylm-3,0.8398150343230842,0.8472510876978319,60,97,0.041970821932776084,0.0081285104156867,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Gram,ses-7,60,0.0233861688757747,0.0470307023312482,0.0154876993289962,BrainAlign/gpt2-babylm-3,0.8473571253286221,0.8585290564097823,60,104,0.027598952291461615,0.0080555141424375,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Gram,ses-7,60,0.0334145889169711,0.0344011458985887,0.0220374114137707,BrainAlign/gpt2-babylm-3,0.8473571253286221,0.8585290564097823,60,104,0.03943389147050867,0.0080555141424375,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Gram,ses-7,60,0.0152364679660076,0.0251968834363993,0.0100966743635684,BrainAlign/gpt2-babylm-3,0.8473571253286221,0.8585290564097823,60,104,0.017981164624182033,0.0080555141424375,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Gram,ses-7,60,0.0167185998481798,0.0310265056838368,0.0110292450329433,BrainAlign/gpt2-babylm-3,0.8473571253286221,0.8585290564097823,60,104,0.019730287677342646,0.0080555141424375,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Gram,ses-7,60,0.0116884355785466,0.0304996678835857,0.0080744012544991,BrainAlign/gpt2-babylm-3,0.8473571253286221,0.8585290564097823,60,104,0.013793989841076265,0.0080555141424375,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Gram,ses-7,60,0.0086046420827071,0.0263751399113637,0.0059959184064539,BrainAlign/gpt2-babylm-3,0.8473571253286221,0.8585290564097823,60,104,0.010154681922772583,0.0080555141424375,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Gram,ses-7,60,0.0200179169083991,0.0342508340738946,0.0134398763385742,BrainAlign/gpt2-babylm-3,0.8473571253286221,0.8585290564097823,60,104,0.02362394356527745,0.0080555141424375,134601216
