task,session,families,parc_noise,difference
Gram,ses-5,0.027972576551496275,0.026663078510985486,0.0013094980405107884
Gram,ses-7,0.022272121678189944,0.022918242116581392,-0.0006461204383914482
Gram,ses-9,-0.0018609275054230685,-0.00287172725294248,0.0010107997475194115
Phon,ses-5,-0.008066522402922454,-0.011287371985223707,0.0032208495823012537
Phon,ses-7,-0.006194365828292894,-0.01134536897445447,0.005151003146161576
Phon,ses-9,-0.0068423154492111135,-0.01033434939897235,0.003492033949761236
Plaus,ses-5,-0.00229215655217428,-0.0035786725920909416,0.0012865160399166617
Plaus,ses-7,-0.002332324787655803,-0.004718961037382555,0.002386636249726752
Plaus,ses-9,0.0047426439309847055,0.000913923755172169,0.0038287201758125363
Sem,ses-5,-0.004412136973109395,-0.003985661340885131,-0.0004264756322242642
Sem,ses-7,-0.0060863909906462435,-0.004095601432396529,-0.0019907895582497144
Sem,ses-9,-0.00257084664591914,-0.0033864868882163305,0.0008156402422971904
