dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-5,72,-0.006708663701852605,-0.007580426506795504,-0.004382459138391996
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-5,72,-0.04953881486579047,-0.023792985860943333,-0.033389377360050716
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-5,72,-0.031249418030802466,-0.028151484928817333,-0.020734452376358608
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-5,72,-0.021677330237723405,-0.03152586811034558,-0.014262132919281287
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-5,72,-0.011917108679402244,-0.01938901843990542,-0.007138110244419331
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-5,72,-0.017775852213909725,-0.019599104801464193,-0.01125168055517274
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-5,72,-0.008046713806715122,-0.01245134281527705,-0.004613372778528094
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-5,72,-0.005190932229758584,-0.009032686141110295,-0.0028561016020016597
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-5,72,-0.005611161284498753,-0.010036069913147563,-0.0030337274790294276
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-7,72,-0.048341338876013815,-0.0060291220577254724,-0.033032900599946714
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-7,72,-0.058537586893042746,-0.02046977115746364,-0.039133430721314186
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-7,72,-0.05898060048538912,-0.029920795679805275,-0.03883391674246391
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-7,72,-0.0589665155507685,-0.030659612849240816,-0.039259606344306315
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-7,72,-0.034505047905826945,-0.01673755152305319,-0.023107289092239892
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-7,72,-0.02663394736354295,-0.016915747368023894,-0.01779076284189153
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-7,72,-0.022445115114895102,-0.010256472371073171,-0.01488627350097541
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-7,72,-0.01621300942697847,-0.006180486202004058,-0.01090561634648071
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-7,72,-0.018189065390246773,-0.007755175827921443,-0.012161247546159758
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-9,72,-0.03127461066105733,-0.007927126619536835,-0.020053961516434987
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-9,72,-0.04864142271982093,-0.016520196310807332,-0.03274747419065382
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-9,72,-0.041701535413454685,-0.02633130196740191,-0.027780687167142888
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-9,72,-0.030507407865367396,-0.026509018839519543,-0.02038593815556964
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-9,72,-0.008298498541298415,-0.011132141992514343,-0.005224650796713308
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-9,72,-0.010873407837822728,-0.012887371671439605,-0.0071405602565162655
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-9,72,-0.007149209556163912,-0.006073066722582747,-0.004450446974081934
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-9,72,-0.00412439510999671,-0.0021873733377696138,-0.0024677746846375054
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-9,72,-0.0035507013505163493,-0.0037718669681932604,-0.0020610726765463404
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Plaus,ses-5,60,-0.021408389492894062,-0.03508219041796476,-0.014506583885051084
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Plaus,ses-5,60,-0.04931979905912779,-0.046564333730816684,-0.033058352735274486
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Plaus,ses-5,60,-0.056024766707519255,-0.05173713723642431,-0.037933270097376987
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Plaus,ses-5,60,-0.05299753424349088,-0.0432874098201693,-0.03536039704515622
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Plaus,ses-5,60,-0.0515781243625435,-0.04082771033678981,-0.03421703985462118
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Plaus,ses-5,60,-0.047340346887572445,-0.034277833897397074,-0.03151513990156909
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Plaus,ses-5,60,-0.03953760788438754,-0.02830564895204425,-0.02603980032767723
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Plaus,ses-5,60,-0.03787144760778534,-0.025183466694826684,-0.024959040346456393
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Plaus,ses-5,60,-0.04010898099194324,-0.026654566039341514,-0.026498420697958883
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Sem,ses-5,72,-0.011042480949703738,0.006952215984871935,-0.007414961611372955
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Sem,ses-5,72,-0.0053830370842207695,0.005740598451848911,-0.003657255557699316
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Sem,ses-5,72,0.004711650649383216,0.006267536005792441,0.0028389515173231164
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Sem,ses-5,72,0.012421391737348334,0.012091226332655733,0.008529717115478256
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Sem,ses-5,72,0.019182454989085235,0.012597362534444089,0.012684325128855322
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Sem,ses-5,72,0.01927851136872145,0.020825463324800987,0.013018139277062678
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Sem,ses-5,72,0.00845354995704077,0.017021271294967492,0.0056380903380710435
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Sem,ses-5,72,0.013426853418671076,0.020182936803879097,0.00895295670522373
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Sem,ses-5,72,0.010667647782969669,0.018587833528643957,0.007079309954092898
