dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-5,72,-0.012738744717067096,0.007199361169265152,-0.008339228674941582
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-5,72,-0.04448408107933688,-0.027693858798372273,-0.029797047122920167
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-5,72,-0.018532537300257435,-0.019372009616670398,-0.012384198646980819
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-5,72,-0.039244179268721764,-0.016519509256602945,-0.026237792049098242
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-5,72,-0.054733673630384096,-0.027411602555252143,-0.03655969301348425
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-5,72,-0.04138015098051032,-0.022468793335743985,-0.027348260032033906
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,ses-5,72,-0.039517850267019636,-0.027332090539145856,-0.026540368543069678
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-5,72,-0.03923910366192455,-0.025026058715401134,-0.026287404794061168
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-5,72,-0.03926593977409152,-0.023915405621220243,-0.026266579691237222
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-7,72,-0.019369254997253057,0.008723326421129052,-0.012841125903059145
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-7,72,-0.08705199806816498,-0.028459242083368527,-0.05833478802801589
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-7,72,-0.05222098093945083,-0.01662535879193247,-0.03450413286415601
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-7,72,-0.05485287960613607,-0.014616725106889276,-0.03662951835824689
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-7,72,-0.06350054942563271,-0.025643301515592933,-0.042142045576350026
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-7,72,-0.047386616015804524,-0.020709854306197692,-0.03129767953229269
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,ses-7,72,-0.06285191519054127,-0.02602805490278213,-0.041872544245687204
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,ses-7,72,-0.05764256906462355,-0.02364384684586229,-0.03838678953477333
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,ses-7,72,-0.05473073807130629,-0.02251677190337437,-0.03643167988141941
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,ses-9,72,-0.01310723247703075,0.011727266639472569,-0.008469079316079122
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,ses-9,72,-0.03593025357398838,-0.024549144880638425,-0.02396356832011858
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,ses-9,72,-0.018060686241513562,-0.013835263922826056,-0.0121183723344634
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,ses-9,72,-0.0319662046653608,-0.013955253188620823,-0.021374518036682805
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,ses-9,72,-0.040510511186077215,-0.025064115061076243,-0.027052421071329037
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,ses-9,72,-0.033396146752097976,-0.02042208030015751,-0.021917808219178082
