dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Phon,ses-5,72,0.004737591362135019,-0.00046559124686924684,0.0030227024245932216
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Phon,ses-5,72,0.004737591362135019,-0.00046559124686924684,0.0030227024245932216
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Phon,ses-5,72,0.004737591362135019,-0.00046559124686924684,0.0030227024245932216
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Phon,ses-5,72,0.004763024729792836,-0.0004589511925650082,0.003036789994150596
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,Phon,ses-5,72,0.004783146783584271,-0.00045337111995347613,0.0030325024729809602
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,8,,Phon,ses-5,72,0.004716555224831469,-0.0004446750710364973,0.0029914647703573037
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,16,,Phon,ses-5,72,0.004759136281770784,-0.0003609335810963012,0.0030913027633073936
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,32,,Phon,ses-5,72,0.005075917240675361,0.0003760629818468416,0.0032413660042446457
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,64,,Phon,ses-5,72,0.007088091000577982,0.013613563221806124,0.00455947251239553
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,128,,Phon,ses-5,72,0.00493815148908426,-0.00228288665604929,0.002968802158460657
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Phon,ses-5,72,0.009992030837412133,0.014224902107636137,0.007029084706105736
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Phon,ses-5,72,-0.017197033981532446,-0.006053748524949212,-0.011515056855593224
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Phon,ses-5,72,0.01857866761699733,0.004315554077640913,0.01211347231026953
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Phon,ses-5,72,0.0014875997726734671,0.004445672032436692,0.0014295820585614142
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Phon,ses-5,72,-0.008928145422178325,-0.012458256608322213,-0.0051989256696954944
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,Phon,ses-5,72,0.009742208651627254,-0.001595332774017041,0.006277543495371008
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,16384,,Phon,ses-5,72,0.006361622410706194,-0.013887064363913317,0.004097032729099099
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,32768,,Phon,ses-5,72,0.018188514209386875,0.013589282248678194,0.011943808972556801
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,65536,,Phon,ses-5,72,-0.022074948660682787,-0.019325505220239163,-0.015164962377001734
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Phon,ses-7,72,0.006279042295301642,0.0015043763898966748,0.00418523316458875
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Phon,ses-7,72,0.006279042295301642,0.0015043763898966748,0.00418523316458875
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Phon,ses-7,72,0.006279042295301642,0.0015043763898966748,0.00418523316458875
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Phon,ses-7,72,0.006308316682120032,0.0015099758602430376,0.004200545740194591
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,Phon,ses-7,72,0.006319238255403922,0.0015143239875708885,0.004202383249267293
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,8,,Phon,ses-7,72,0.006271458707799015,0.0015214277129164538,0.00416869558293444
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,16,,Phon,ses-7,72,0.00640240548262404,0.0015867904363779913,0.004286908666611541
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,32,,Phon,ses-7,72,0.007516367870767964,0.002229966374874469,0.004936774375323479
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,64,,Phon,ses-7,72,0.020514227237373988,0.012067409657677802,0.01353386682346744
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,128,,Phon,ses-7,72,0.012707530777261918,-0.005891725179542135,0.007955801781771297
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Phon,ses-7,72,0.035749758729920623,0.01525616712001709,0.02393171816285843
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Phon,ses-7,72,0.0007768358849036775,0.0022298676188683246,0.0008330041129578077
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Phon,ses-7,72,0.002746132516792305,0.008268808425043942,0.0014510196644095929
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Phon,ses-7,72,0.008262951328240056,0.0038547848120844856,0.005413301728177282
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Phon,ses-7,72,-0.005055876390843728,-0.016340521421403447,-0.003409191832884674
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,Phon,ses-7,72,0.008329530670467931,-0.00193554794000368,0.005203213190865129
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,16384,,Phon,ses-7,72,-0.04148878822496303,-0.011414840284209445,-0.02775312453105237
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,32768,,Phon,ses-7,72,0.03972913506561573,0.017412376355449986,0.02679333229207819
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,65536,,Phon,ses-7,72,-0.0036714861324602366,-0.01956048620103837,-0.0025988503318235133
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Phon,ses-9,72,0.012777770765252931,-0.0023992422140406075,0.008258378275742736
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Phon,ses-9,72,0.012777770765252931,-0.0023992422140406075,0.008258378275742736
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Phon,ses-9,72,0.012777770765252931,-0.0023992422140406075,0.008258378275742736
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Phon,ses-9,72,0.012810859582324701,-0.0023921785832990705,0.00828716591788172
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,Phon,ses-9,72,0.0128471275703537,-0.0023854525366430075,0.008298803475342158
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,8,,Phon,ses-9,72,0.012804689518617931,-0.0023744803081154403,0.008256540766670034
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,16,,Phon,ses-9,72,0.013016060551507613,-0.0022748664743955345,0.008482554382612263
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,32,,Phon,ses-9,72,0.014273329963225277,-0.0014792089013842703,0.009305145944158098
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,64,,Phon,ses-9,72,0.022413190460786877,0.01332215835543186,0.015074924432439385
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,128,,Phon,ses-9,72,0.0005196902517351858,-0.005233547224850248,0.0004942899405565815
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Phon,ses-9,72,0.020685908936636264,0.014138229693957631,0.013966293958576419
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Phon,ses-9,72,0.0072102095395961486,0.008936404161073112,0.0050752000588002895
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Phon,ses-9,72,0.018870108628728816,0.006255657938575398,0.012425848852628709
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Phon,ses-9,72,0.005255195462584303,0.0034375428555160122,0.0039224693671925
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Phon,ses-9,72,0.004318901589535534,-0.01354045889396415,0.0033295664397342962
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,Phon,ses-9,72,0.004874963310452033,-0.002327915855520216,0.0032125783621056625
