dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Gram,ses-5,60,-0.022769234458055235,-0.03565141903867367,-0.015385499803585289
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Gram,ses-5,60,-0.022743876453281825,-0.03565362738473519,-0.015361227416300185
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Gram,ses-5,60,-0.022737750108213255,-0.035664936669579594,-0.015408494696802751
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Gram,ses-5,60,-0.02289505283623673,-0.03570424855555343,-0.015527301645092986
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Gram,ses-5,60,-0.041016956834818964,-0.01366032408431558,-0.02712311529703334
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Gram,ses-5,60,-0.04256350947514952,-0.022339235293212807,-0.02849769891381067
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Gram,ses-5,60,-0.03491141883365611,-0.0374406241295395,-0.023001919434836624
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Gram,ses-5,60,-0.014882669915281425,-0.011887142416256324,-0.009196041045884394
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Gram,ses-5,60,-0.007425912516906893,-0.010295489927685371,-0.0042827988617527854
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Gram,ses-5,60,-0.01436234824061611,-0.019318358959199644,-0.009456649835682326
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Gram,ses-5,60,-0.020059013842061196,-0.03433467256627109,-0.013958538930034846
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Gram,ses-5,60,-0.025032502386739968,-0.030297329541075075,-0.016781800819512447
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Gram,ses-5,60,-0.01983002573546424,-0.031052359191855887,-0.01328402206232255
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Phon,ses-5,72,-0.02749175868737119,-0.031291775000275475,-0.018375703230034696
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Phon,ses-5,72,-0.027510059041710416,-0.031283227124159554,-0.01839591582983441
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Phon,ses-5,72,-0.0274656728135585,-0.03125394579229954,-0.018406940884270615
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Phon,ses-5,72,-0.027387821930538556,-0.03113042892497539,-0.018395303326810174
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Phon,ses-5,72,-0.024934107747471825,-0.024997106550761903,-0.016845058172474725
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Phon,ses-5,72,-0.020181227763701407,-0.01609806060977937,-0.013984669049303431
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Phon,ses-5,72,-0.03989097312026406,-0.043168468005315666,-0.027019345908020416
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Phon,ses-5,72,-0.05821886925562784,0.0008527774243876655,-0.03889639205093575
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Phon,ses-5,72,-0.02355771140810465,-1.6329199928232646e-05,-0.014877698458636138
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Phon,ses-5,72,-0.030216203279324182,-0.009597985685658495,-0.020002511262399356
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Phon,ses-5,72,-0.018667842500004608,-0.022449133206425304,-0.012373173592544612
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Phon,ses-5,72,0.012229711586782108,0.014999059200692836,0.008073402362424164
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Phon,ses-5,72,-0.009375288199949703,-0.010332987375800524,-0.006475381972198488
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Phon,ses-7,72,-0.034796562216707995,-0.0358174520159782,-0.0234747909067801
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Phon,ses-7,72,-0.034733941028556155,-0.035782503773115946,-0.023450290785810752
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Phon,ses-7,72,-0.03463335519264883,-0.0356326174437435,-0.02340802807713863
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Phon,ses-7,72,-0.0301939979487233,-0.026525745125066343,-0.02026772507189254
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Phon,ses-7,72,-0.022937536645757112,-0.016222907733748227,-0.015795227988938194
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Phon,ses-7,72,-0.04786978604420196,-0.05082643986265943,-0.03189854499906593
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Phon,ses-7,72,-0.03566517869752377,-0.0028066294278746642,-0.022886788003515762
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Phon,ses-7,72,0.027451597220986345,-0.003202277088909665,0.01841796593870682
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Phon,ses-7,72,0.004455753976233634,-0.01223662033251367,0.0025425000535940143
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Phon,ses-7,72,-0.016832206867331924,-0.019564745636887194,-0.011289043239650996
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Phon,ses-7,72,0.02975287073154933,0.024174459938920864,0.020104186764422147
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Phon,ses-7,72,-0.01213734244181622,-0.006332368995376953,-0.008391291432001445
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894
