family,model_ref,step,tokens,phenomenon,mp_accuracy
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Gram,0.75
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Gram,0.8
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Gram,0.85
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Gram,0.9
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Gram,0.85
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Gram,0.8
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Gram,0.7
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Gram,0.75
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Gram,0.75
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Phon,0.5416666666666666
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Phon,0.5416666666666666
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Phon,0.5
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Phon,0.5
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Phon,0.5416666666666666
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Phon,0.5416666666666666
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Phon,0.5
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Phon,0.5833333333333334
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Phon,0.5833333333333334
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Plaus,0.75
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Plaus,0.6
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Plaus,0.7
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Plaus,0.7
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Plaus,0.75
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Plaus,0.8
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Plaus,0.85
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Plaus,0.8
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Plaus,0.8
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Sem,0.6666666666666666
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Sem,0.7083333333333334
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Sem,0.7083333333333334
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Sem,0.75
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Sem,0.8333333333333334
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Sem,0.75
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Sem,0.75
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Sem,0.75
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Sem,0.7916666666666666
