family,model_ref,step,tokens,phenomenon,mp_accuracy
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Gram,0.45
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Gram,0.45
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Gram,0.45
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Gram,0.45
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Gram,0.45
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Gram,0.45
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Gram,0.45
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Gram,0.45
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Gram,0.45
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Gram,0.5
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Gram,0.55
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Gram,0.7
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Gram,0.65
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Gram,0.7
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Gram,0.75
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Gram,0.8
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Gram,0.7
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Gram,0.75
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,0.375
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,0.375
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,0.375
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,0.375
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,0.375
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Phon,0.375
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Phon,0.375
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Phon,0.375
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Phon,0.4166666666666667
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Phon,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Phon,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Phon,0.25
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Phon,0.375
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Phon,0.4166666666666667
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Phon,0.2916666666666667
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Phon,0.4583333333333333
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Phon,0.4166666666666667
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Phon,0.625
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Plaus,0.35
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Plaus,0.35
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Plaus,0.35
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Plaus,0.35
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Plaus,0.35
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Plaus,0.35
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Plaus,0.35
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Plaus,0.35
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Plaus,0.4
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Plaus,0.35
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Plaus,0.5
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Plaus,0.55
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Plaus,0.6
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Plaus,0.65
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Plaus,0.65
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Plaus,0.6
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Plaus,0.7
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Plaus,0.7
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Sem,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Sem,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Sem,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Sem,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Sem,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Sem,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Sem,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Sem,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Sem,0.5416666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Sem,0.4583333333333333
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Sem,0.5833333333333334
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Sem,0.625
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Sem,0.7083333333333334
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Sem,0.7083333333333334
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Sem,0.625
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Sem,0.7916666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Sem,0.6666666666666666
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Sem,0.6666666666666666
