family,step,layer,per,gini,hoyer,norm,condition_number
babylm-gpt2,598,0,0.08068205793154269,0.3099501554253871,0.14363183613127592,24.98369670902465,280.6839874857951
babylm-gpt2,598,1,0.048667020327332035,0.3181133364620636,0.14852300201672897,33.51363233436534,360.42173250902425
babylm-gpt2,598,2,0.044619661653111986,0.32978275854678224,0.16971620579347743,40.239336968510884,376.44090894351916
babylm-gpt2,598,3,0.04239710836988711,0.3432545027281189,0.18099743801560278,46.67640070007749,392.6257365551645
babylm-gpt2,598,4,0.04061689236453421,0.3476602270751592,0.1792373627373152,54.423834612941825,405.7891527696536
babylm-gpt2,598,5,0.040045598204957004,0.34542490933384856,0.17491469067052312,58.1811578872125,416.0770071197955
babylm-gpt2,598,6,0.04196740427290531,0.3417259574721537,0.17127052271970944,58.893270862650915,415.9922468061908
babylm-gpt2,598,7,0.04464541331361513,0.33050610298313465,0.16142997721210608,58.78414918933289,392.7831007308846
babylm-gpt2,598,8,0.050003126307643815,0.3086225528127547,0.14325426991978968,58.70809148285978,366.3013236066883
babylm-gpt2,598,9,0.052629817774465376,0.28789074106305595,0.1271344719822718,60.79539205425035,360.32393014465
babylm-gpt2,598,10,0.0558620215752623,0.27650149679976305,0.1175065338790277,65.90123830259701,364.0332016904367
babylm-gpt2,598,11,0.055898577366271913,0.2670914112671647,0.11277476994356408,71.80525020861695,390.89681869313944
babylm-gpt2,897,0,0.10550214018811355,0.319277822570499,0.1508492924662212,30.294449269136592,204.7330236648456
babylm-gpt2,897,1,0.069557279892419,0.32405466362275304,0.15923827088928985,35.8359521917519,243.72655413855244
babylm-gpt2,897,2,0.0494102979127199,0.34464313423983256,0.19451886849927474,43.50697918532893,280.441694014827
babylm-gpt2,897,3,0.046951282251646104,0.3461766095526226,0.19582199271836304,49.374674175218395,291.3470142687327
babylm-gpt2,897,4,0.04502734996582796,0.3490544151641634,0.1906971227729041,56.39637332101288,306.61626080472973
babylm-gpt2,897,5,0.045057369744304264,0.34046000243638314,0.18156738293971666,60.03175532676801,308.8786976330754
babylm-gpt2,897,6,0.04847755082603791,0.33542609214668545,0.17855031860993964,61.75911253978708,293.4939151430706
babylm-gpt2,897,7,0.051765299090016974,0.32150252567917104,0.16738960736941846,61.65428255610755,274.8703366152271
babylm-gpt2,897,8,0.05722514782253052,0.30410561801339525,0.1518422194652395,62.03518491000659,273.3989825620173
babylm-gpt2,897,9,0.06303930469015871,0.28406501176637117,0.1294916164928711,64.37655494624377,269.0609369824645
babylm-gpt2,897,10,0.07187015105913111,0.2726499614560208,0.12205825583140174,70.13592489317864,259.73326542239676
babylm-gpt2,897,11,0.07499411560990371,0.2676960494640898,0.11929658057479221,77.49909582000845,264.3364365705357
babylm-gpt2,1196,0,0.12496699173090177,0.29367472162008434,0.13650208194649502,28.002298498539815,175.19096473645098
babylm-gpt2,1196,1,0.0898209253908072,0.3157430723933518,0.17403486630244522,37.25250881797902,206.29861836068775
babylm-gpt2,1196,2,0.07181636923192772,0.3419556956760925,0.22015737932378354,44.81483562354264,218.8997166972533
babylm-gpt2,1196,3,0.06402859728728669,0.34269755416468267,0.22277096060936263,50.726825948371925,231.85135815794658
babylm-gpt2,1196,4,0.063335880121016,0.3358456389776687,0.20876790737342382,56.86532411370292,229.80752498382245
babylm-gpt2,1196,5,0.062208760418931044,0.32508614181970685,0.19993136391012759,60.08352003413549,233.785255365081
babylm-gpt2,1196,6,0.062532071935041,0.31746828805954036,0.19236570318638715,61.633209999557515,223.28989895334286
babylm-gpt2,1196,7,0.06377437213334912,0.3041479227551669,0.18068980275943397,62.61810691518968,212.43748252648004
babylm-gpt2,1196,8,0.06627030065844199,0.2852684050965819,0.15901157458842788,63.74229153016973,207.94717333559367
babylm-gpt2,1196,9,0.07383181156076438,0.2527476969826223,0.11695000963513529,65.02173111332532,201.5604059775594
babylm-gpt2,1196,10,0.08484846476723505,0.23594906306683328,0.09495434453982726,69.79590234813827,204.59936235049184
babylm-gpt2,1196,11,0.09043042103955995,0.2250146824377559,0.08803785779646785,76.19697691799284,217.20925026400246
babylm-gpt2,1495,0,0.12686299368432394,0.295787934606979,0.14484668779053217,27.153836175254096,154.5380447869345
babylm-gpt2,1495,1,0.09583695675921343,0.3050215765975201,0.19305850074695735,34.078117781095074,166.42760267021677
babylm-gpt2,1495,2,0.06970623364218637,0.32344563768164186,0.23457261137105148,40.09223324430929,181.7299422024937
babylm-gpt2,1495,3,0.06114996617448347,0.3246957778364565,0.2314529116178595,45.98390626515242,190.8839909099289
babylm-gpt2,1495,4,0.060584725948710894,0.32474721676074453,0.21529935636460643,51.831834221816614,196.85545251738992
babylm-gpt2,1495,5,0.05736635370842029,0.31784910883991113,0.20483201193867823,55.59314732620001,207.32985402262148
babylm-gpt2,1495,6,0.057745193717914714,0.307644791953572,0.19790539729979667,57.235707840908965,199.91571241529547
babylm-gpt2,1495,7,0.058432383505632755,0.29742211288028014,0.1893670459911171,58.64140525044511,194.50398290678297
babylm-gpt2,1495,8,0.06160945734955826,0.2799657893471008,0.16824274647131313,59.763546392556286,191.98121915457452
babylm-gpt2,1495,9,0.07015413562335573,0.24827778548285387,0.11983569903623126,60.72425859086504,186.75752760037093
babylm-gpt2,1495,10,0.08331586388044575,0.22866902031614864,0.09177912789319237,65.64233214722894,185.54610938266302
babylm-gpt2,1495,11,0.08964115767095059,0.2166493648561206,0.08406290448653873,73.18770591638919,192.82169586345307
babylm-gpt2,1794,0,0.13472683118064457,0.2881164505306974,0.14215151969751408,26.31491306101826,138.84641961306875
babylm-gpt2,1794,1,0.1003774470861642,0.30448895351851535,0.20025933474354596,35.15535646873571,157.23278607953367
babylm-gpt2,1794,2,0.07436560857551694,0.3230896831908952,0.2419245851369196,41.737712911590535,175.85920152995794
babylm-gpt2,1794,3,0.06627199696507247,0.3241366219747925,0.2403627529954729,47.0334496163722,181.47553734442943
babylm-gpt2,1794,4,0.06491445185689135,0.32106764406187027,0.2230473385351,52.13403644137847,186.33968841712962
babylm-gpt2,1794,5,0.06297989202183724,0.31525539654140244,0.21329035119522635,55.79949355035057,192.14947410950808
babylm-gpt2,1794,6,0.06350478670508691,0.3084347134339877,0.20752130788877982,58.125284174043436,181.99411089707587
babylm-gpt2,1794,7,0.06191617375921631,0.30048557249661884,0.20153443590963518,60.336166841858045,180.0573143540324
babylm-gpt2,1794,8,0.06585502254725538,0.28548072388251083,0.1854378781509138,62.47063097037506,178.26151000456292
babylm-gpt2,1794,9,0.07389433670303264,0.2534106520808792,0.13553001889333702,63.27245377571477,176.62015460830796
babylm-gpt2,1794,10,0.09156794578076469,0.22732016844824532,0.09070542329425951,66.15199674443876,173.38281813814507
babylm-gpt2,1794,11,0.1037703183146066,0.21138178300010915,0.07781719057681064,73.30253300709025,176.68819000594033
babylm-gpt2,2093,0,0.13574675888621363,0.2928745737740311,0.15375288159010506,24.93455658464296,130.7268046907687
babylm-gpt2,2093,1,0.09295261563937687,0.30656738216306606,0.22120820590764073,34.4971973987692,159.65983507708088
babylm-gpt2,2093,2,0.06663019186685032,0.3194431628362304,0.25747490085125935,39.853324157957715,178.05342808524398
babylm-gpt2,2093,3,0.05965194463670464,0.31662727461192947,0.25573503185013496,44.63863502917677,182.34057916490863
babylm-gpt2,2093,4,0.06040496430960232,0.3125057697212171,0.23581123396292983,49.326444583318086,181.35924759608392
babylm-gpt2,2093,5,0.05777533447164469,0.30563047122309356,0.2224881652580909,52.82097574115619,187.65974444563142
babylm-gpt2,2093,6,0.05670929394199671,0.30063499871618155,0.21765586665186898,55.21675408381659,181.26717439861577
babylm-gpt2,2093,7,0.05491372427875723,0.29541264622171,0.21273407143516535,57.53630698327906,178.5834973707718
babylm-gpt2,2093,8,0.0573698472214119,0.27932033484782187,0.1965270358022446,60.39497277630463,176.61529173690334
babylm-gpt2,2093,9,0.06632993801294047,0.24799215744412662,0.14634597041623038,61.70625878539711,172.76402954180404
babylm-gpt2,2093,10,0.08567557364871024,0.218111261043383,0.08980370518639705,63.74550064017023,165.8538145319968
babylm-gpt2,2093,11,0.09649393409991265,0.20225455816474,0.07259501623898705,69.95115421167635,174.61824445778467
babylm-gpt2,2392,0,0.1382530742406494,0.278236287859354,0.14759336302982498,23.33341856810638,127.04125790624852
babylm-gpt2,2392,1,0.09521392953590214,0.3039039332648299,0.22682037232891478,33.584479229249794,153.63177899119805
babylm-gpt2,2392,2,0.06813223989410934,0.31401982109592,0.2594601991901369,38.66447948463454,170.8376262798628
babylm-gpt2,2392,3,0.060005792603191783,0.3132076990595724,0.2574106588638522,42.92300222409355,173.15787942724722
babylm-gpt2,2392,4,0.06110745677436838,0.3123818720197833,0.23806756396250106,47.39107225423518,169.98872083366007
babylm-gpt2,2392,5,0.058669302456386394,0.30623314306078236,0.22488568459932864,50.74639025921281,175.17160592744483
babylm-gpt2,2392,6,0.057698688364131966,0.301614273199213,0.22131801159186323,53.191456655704634,169.31247086965908
babylm-gpt2,2392,7,0.05583285578591874,0.2939309806962454,0.21593868675867098,55.638707317314626,165.53613917267387
babylm-gpt2,2392,8,0.05800448642382423,0.2792405489979523,0.20062672090714803,58.57108069723042,166.1677407500528
babylm-gpt2,2392,9,0.06823522011744437,0.24635629900500686,0.15029534512392997,59.97907312139736,164.66930832257486
babylm-gpt2,2392,10,0.09051720795048832,0.21928942228406934,0.09181478032478607,62.026444294561,160.14021570938846
babylm-gpt2,2392,11,0.10330183446758995,0.20350724188233724,0.07312828155019473,68.21342038287419,167.9110196752988
babylm-gpt2,2691,0,0.14085357269303841,0.28100668231036846,0.1490250833956077,22.941503488901063,124.9260954898897
babylm-gpt2,2691,1,0.10085422265039963,0.3042515972802466,0.22715471592811945,32.40587826093338,147.82911062045247
babylm-gpt2,2691,2,0.07154317061832047,0.3170917246110713,0.2628791635385281,37.46024024744964,163.5116009016094
babylm-gpt2,2691,3,0.06236682681499756,0.3154278375463632,0.25988025380671725,41.75487104684103,168.29549530276756
babylm-gpt2,2691,4,0.06331438164475642,0.31482749785647296,0.2404314902942507,46.210509300134866,167.46977786010078
babylm-gpt2,2691,5,0.06043948593593674,0.309590563464847,0.2280548722845007,49.52615300960412,173.39594166134762
babylm-gpt2,2691,6,0.05929417434041378,0.3049236763718346,0.22436869873715748,51.90789335840916,169.6018821949992
babylm-gpt2,2691,7,0.05708509674699755,0.29731515215175436,0.21833425402235412,54.23771322488105,166.10389532421343
babylm-gpt2,2691,8,0.05957021417805703,0.282246597544282,0.20202096811522788,57.04763616130427,167.1819428519222
babylm-gpt2,2691,9,0.06992121790310109,0.24862892311692342,0.1489592315118623,58.33844390861511,166.09137070864554
babylm-gpt2,2691,10,0.09267549621097078,0.2180846701672312,0.08813355963529479,60.24256701741604,160.7764677699147
babylm-gpt2,2691,11,0.10455451505681634,0.19971000167382527,0.06952358458694681,66.55500483602002,169.3358181078084
babylm-gpt2,2990,0,0.14080345821405327,0.28070495299973636,0.1504262505568188,22.906170151107485,124.61370473688352
babylm-gpt2,2990,1,0.10018181817923043,0.30377851673982753,0.2308125780303116,32.379356490265465,147.42554809176423
babylm-gpt2,2990,2,0.07091621268248068,0.31629021984047334,0.2657316823838501,37.44840797687968,163.0680143397098
babylm-gpt2,2990,3,0.06196024900112318,0.31486444797197305,0.2625705826403762,41.731383782014774,167.59505167902162
babylm-gpt2,2990,4,0.06299454061560963,0.31450096917889664,0.2425208443509314,46.1726279142795,166.58399622020983
babylm-gpt2,2990,5,0.060112057640289394,0.3093249283052398,0.23036266739879807,49.48406101997145,172.41688083002256
babylm-gpt2,2990,6,0.05888972345786339,0.3043503773411326,0.22616005468556066,51.89957099225467,168.5843100322646
babylm-gpt2,2990,7,0.05668662991504748,0.2970192380309776,0.22028754513405585,54.24182401439463,165.29112410133553
babylm-gpt2,2990,8,0.05902624657852236,0.2820280184833515,0.20424699941992294,57.081163735122885,166.51728892093504
babylm-gpt2,2990,9,0.06965714022640118,0.24856581008280454,0.1514181567064221,58.29011348398922,165.2725689898614
babylm-gpt2,2990,10,0.09320097385546769,0.21761826566480114,0.08888530471873442,60.0550021091824,160.1161755311548
babylm-gpt2,2990,11,0.10576305431570585,0.1984010883859185,0.06895497810338938,66.08849513189294,169.0490799869797
