control,n_cells,rsa_mean,rsa_max,z_max,p_min,n_significant,frac_of_ceiling_max
run_identity,24,0.27371168652997513,0.8659011398521078,35.63146627019687,0.0001999600079984003,18,-0.03000392834534682
presentation_order,24,0.18795210612287105,0.6369509006278027,25.92041184497519,0.0001999600079984003,18,-0.026305917116741417
acoustic_spectrum,24,-0.002546949778378354,0.06059026777512356,3.526100298300141,0.004999000199960008,0,0.06875144647287747
n_phonemes,12,-0.01125801508047449,0.05038971547320026,2.8697344016848216,0.008998200359928014,0,0.05888561707521643
n_syllables,18,0.016185416568388084,0.0564059756965257,2.729565410995062,0.013997200559888023,0,0.06554949904889466
intensity,18,0.014532956184912967,0.0799682510385167,2.452240630631344,0.027594481103779243,0,0.0013906392932287565
acoustic_envelope,24,-0.012748130800390051,0.04979444040244268,2.1100115988069383,0.03719256148770246,0,0.05929215541244288
condition,24,-0.011777391394956026,0.03639530364801373,1.8531336368220905,0.05378924215156969,0,0.04129755260213381
word_length,24,-0.004294631364822339,0.05340013341877674,1.6991643999010029,0.04939012197560488,0,0.013409595523499171
duration,24,0.00019419557376582067,0.03557379213221577,1.5376431195503577,0.05538892221555689,0,0.042359082553517474
text_edit_distance,24,-0.0004178785614633702,0.027044882716156196,1.4377512376975312,0.11597680463907219,0,0.030971678298173665
log_frequency,24,-0.01847581177573233,-0.0002889136283100198,-0.005898829317078396,0.10557888422315537,0,-0.0017087901284615935
