task,session,n_stim,group_rdm_effective_rank,subject_rdm_rank_median,subject_rdm_rank_min,subject_rdm_rank_max,ceiling
Sem,ses-5,72,4,4,4,5,0.859195657929363
Sem,ses-7,72,4,4,4,4,0.8546160651387789
Sem,ses-9,72,4,4,4,4,0.8812944437325619
Phon,ses-5,72,4,4,4,5,0.8557219568377097
Phon,ses-7,72,4,4,4,4,0.8460261320456435
Phon,ses-9,72,4,4,4,4,0.8734471856251366
Gram,ses-5,60,7,7,7,7,0.839814981527775
Gram,ses-7,60,7,7,7,7,0.8473571685763311
Gram,ses-9,60,7,7,7,7,0.856295191724584
Plaus,ses-5,60,7,7,7,7,0.8377734204919007
Plaus,ses-7,60,7,7,7,7,0.8460574463236867
Plaus,ses-9,60,7,7,7,7,0.8571027495439336
