family,n_cells,trend_rho_mean,trend_rho_sd,t,p,null_trend_lo,null_trend_hi,outside_null_range,direction_if_outside
babylm-gpt2-5,12,0.2861111111111111,0.4132791590434525,2.3981803592584514,0.03534618733060669,-0.16339869281045752,0.23631535947712423,True,increasing
pythia-1.4b-full,12,0.23111343640900536,0.624163402068194,1.2826776220644245,0.22597413788191728,-0.16339869281045752,0.23631535947712423,False,
babylm-gpt2,12,0.21527777777777776,0.5171043275025704,1.442154045209687,0.17711986620222897,-0.16339869281045752,0.23631535947712423,False,
babylm-gpt2-7,12,0.1541666666666667,0.45383467153899676,1.1767479051113323,0.2641326135088895,-0.16339869281045752,0.23631535947712423,False,
babylm-gpt2-3,12,0.08333333333333333,0.32975350451113283,0.8754270406398876,0.40005359658618234,-0.16339869281045752,0.23631535947712423,False,
pythia-70m-full,12,0.007227672620385855,0.6350601275667825,0.039425231267306494,0.9692578151640235,-0.16339869281045752,0.23631535947712423,False,
beetle-humanscale-eng,12,-0.007708432955568741,0.3019941290266177,-0.08842157010679236,0.9311308787422254,-0.16339869281045752,0.23631535947712423,False,
pico-decoder-tiny,12,-0.016125541125541116,0.4024314920102718,-0.1388075092705008,0.8921108754016804,-0.16339869281045752,0.23631535947712423,False,
pythia-1b-full,12,-0.018757531324334793,0.6543202885311916,-0.09930609778658524,0.9226818998066887,-0.16339869281045752,0.23631535947712423,False,
beetle-fineweb3-eng,12,-0.1520213244051041,0.6222202148932651,-0.8463519872902828,0.4153891149871689,-0.16339869281045752,0.23631535947712423,False,
pico-decoder-large,12,-0.30638528138528137,0.2953367609499882,-3.5936933305803938,0.00421625013783573,-0.16339869281045752,0.23631535947712423,True,DECREASING
pico-decoder-medium,12,-0.34025974025974026,0.2995266048295554,-3.935190720272916,0.0023312004972172863,-0.16339869281045752,0.23631535947712423,True,DECREASING
pico-decoder-small,12,-0.38160173160173166,0.4023192219165848,-3.2857171687784814,0.0072597097702081755,-0.16339869281045752,0.23631535947712423,True,DECREASING
pythia-160m-full,12,-0.46532444679817603,0.2519396075259382,-6.398085571164863,5.094022176083096e-05,-0.16339869281045752,0.23631535947712423,True,DECREASING
pythia-410m-full,12,-0.527103838958141,0.35265283014817495,-5.177730344920235,0.00030482267527224177,-0.16339869281045752,0.23631535947712423,True,DECREASING
