file,n_stimuli,n_voxels,frac_voxels_near_constant,pattern_effective_rank,pc1_vs_global_signal,pc1_vs_mean_map,rdm_vs_amplitude_rsa,top2_variance_share
sub-001_ses-T1_run-01_patterns.npz,51,104268,0.0,35,0.33511312217194567,0.15143462161475374,0.08235702286701997,0.28088614815260743
sub-001_ses-T1_run-02_patterns.npz,45,105237,0.0,32,0.7428194993412383,0.8277742970092876,0.25763948335831377,0.31015148695053146
sub-002_ses-T1_run-01_patterns.npz,51,131143,0.0,38,0.06009049773755656,0.6481925321558429,0.07452132914897332,0.14080037845591264
sub-002_ses-T1_run-02_patterns.npz,45,136671,0.0,33,0.15757575757575756,0.19386194331260925,0.13395243591193184,0.2542750816461374
sub-003_ses-T1_run-01_patterns.npz,51,120465,0.0,38,0.15176470588235294,0.6827936342049824,0.19881448021697226,0.18237820371082888
sub-003_ses-T1_run-02_patterns.npz,45,123703,0.0,32,0.13860342555994729,0.3893447915183869,0.12308810362292716,0.21543564580323635
sub-004_ses-T1_run-01_patterns.npz,51,118695,0.0,38,0.9790950226244344,0.22899158575930836,0.22564430064285182,0.16609080186002545
sub-004_ses-T1_run-02_patterns.npz,45,123043,0.0,34,0.9281949934123847,0.24421159533537187,0.25718540430686854,0.195428385390116
sub-005_ses-T1_run-01_patterns.npz,51,125026,0.0,37,0.767420814479638,0.4316120156542646,0.12453955780527791,0.18901123490847813
sub-005_ses-T1_run-02_patterns.npz,45,121808,0.0,31,0.1048748353096179,0.6560835351715737,0.0399935541452878,0.28006441726673303
sub-006_ses-T1_run-02_patterns.npz,45,123289,0.0,29,0.20487483530961792,0.4371900857648899,0.13810332147336882,0.29915906789905694
