family,task,session,n_checkpoints,rsa_mean,rsa_sd,rsa_min,rsa_max,ceiling,seed_null_sd,frac_of_ceiling_max,mean_in_seed_sd
babylm-gpt2,Orth,ses-11,9,0.0161664096050179,0.004116953055388435,0.009784182926476,0.0230498426083203,0.2136860995937111,,0.10786776796499996,
babylm-gpt2,Orth,ses-11+,9,-0.012903642024391067,0.0029333702904569205,-0.0177373155227139,-0.0093409207576964,0.1742624769225749,,-0.05360259375772895,
babylm-gpt2,Orth,ses-7,9,-0.0085883041662954,0.0035373144613963102,-0.0152151786559032,-0.0058859410229283,,,,
babylm-gpt2,Orth,ses-9,9,0.008770317317531612,0.005602400537150878,-0.0042070110133411,0.0143994200229346,0.1650755388561307,,0.0872292777156052,
babylm-gpt2,Phon,ses-11,9,0.0161664096050179,0.004116953055388435,0.009784182926476,0.0230498426083203,0.2136860995937111,,0.10786776796499996,
babylm-gpt2,Phon,ses-11+,9,-0.012903642024391067,0.0029333702904569205,-0.0177373155227139,-0.0093409207576964,0.1742624769225749,,-0.05360259375772895,
babylm-gpt2,Phon,ses-7,9,-0.0085883041662954,0.0035373144613963102,-0.0152151786559032,-0.0058859410229283,,0.0081448036195669,,-1.0544519631711002
babylm-gpt2,Phon,ses-9,9,0.008770317317531612,0.005602400537150878,-0.0042070110133411,0.0143994200229346,0.1650755388561307,0.008728626502912,0.0872292777156052,1.0047763316033402
babylm-gpt2-3,Orth,ses-11,9,-0.017679495238074123,0.007192712298340271,-0.0340088663317672,-0.0124246017652886,0.2136860995937111,,-0.058144174042728716,
babylm-gpt2-3,Orth,ses-11+,9,-0.013253217692235267,0.004932190866019331,-0.0249236014258142,-0.0082036921174889,0.1742624769225749,,-0.04707664129630049,
babylm-gpt2-3,Orth,ses-7,9,-0.008330242673766733,0.006689292034231134,-0.0156361104456383,0.0036530914355447,,,,
babylm-gpt2-3,Orth,ses-9,9,-0.03486497060159024,0.011142585311142345,-0.0492696205009506,-0.0089144541168907,0.1650755388561307,,-0.05400227180030574,
babylm-gpt2-3,Phon,ses-11,9,-0.017679495238074123,0.007192712298340271,-0.0340088663317672,-0.0124246017652886,0.2136860995937111,,-0.058144174042728716,
babylm-gpt2-3,Phon,ses-11+,9,-0.013253217692235267,0.004932190866019331,-0.0249236014258142,-0.0082036921174889,0.1742624769225749,,-0.04707664129630049,
babylm-gpt2-3,Phon,ses-7,9,-0.008330242673766733,0.006689292034231134,-0.0156361104456383,0.0036530914355447,,0.0081448036195669,,-1.0227677747508042
babylm-gpt2-3,Phon,ses-9,9,-0.03486497060159024,0.011142585311142345,-0.0492696205009506,-0.0089144541168907,0.1650755388561307,0.008728626502912,-0.05400227180030574,-3.994324947912339
babylm-gpt2-5,Orth,ses-11,9,-0.01950655710518361,0.006077727473331008,-0.0346452480273781,-0.0140208494475935,0.2136860995937111,,-0.06561423262557478,
babylm-gpt2-5,Orth,ses-11+,9,-0.0166537145673098,0.004374137405156573,-0.0213113980792586,-0.0111810344793328,0.1742624769225749,,-0.06416203118873692,
babylm-gpt2-5,Orth,ses-7,9,-0.007737299348708189,0.007119743746975535,-0.0144383849492387,0.0063848517694517,,,,
babylm-gpt2-5,Orth,ses-9,9,-0.036960721205457285,0.012449132997450933,-0.0485576090026551,-0.0058206684055435,0.1650755388561307,,-0.03526063549982668,
babylm-gpt2-5,Phon,ses-11,9,-0.01950655710518361,0.006077727473331008,-0.0346452480273781,-0.0140208494475935,0.2136860995937111,,-0.06561423262557478,
babylm-gpt2-5,Phon,ses-11+,9,-0.0166537145673098,0.004374137405156573,-0.0213113980792586,-0.0111810344793328,0.1742624769225749,,-0.06416203118873692,
babylm-gpt2-5,Phon,ses-7,9,-0.007737299348708189,0.007119743746975535,-0.0144383849492387,0.0063848517694517,,0.0081448036195669,,-0.9499675756601752
babylm-gpt2-5,Phon,ses-9,9,-0.036960721205457285,0.012449132997450933,-0.0485576090026551,-0.0058206684055435,0.1650755388561307,0.008728626502912,-0.03526063549982668,-4.234425793465517
babylm-gpt2-7,Orth,ses-11,9,-0.017529457064031688,0.006471932590042724,-0.0334336897062459,-0.0111692093574717,0.2136860995937111,,-0.05226923687927343,
babylm-gpt2-7,Orth,ses-11+,9,-0.014392224629359145,0.003988039059938012,-0.0212735925431465,-0.0089272370233794,0.1742624769225749,,-0.05122868204923878,
babylm-gpt2-7,Orth,ses-7,9,-0.007026522007765549,0.007860435473031653,-0.0157420194298103,0.0046763864813954,,,,
babylm-gpt2-7,Orth,ses-9,9,-0.03595144361718157,0.011080833158804478,-0.0484106010852565,-0.0087055265876469,0.1650755388561307,,-0.05273662377824544,
babylm-gpt2-7,Phon,ses-11,9,-0.017529457064031688,0.006471932590042724,-0.0334336897062459,-0.0111692093574717,0.2136860995937111,,-0.05226923687927343,
babylm-gpt2-7,Phon,ses-11+,9,-0.014392224629359145,0.003988039059938012,-0.0212735925431465,-0.0089272370233794,0.1742624769225749,,-0.05122868204923878,
babylm-gpt2-7,Phon,ses-7,9,-0.007026522007765549,0.007860435473031653,-0.0157420194298103,0.0046763864813954,,0.0081448036195669,,-0.8626999908119558
babylm-gpt2-7,Phon,ses-9,9,-0.03595144361718157,0.011080833158804478,-0.0484106010852565,-0.0087055265876469,0.1650755388561307,0.008728626502912,-0.05273662377824544,-4.118797339442538
beetle-fineweb3-eng,Orth,ses-11,19,-0.010580493253405416,0.011721882123078651,-0.0213773391715908,0.0115170789362934,0.2136860995937111,,0.05389718357062639,
beetle-fineweb3-eng,Orth,ses-11+,19,0.002605314592125553,0.010009425509804624,-0.0183709702910825,0.0204861922070091,0.1742624769225749,,0.11755939987075444,
beetle-fineweb3-eng,Orth,ses-7,19,-0.007325562123542748,0.005343294501123003,-0.0188686183767671,0.0040705310068586,,,,
beetle-fineweb3-eng,Orth,ses-9,19,0.009491038111378258,0.007002220743604837,-0.002053662612331,0.0214229229110868,0.1650755388561307,,0.12977648329688418,
beetle-fineweb3-eng,Phon,ses-11,19,-0.010580493253405416,0.011721882123078651,-0.0213773391715908,0.0115170789362934,0.2136860995937111,,0.05389718357062639,
beetle-fineweb3-eng,Phon,ses-11+,19,0.002605314592125553,0.010009425509804624,-0.0183709702910825,0.0204861922070091,0.1742624769225749,,0.11755939987075444,
beetle-fineweb3-eng,Phon,ses-7,19,-0.007325562123542748,0.005343294501123003,-0.0188686183767671,0.0040705310068586,,0.0081448036195669,,-0.8994154390590801
beetle-fineweb3-eng,Phon,ses-9,19,0.009491038111378258,0.007002220743604837,-0.002053662612331,0.0214229229110868,0.1650755388561307,0.008728626502912,0.12977648329688418,1.0873461143298897
beetle-humanscale-eng,Orth,ses-11,18,0.00047015562266924444,0.00736327769048422,-0.0213431484877933,0.0102761320164466,0.2136860995937111,,0.04808984784684157,
beetle-humanscale-eng,Orth,ses-11+,18,0.006014206231930217,0.007715818597110432,-0.0099160125899169,0.0276120845245642,0.1742624769225749,,0.15845111932405445,
beetle-humanscale-eng,Orth,ses-7,18,0.006643523668281917,0.014123941372753817,-0.0210635211902419,0.0186798838026016,,,,
beetle-humanscale-eng,Orth,ses-9,18,0.002145787721269628,0.00657939036498417,-0.0132834093242879,0.0111378039437698,0.1650755388561307,,0.0674709531221146,
beetle-humanscale-eng,Phon,ses-11,18,0.00047015562266924444,0.00736327769048422,-0.0213431484877933,0.0102761320164466,0.2136860995937111,,0.04808984784684157,
beetle-humanscale-eng,Phon,ses-11+,18,0.006014206231930217,0.007715818597110432,-0.0099160125899169,0.0276120845245642,0.1742624769225749,,0.15845111932405445,
beetle-humanscale-eng,Phon,ses-7,18,0.006643523668281917,0.014123941372753817,-0.0210635211902419,0.0186798838026016,,0.0081448036195669,,0.8156763475943924
beetle-humanscale-eng,Phon,ses-9,18,0.002145787721269628,0.00657939036498417,-0.0132834093242879,0.0111378039437698,0.1650755388561307,0.008728626502912,0.0674709531221146,0.24583337602471148
pico-decoder-large,Orth,ses-11,21,-0.00013678559382468558,0.012819991868508806,-0.0243145329179629,0.0264355975985433,0.2136860995937111,,0.12371229410245324,
pico-decoder-large,Orth,ses-11+,21,0.005350137084871358,0.008684496418400191,-0.0109117999296448,0.020323912003679,0.1742624769225749,,0.11662815978857541,
pico-decoder-large,Orth,ses-7,21,0.004828896658381095,0.008447521927384427,-0.0130372695589233,0.0236768323701316,,,,
pico-decoder-large,Orth,ses-9,21,-0.00748751164536999,0.008488874752111379,-0.0236594745486719,0.0044620912830965,0.1650755388561307,,0.027030602559385702,
pico-decoder-large,Phon,ses-11,21,-0.00013678559382468558,0.012819991868508806,-0.0243145329179629,0.0264355975985433,0.2136860995937111,,0.12371229410245324,
pico-decoder-large,Phon,ses-11+,21,0.005350137084871358,0.008684496418400191,-0.0109117999296448,0.020323912003679,0.1742624769225749,,0.11662815978857541,
pico-decoder-large,Phon,ses-7,21,0.004828896658381095,0.008447521927384427,-0.0130372695589233,0.0236768323701316,,0.0081448036195669,,0.5928806738544633
pico-decoder-large,Phon,ses-9,21,-0.00748751164536999,0.008488874752111379,-0.0236594745486719,0.0044620912830965,0.1650755388561307,0.008728626502912,0.027030602559385702,-0.8578109789520773
pico-decoder-medium,Orth,ses-11,21,0.0013473919097732425,0.012106298303562212,-0.0251940115650114,0.0189830832581041,0.2136860995937111,,0.08883630378483814,
pico-decoder-medium,Orth,ses-11+,21,0.005477813479630438,0.011985287768410888,-0.0215536703842066,0.025980870236481,0.1742624769225749,,0.14909044503036842,
pico-decoder-medium,Orth,ses-7,21,0.0018928311510587523,0.008177451071370861,-0.0151233916795867,0.0212336528735547,,,,
pico-decoder-medium,Orth,ses-9,21,-0.008840673236047338,0.013843958282165524,-0.0316867693907047,0.0239077208580542,0.1650755388561307,,0.14482897359426852,
pico-decoder-medium,Phon,ses-11,21,0.0013473919097732425,0.012106298303562212,-0.0251940115650114,0.0189830832581041,0.2136860995937111,,0.08883630378483814,
pico-decoder-medium,Phon,ses-11+,21,0.005477813479630438,0.011985287768410888,-0.0215536703842066,0.025980870236481,0.1742624769225749,,0.14909044503036842,
pico-decoder-medium,Phon,ses-7,21,0.0018928311510587523,0.008177451071370861,-0.0151233916795867,0.0212336528735547,,0.0081448036195669,,0.23239739586985936
pico-decoder-medium,Phon,ses-9,21,-0.008840673236047338,0.013843958282165524,-0.0316867693907047,0.0239077208580542,0.1650755388561307,0.008728626502912,0.14482897359426852,-1.012836696941719
pico-decoder-small,Orth,ses-11,21,0.003264858395396781,0.012256947520783934,-0.0188140451552574,0.0299234737169787,0.2136860995937111,,0.140034722772671,
pico-decoder-small,Orth,ses-11+,21,0.002580196424846838,0.010449756030656884,-0.0166947836611692,0.0204351937191926,0.1742624769225749,,0.11726674657718762,
pico-decoder-small,Orth,ses-7,21,0.0029815157832476288,0.009645076584551342,-0.0234461462471164,0.0216350162678225,,,,
pico-decoder-small,Orth,ses-9,21,-0.002431037638290092,0.013810959363020717,-0.0269981609041776,0.0278313515211048,0.1650755388561307,,0.16859767179291676,
pico-decoder-small,Phon,ses-11,21,0.003264858395396781,0.012256947520783934,-0.0188140451552574,0.0299234737169787,0.2136860995937111,,0.140034722772671,
pico-decoder-small,Phon,ses-11+,21,0.002580196424846838,0.010449756030656884,-0.0166947836611692,0.0204351937191926,0.1742624769225749,,0.11726674657718762,
pico-decoder-small,Phon,ses-7,21,0.0029815157832476288,0.009645076584551342,-0.0234461462471164,0.0216350162678225,,0.0081448036195669,,0.36606355690208414
pico-decoder-small,Phon,ses-9,21,-0.002431037638290092,0.013810959363020717,-0.0269981609041776,0.0278313515211048,0.1650755388561307,0.008728626502912,0.16859767179291676,-0.2785131930526597
pico-decoder-tiny,Orth,ses-11,21,-0.0015051595365759476,0.006048762406289634,-0.0140868448329497,0.0102607645595267,0.2136860995937111,,0.04801793181229782,
pico-decoder-tiny,Orth,ses-11+,21,0.011203527562679696,0.011467065749648482,-0.0108623774582087,0.0299796534551456,0.1742624769225749,,0.17203734266020795,
pico-decoder-tiny,Orth,ses-7,21,0.0010754586129050865,0.009858991165611444,-0.0220372108895525,0.0189075426782211,,,,
pico-decoder-tiny,Orth,ses-9,21,0.011161291055305776,0.00826935047583938,-0.008638895505649,0.0330582233250571,0.1650755388561307,,0.20026118681259333,
pico-decoder-tiny,Phon,ses-11,21,-0.0015051595365759476,0.006048762406289634,-0.0140868448329497,0.0102607645595267,0.2136860995937111,,0.04801793181229782,
pico-decoder-tiny,Phon,ses-11+,21,0.011203527562679696,0.011467065749648482,-0.0108623774582087,0.0299796534551456,0.1742624769225749,,0.17203734266020795,
pico-decoder-tiny,Phon,ses-7,21,0.0010754586129050865,0.009858991165611444,-0.0220372108895525,0.0189075426782211,,0.0081448036195669,,0.13204230121907765
