family,rsa_mean,rsa_sd,mean_in_seed_sd,rsa_abs_max,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,frac_of_ceiling_abs_max,p_equivalence_tost,equivalent_to_zero
pythia-160m-full,0.006463692508217912,0.0029720213169386516,0.7661385339317507,0.0276561143951837,,,,False,0.15024756677911869,4.366497841256704e-05,True
beetle-humanscale-eng,0.004394655694775772,0.0025967690597514014,0.5208965412339227,0.0210635211902419,,,,False,0.08046867159322056,2.537100856201353e-05,True
pythia-1b-full,0.0029892262906011215,0.002507139621999821,0.3543116330115776,0.0179988610918196,,,,False,0.1090340895843221,2.0853720114767704e-05,True
pythia-1.4b-full,0.0029331667666749575,0.0002936182591285544,0.3476669231311033,0.021313802918515,,,,False,0.12911545263584298,3.346106762970751e-08,True
beetle-fineweb3-eng,0.0010827379939177552,0.009709068672485967,0.1283364420936943,0.0214229229110868,,,,False,0.12977648329688418,0.0010406621205993794,True
pythia-70m-full,0.0006818123973612941,0.00038688936133071086,0.0808149134363592,0.0326735745887345,,,,False,0.19793104911328327,6.653738798312368e-08,True
babylm-gpt2,9.10065756181057e-05,0.010022004786448345,0.010786968026953347,0.0152151786559032,,,,False,0.0872292777156052,0.001076806672513704,True
pythia-410m-full,-0.0016246162302664547,0.006697265668727623,-0.1925650230538638,0.0238146031331438,,,,False,0.14426488199380705,0.00035952475737163433,True
babylm-gpt2-7,-0.021488982812473557,0.016699811277485162,-2.5470793616344536,0.0484106010852565,,,,False,0.29326332308657854,0.021005438661984267,True
babylm-gpt2-3,-0.021597606637678485,0.015319832312002379,-2.5599544942442978,0.0492696205009506,,,,False,0.2984671190072011,0.017045208665061956,True
babylm-gpt2-5,-0.022349010277082738,0.01687215047563608,-2.6490180259565874,0.0485576090026551,,,,False,0.2941538724582012,0.023253025080073302,True
