family,n_cells,trend_rho_mean,trend_rho_sd,t,p
babylm-gpt2,2,0.7,0.28284271247461906,3.4999999999999996,0.17717106556580947
beetle-fineweb3-eng,2,0.4261869499218236,0.7717293308658202,0.7809983896940419,0.5778913429149304
pythia-70m-full,2,0.06950308908302494,0.9700614489316773,0.10132575757575757,0.9357134282779531
pythia-160m-full,2,0.06820396592259456,0.1580024329699323,0.6104651162790697,0.6510821195585165
pythia-1b-full,2,0.050016241676569345,0.7018247604013271,0.10078534031413612,0.9360539906845043
beetle-humanscale-eng,2,-0.16608169186088992,0.8889572069160812,-0.2642140468227424,0.8355539785682614
pythia-1.4b-full,2,-0.18707373510197373,0.4602280169647447,-0.5748502994011977,0.6678616064577272
babylm-gpt2-5,2,-0.36666666666666664,0.6363961030678927,-0.8148148148148148,0.5647371336617311
babylm-gpt2-3,2,-0.525,0.5539003119294622,-1.3404255319148937,0.4080456352547198
pythia-410m-full,2,-0.6268269249076548,0.09186187963368152,-9.650000000000004,0.06573632679181346
babylm-gpt2-7,2,-0.7250000000000001,0.20034692133618848,-5.11764705882353,0.12284903311386876
