family,params,n_checkpoints,n_rows,n_cells,rsa_mean,rsa_sd,rsa_sd_all_rows,rsa_abs_max,best_rsa,best_cell,best_step,frac_of_ceiling_mean,frac_of_ceiling_abs_max,seed_null_sd,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,p_equivalence_tost,equivalent_to_zero,mean_in_seed_sd
babylm-gpt2-7,134601216.0,9,36,2,0.03351556806879187,0.02229331614549296,0.017427737470799072,0.054770131929846,0.054770131929846,Phon/ses-9,191,0.15394093958816477,0.27076810006097796,0.008568462436998249,,,,False,,False,3.911503179855595
babylm-gpt2-3,134601216.0,9,36,2,0.03248891754142978,0.021312528800052615,0.017335560979654937,0.0611810241016453,0.0611810241016453,Phon/ses-9,191,0.1490859792275733,0.3024617446057333,0.008568462436998249,,,,False,,False,3.7916858223179046
babylm-gpt2,134601216.0,9,36,2,0.0300962228408393,0.017568499978135695,0.013688375894236958,0.0498490839973347,0.0498490839973347,Phon/ses-9,2093,0.13708855324103633,0.24643982565218497,0.008568462436998249,,,,False,,False,3.5124414750171646
babylm-gpt2-5,134601216.0,9,36,2,0.029364030743551355,0.0203916869428837,0.015864012954710488,0.0574510829788988,0.0574510829788988,Phon/ses-9,191,0.13527488870368135,0.28402196665451335,0.008568462436998249,,,,False,,False,3.4269894930925697
pythia-1b-full,1078891008.0,21,84,2,0.02588355830812909,0.027045566775751317,0.02603034098036262,0.0821042071902182,0.0821042071902182,Phon/ses-9,114000,0.12348668473959815,0.40590006641546494,0.008568462436998249,,,,False,,False,3.020793812010543
pythia-1.4b-full,1515311488.0,21,84,2,0.020548096196692907,0.025004194736272155,0.03029242268571781,0.1059955154822809,0.1059955154822809,Phon/ses-9,18000,0.09968591908903912,0.5240119629231988,0.008568462436998249,,,,False,,False,2.3981077524442562
pythia-410m-full,505997504.0,21,84,2,0.020336355500900523,0.01793566983933955,0.018621930347580307,0.0715412957511335,0.0715412957511335,Phon/ses-9,56000,0.09547079601127222,0.3536800084989205,0.008568462436998249,,,,False,,False,2.3733961198323077
pythia-70m-full,95592496.0,21,84,2,0.01639408756678966,0.010457041807844542,0.02358936472733675,0.0750273548883455,0.0750273548883455,Phon/ses-9,4000,0.07509041917138573,0.3709141026305934,0.008568462436998249,,,,False,,False,1.9133056469969103
pythia-160m-full,212654688.0,21,84,2,0.013308287344434974,0.009151030899595963,0.029198563774093963,0.0759069227581956,0.0759069227581956,Phon/ses-9,114000,0.061266406469127586,0.3752624383493944,0.008568462436998249,,,,False,,False,1.5531709968138936
beetle-humanscale-eng,193811712.0,18,72,2,0.013071000552062765,0.013064586979777528,0.02185658198041815,0.0478872184858933,0.0478872184858933,Phon/ses-9,5500,0.0498521479309072,0.23674091534485608,0.008568462436998249,,,,False,,False,1.5254779545537542
beetle-fineweb3-eng,193804032.0,19,76,2,-0.0007790710311730762,0.0017374152400043202,0.01568582695396328,0.0555723585644642,0.0555723585644642,Phon/ses-9,128,-0.002522596490979341,0.27473408250469583,0.008568462436998249,,,,False,,False,-0.09092308414740563
