dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-9,96,0.0210882092027202,0.0232808476447298,0.0139319564539776,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-9,96,0.0197537415999484,0.029844616504326,0.013244863639687,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-9,96,0.0265408556992137,0.0355494780798677,0.0176716192763109,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-9,96,0.0242276898973118,0.0266913668327847,0.0162181611079684,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-9,96,0.03438758282752,0.0366642844389592,0.0229476685792128,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-9,96,0.0322949862953903,0.0360385962750477,0.0217387623478525,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-9,96,0.0280153307097813,0.0301872163250794,0.0187964427409827,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-9,96,0.029782059120061,0.0308815769649984,0.0198874022080865,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-9,96,0.0281447866670284,0.0299148821493168,0.0188306915567048,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Sem,ses-9,72,0.031514784666627,-0.0006312311825925,0.0211503419298132,BrainAlign/gpt2-babylm-3,,,72,,,0.0084082983710845,134601216
