family,params,n_checkpoints,n_rows,n_cells,rsa_mean,rsa_sd,rsa_sd_all_rows,rsa_abs_max,best_rsa,best_cell,best_step,frac_of_ceiling_mean,frac_of_ceiling_abs_max,seed_null_sd,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,p_equivalence_tost,equivalent_to_zero,mean_in_seed_sd
babylm-gpt2-7,134601216.0,9,18,2,0.031659990151484824,0.007716932801715408,0.012087378850947643,0.0480260239001003,0.0480260239001003,Sem/ses-9,1528,,,0.008568462436998249,,,,False,,False,3.694944149463544
babylm-gpt2-3,134601216.0,9,18,2,0.031264113275693124,0.005836267268641747,0.011295277566677142,0.0461591930117194,0.0461591930117194,Sem/ses-9,1528,,,0.008568462436998249,,,,False,,False,3.6487425259281103
babylm-gpt2-5,134601216.0,9,18,2,0.03007952812243568,0.009723903030587042,0.012558666863700333,0.0489715642452799,0.0489715642452799,Sem/ses-9,1719,,,0.008568462436998249,,,,False,,False,3.510493083631152
babylm-gpt2,134601216.0,9,18,2,0.025032383650923598,0.00402011581928597,0.0064686797225987445,0.0354055795576422,0.0354055795576422,Phon/ses-9,2093,,,0.008568462436998249,,,,False,,False,2.9214557261562883
pythia-1b-full,1078891008.0,21,42,2,0.020063661824553495,0.007782211580960891,0.014156762022423155,0.0488794669076058,0.0488794669076058,Phon/ses-9,114000,,,0.008568462436998249,,,,False,,False,2.341570844486576
pythia-1.4b-full,1515311488.0,21,42,2,0.017744882062133826,0.010141234922783175,0.022080364766730424,0.0700096389227635,0.0700096389227635,Phon/ses-9,18000,,,0.008568462436998249,,,,False,,False,2.0709528917944713
pythia-160m-full,212654688.0,21,42,2,0.015770059427368015,0.0006590934236071394,0.013256207945145513,0.0394692472428654,0.0394692472428654,Phon/ses-9,114000,,,0.008568462436998249,,,,False,,False,1.8404771618386961
pythia-410m-full,505997504.0,21,42,2,0.015362326760835805,0.004098371663605776,0.018780659345402656,0.0479244205974409,0.0479244205974409,Phon/ses-9,56000,,,0.008568462436998249,,,,False,,False,1.792891883904625
beetle-humanscale-eng,193811712.0,18,36,2,0.012341922178334639,0.0030306746723197317,0.015296063142126391,0.0485944186604328,0.0485944186604328,Phon/ses-9,5500,,,0.008568462436998249,,,,False,,False,1.4403893661297684
pythia-70m-full,95592496.0,21,42,2,0.011532421147331454,0.0011185169982012048,0.016734248227314598,0.044619430846559,0.044619430846559,Phon/ses-9,12000,,,0.008568462436998249,,,,False,,False,1.3459148863785595
beetle-fineweb3-eng,193804032.0,19,38,2,0.0035360436565507344,0.014195005341441445,0.02068498751743034,0.0399457820497649,0.0399457820497649,Phon/ses-9,256,,,0.008568462436998249,,,,False,,False,0.4126812345330769
