family,n_cells,trend_rho_mean,trend_rho_sd,t,p
pythia-160m-full,2,0.7976616205042488,0.026639945093767638,42.344827586206925,0.015031386381683378
babylm-gpt2-3,2,0.7333333333333334,0.07071067811865474,14.666666666666671,0.04333881935979876
babylm-gpt2-7,2,0.6083333333333333,0.3181980515339463,2.703703703703704,0.2255285530247631
babylm-gpt2-5,2,0.5916666666666666,0.4831896338108074,1.7317073170731707,0.33338800967582227
pythia-1.4b-full,2,0.5885027916749588,0.002755856389010396,302.0000000000055,0.002108004786947921
pythia-1b-full,2,0.3955830023510485,0.03490751426079898,16.026315789473692,0.03967196787399826
beetle-fineweb3-eng,2,0.286467929225803,0.6039620850254244,0.6707818930041152,0.6238556280657992
pythia-410m-full,2,0.018837285826240446,0.8873857572613639,0.030020703933747478,0.9808939646413374
pythia-70m-full,2,-0.004546931061506249,0.6761034341038963,-0.009510869565217276,0.9939453749383165
beetle-humanscale-eng,2,-0.09880809515774466,0.1278433441384331,-1.0930232558139534,0.47172439577985426
babylm-gpt2,2,-0.3583333333333334,0.8367430244040812,-0.6056338028169015,0.6533276155113263
