dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-11,96,0.0190354789370264,0.0181502980397819,0.0127151614504565,BrainAlign/gpt2-babylm-3,,,96,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-11,96,0.0042602744947463,0.0097555739443491,0.0027589537564024,BrainAlign/gpt2-babylm-3,,,96,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-11,96,0.0090020450903892,0.0089364995277264,0.0060351031120244,BrainAlign/gpt2-babylm-3,,,96,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-11,96,-0.0028952621935544,-3.361019008078694e-05,-0.001870601047475,BrainAlign/gpt2-babylm-3,,,96,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-11,96,0.0091044176876891,0.0068939159865689,0.0059171563477678,BrainAlign/gpt2-babylm-3,,,96,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-11,96,0.0057154570044671,0.0061951873677294,0.003860110904592,BrainAlign/gpt2-babylm-3,,,96,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-11,96,0.0083858540718278,0.0067864779679642,0.0056221932325879,BrainAlign/gpt2-babylm-3,,,96,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-11,96,0.0102269439288807,0.0093835910217107,0.0067558675148058,BrainAlign/gpt2-babylm-3,,,96,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-11,96,0.0090408992791736,0.0084725472305535,0.0059427467550209,BrainAlign/gpt2-babylm-3,,,96,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-11+,96,0.033540804147418,0.0288998116407223,0.022285588944944,BrainAlign/gpt2-babylm-3,0.2821380444353854,0.6689092985587908,96,3.0,0.11888082734301164,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-11+,96,0.0185241510342222,0.0211158673937231,0.0124302036072853,BrainAlign/gpt2-babylm-3,0.2821380444353854,0.6689092985587908,96,3.0,0.06565633880142867,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-11+,96,0.0272740599541942,0.0243085870696671,0.0180899166099059,BrainAlign/gpt2-babylm-3,0.2821380444353854,0.6689092985587908,96,3.0,0.09666920322204345,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-11+,96,0.0235833520589424,0.014461580028338,0.0156170751511373,BrainAlign/gpt2-babylm-3,0.2821380444353854,0.6689092985587908,96,3.0,0.08358799007818105,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-11+,96,0.0439743865660925,0.0256686857885769,0.0292833146696528,BrainAlign/gpt2-babylm-3,0.2821380444353854,0.6689092985587908,96,3.0,0.15586124393147344,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-11+,96,0.0461832245890468,0.0274677558454688,0.0309097485982998,BrainAlign/gpt2-babylm-3,0.2821380444353854,0.6689092985587908,96,3.0,0.16369017046768242,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-11+,96,0.0486532099057073,0.0288619381817343,0.0325282937547861,BrainAlign/gpt2-babylm-3,0.2821380444353854,0.6689092985587908,96,3.0,0.1724446981372969,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-11+,96,0.0491183922817584,0.0293571360801402,0.0329573659966982,BrainAlign/gpt2-babylm-3,0.2821380444353854,0.6689092985587908,96,3.0,0.17409347392356855,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-11+,96,0.0474131897639825,0.0289542727492216,0.0317702019910491,BrainAlign/gpt2-babylm-3,0.2821380444353854,0.6689092985587908,96,3.0,0.16804961507004756,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-9,96,0.0184528410072633,0.0196059936393366,0.0121971962149286,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-9,96,0.0139784892456568,0.0220209427866887,0.0093439620107518,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-9,96,0.0242678683802746,0.0272515766443207,0.0160607704829083,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-9,96,0.0160487962767064,0.0141228730121634,0.0107529736822864,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-9,96,0.0363373242890757,0.0333955980219762,0.0244122864740266,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-9,96,0.0355365691346193,0.0332337888231359,0.0238329427429068,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-9,96,0.0323725036981965,0.0301155186293798,0.0216256258105232,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-9,96,0.0323509062116967,0.030004994173949,0.0216533327176242,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-9,96,0.0312003557845905,0.0292197944299106,0.0208409815941476,BrainAlign/gpt2-babylm-3,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Sem,ses-11,72,0.0227975654521073,-0.0028822178758059,0.0153897509868954,BrainAlign/gpt2-babylm-3,,,72,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Sem,ses-11,72,-0.0211121111534461,-0.0267997128788633,-0.0141359572962891,BrainAlign/gpt2-babylm-3,,,72,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Sem,ses-11,72,-0.0186193558311922,-0.028518950465362,-0.0124099237739986,BrainAlign/gpt2-babylm-3,,,72,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Sem,ses-11,72,-0.0024540009120929,-0.0173716083352557,-0.0014981823972755,BrainAlign/gpt2-babylm-3,,,72,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Sem,ses-11,72,-0.0064154635105317,-0.0223102355591789,-0.0041215328500684,BrainAlign/gpt2-babylm-3,,,72,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Sem,ses-11,72,-0.0112738152215608,-0.0258180590933207,-0.0075025495438383,BrainAlign/gpt2-babylm-3,,,72,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Sem,ses-11,72,-0.0113941796113234,-0.0265212431673178,-0.0073163486244713,BrainAlign/gpt2-babylm-3,,,72,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Sem,ses-11,72,-0.0133787928909928,-0.0269895172897618,-0.0089780693292173,BrainAlign/gpt2-babylm-3,,,72,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Sem,ses-11,72,-0.0146292864430912,-0.0284201299614516,-0.009645697625632,BrainAlign/gpt2-babylm-3,,,72,,,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Sem,ses-11+,72,0.0012485892114481,-0.0164644922674499,0.0007674662893648,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.004570560122521492,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Sem,ses-11+,72,-0.0090111811421007,-0.0193519143995317,-0.0060699049701557,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,-0.03298614532888354,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Sem,ses-11+,72,-0.0104972028272013,-0.0167851495873562,-0.0067889835206061,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,-0.03842584590682283,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Sem,ses-11+,72,0.0125430453298001,-0.000204295388026,0.0086405801628645,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.04591481511591352,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Sem,ses-11+,72,0.0109253201639482,0.0032440142004238,0.0074529367988754,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.03999300347085951,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Sem,ses-11+,72,0.0059364859060413,-0.0007124873257189,0.0040461949780877,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.0217309788530005,,134601216
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Sem,ses-11+,72,0.0053626548903103,-0.0031941412849535,0.0036517430304812,BrainAlign/gpt2-babylm-3,0.2731807870321323,0.6611824419010607,72,3.0,0.01963042477683297,,134601216
