family,params,n_checkpoints,n_rows,n_cells,rsa_mean,rsa_sd,rsa_sd_all_rows,rsa_abs_max,best_rsa,best_cell,best_step,frac_of_ceiling_mean,frac_of_ceiling_abs_max,seed_null_sd,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,p_equivalence_tost,equivalent_to_zero,mean_in_seed_sd
babylm-gpt2-3,134601216.0,9,54,6,0.014087703068228583,0.016663878889643713,0.01842992539089009,0.0491183922817584,0.0491183922817584,Phon/ses-11+,1719,0.07253775267546661,0.17409347392356855,0.008568462436998249,,,,False,0.00162395523408327,True,1.644134309021242
babylm-gpt2-7,134601216.0,9,54,6,0.014049469861333526,0.017140957335104966,0.018764141176133148,0.0492594807408609,0.0492594807408609,Phon/ses-11+,1719,0.07303805469052492,0.17459354281496833,0.008568462436998249,,,,False,0.00182660497936562,True,1.639672224116724
babylm-gpt2-5,134601216.0,9,54,6,0.012494104525146524,0.017198164325560986,0.018364144395541647,0.0488019624136305,0.0488019624136305,Phon/ses-11+,1528,0.0751688505423337,0.17297193120939425,0.008568462436998249,,,,False,0.001542283134784286,True,1.458150119349012
pythia-1b-full,1078891008.0,21,126,6,0.010697448274971263,0.011095069534457536,0.016595582960734212,0.059850918165021,0.059850918165021,Phon/ses-11+,8000,0.0610102003921837,0.21213345504252942,0.008568462436998249,,,,False,0.00016809032505970729,True,1.2484676630873872
pico-decoder-medium,181095168.0,21,126,6,0.010457609301297304,0.017587563671564672,0.022910393468719183,0.0719570956478127,0.0719570956478127,Phon/ses-11+,20000,0.045403243487365096,0.25504215779127987,0.008568462436998249,,,,False,0.001349741068356717,True,1.2204767632687286
babylm-gpt2,134601216.0,9,54,6,0.010046231469494375,0.014355406587609884,0.014110951125243326,0.0306274208661394,0.0306274208661394,Phon/ses-11+,2990,0.057740979344586614,0.10855473577635014,0.008568462436998249,,,,False,0.000517534350804538,True,1.172466068838113
pico-decoder-large,569808384.0,21,126,6,0.01004560677717796,0.01656301151634298,0.022013735788033752,0.0696457956781998,0.0696457956781998,Phon/ses-9,16000,0.05269020786177573,0.23865216864055325,0.008568462436998249,,,,False,0.0009884354942695627,True,1.1723931628388151
pico-decoder-small,64595328.0,21,126,6,0.009211640274501118,0.015192943745567669,0.02083774945419523,0.0623301521527699,0.0623301521527699,Phon/ses-9,102000,0.03146318068420966,0.21397761125513814,0.008568462436998249,,,,False,0.0006101352757143249,True,1.075063389987643
beetle-humanscale-eng,193811712.0,18,108,6,0.009054191011286235,0.008723389267576223,0.017323537579907622,0.0547383959488282,0.0547383959488282,Phon/ses-9,5500,0.05684814787597511,0.14887200850156604,0.008568462436998249,,,,False,4.3621769676073704e-05,True,1.0566879504764626
pythia-410m-full,505997504.0,21,126,6,0.0071027338925930055,0.006781507203364141,0.013729067544190617,0.0453856501958278,0.0453856501958278,Phon/ses-11+,8000,0.04720443716716943,0.16086327629672753,0.008568462436998249,,,,False,1.0166933601060943e-05,True,0.8289391410439881
pythia-70m-full,95592496.0,21,126,6,0.007053518369147681,0.009563830993634762,0.017643038792818675,0.0607426695666245,0.0607426695666245,Phon/ses-11+,4000,0.018086403190394253,0.2152941468357545,0.008568462436998249,,,,False,5.40389392521993e-05,True,0.8231953423394721
pythia-160m-full,212654688.0,21,126,6,0.006506500588179633,0.007158786400408847,0.016984668074255065,0.0531850593718009,0.0531850593718009,Phon/ses-11+,4000,0.04155957611319642,0.18850722339922227,0.008568462436998249,,,,False,1.239330866923646e-05,True,0.7593545091689783
pythia-1.4b-full,1515311488.0,21,126,6,0.006179893316852226,0.013344245120329045,0.018861620637096288,0.0599242193158628,0.0599242193158628,Phon/ses-9,18000,0.028457479011848395,0.2078438555514304,0.008568462436998249,,,,False,0.0002402381317789312,True,0.7212371370349615
pico-decoder-tiny,11282784.0,21,126,6,0.001641480048388113,0.015024215416811138,0.02491113262080937,0.0600165146723125,0.0600165146723125,Phon/ses-9,30000,-0.006585925997865328,0.1645589182690341,0.008568462436998249,,,,False,0.0002638772788611924,True,0.19157229905102616
beetle-fineweb3-eng,193804032.0,19,114,6,0.0006836216709453094,0.006662167292570602,0.01557883141257542,0.0459949265105447,-0.0459949265105447,Phon/ses-11+,2048,0.015280539966446242,0.16302277348873576,0.008568462436998249,,,,False,4.687786418422955e-06,True,0.07978347060185043
