family,n_cells,trend_rho_mean,trend_rho_sd,t,p
babylm-gpt2-7,6,0.4694444444444444,0.4018591055839605,2.861449038966632,0.03534646324207887
babylm-gpt2-5,6,0.4472222222222222,0.4154537902725787,2.636794444357574,0.0461539608231294
babylm-gpt2-3,6,0.4222222222222222,0.38882539164152485,2.659880308079144,0.044890364609649486
pythia-1.4b-full,6,0.3115730379765511,0.5823223985255264,1.3106055384161914,0.24695989672535998
pico-decoder-medium,6,0.30995670995671,0.3397186802260011,2.2348955943214333,0.07569816709415322
pico-decoder-large,6,0.29437229437229434,0.30748646842131766,2.3450199916976087,0.06596714868836748
pico-decoder-small,6,0.2203463203463203,0.39724609996113747,1.3586944002751196,0.2323239074712055
pythia-160m-full,6,0.18339288614742097,0.6761826436934952,0.6643456434547823,0.5358752660936985
pythia-1b-full,6,0.13878965763931153,0.48551391852395975,0.7002144116185736,0.5150259867088601
pico-decoder-tiny,6,0.058225108225108256,0.6297024367301275,0.22649079477989503,0.8297878911289761
babylm-gpt2,6,0.041666666666666685,0.4965156369922077,0.2055566129482596,0.8452442565248673
pythia-70m-full,6,-0.08032911541994474,0.5485806043055219,-0.3586808259783385,0.7344815846702532
beetle-fineweb3-eng,6,-0.11013490939560523,0.5201412377172554,-0.5186559175174202,0.6261293413841624
beetle-humanscale-eng,6,-0.11948071081131535,0.4100237604897823,-0.7137800386084048,0.5072874049141278
pythia-410m-full,6,-0.20850926724907481,0.5377987037160594,-0.949688624893935,0.3858812082691236
