family,rsa_mean,rsa_sd,mean_in_seed_sd,rsa_abs_max,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,frac_of_ceiling_abs_max,p_equivalence_tost,equivalent_to_zero
babylm-gpt2,0.028679493253677538,0.005879696332166308,3.3470991399624666,0.0534044421021965,0.0356360966393821,0.06214123128640022,0.84,False,0.16887156550831972,,False
pico-decoder-medium,0.027584709186330644,0.03462521510518658,3.2193301177608094,0.1138561732640086,0.0423911711252481,0.0654010891444828,1.0,True,0.4454914519651354,,False
pythia-1b-full,0.021695265435963635,0.026820867145703434,2.53199049368349,0.0761603162740509,0.0423911711252481,0.0654010891444828,1.0,True,0.29799675244992785,,False
pico-decoder-small,0.02132783370167195,0.016678086106358774,2.4891086187854765,0.1044205939479133,0.0423911711252481,0.0654010891444828,1.0,True,0.40857233015421235,,False
babylm-gpt2-7,0.020746750899531975,0.006537443380808719,2.421292157382683,0.0444985528159835,0.0356360966393821,0.06214123128640022,0.68,False,0.1291935935082772,,False
pythia-410m-full,0.018776670307288326,0.01392931968099684,2.1913698572350016,0.0741331166384424,0.0423911711252481,0.0654010891444828,1.0,True,0.2900648144337403,,False
babylm-gpt2-5,0.01863054587631173,0.0033652839228433453,2.1743161055203837,0.0368315936451691,0.0356360966393821,0.06214123128640022,0.52,False,0.11596899824481388,,False
babylm-gpt2-3,0.017975078744939196,0.006970098552709029,2.097818468261422,0.0432329095476253,0.0356360966393821,0.06214123128640022,0.6525,False,0.13462081315833674,,False
pico-decoder-large,0.017901521633466904,0.033353722982447646,2.0892338345522656,0.0796327268537632,0.0423911711252481,0.0654010891444828,1.0,True,0.31158344860023784,,False
beetle-fineweb3-eng,0.017734064541732583,0.021293407585617707,2.0696904108673757,0.0778015433853871,0.0414110325135091,0.0628820641623631,1.0,True,0.3044184740647789,,False
pythia-160m-full,0.015476614991135415,0.01197747844982586,1.8062301264586353,0.0715969210423589,0.0423911711252481,0.0654010891444828,1.0,True,0.2801412992990192,,False
pico-decoder-tiny,0.014043552505793942,0.012081834202654648,1.6389816269899826,0.0758337922064128,0.0423911711252481,0.0654010891444828,1.0,True,0.29671914336801747,,False
pythia-1.4b-full,0.012530015470121558,0.027115915240900484,1.4623411799084858,0.0945558158749263,0.0423911711252481,0.0654010891444828,1.0,True,0.3699738582307051,,False
pythia-70m-full,0.012136392604535114,0.015468485279767217,1.4164026152616014,0.0753303880477327,0.0423911711252481,0.0654010891444828,1.0,True,0.2947494456068283,,False
beetle-humanscale-eng,0.010124117195324918,0.0060017274445974675,1.1815558823727137,0.0476536733099551,0.0423911711252481,0.06459495778321213,0.62,False,0.18645720741990696,,False
