control,n_cells,rsa_mean,rsa_max,z_max,p_min,n_significant,frac_of_ceiling_max
n_syllables,9,0.015878299745779263,0.06669827773756282,3.2698032646002186,0.00639872025594881,0,0.09025930470494316
n_phonemes,6,0.017968122490338013,0.048458166282259824,2.7649458043244532,0.013397320535892822,0,0.05427997427077109
acoustic_spectrum,12,-0.00296969131043235,0.03963807524467416,2.2983810291107467,0.02659468106378724,0,0.0471976884655225
acoustic_envelope,12,-0.001123749419070762,0.04764123028283511,2.0424472181175912,0.03699260147970406,0,0.04563129221556907
text_edit_distance,12,0.011893976504606036,0.03527806432865625,1.8674718032428028,0.0665866826634673,0,0.03775663382654137
duration,12,0.006513235026820858,0.03580294267878302,1.5638984905823492,0.09158168366326734,0,0.03794418840103357
condition,12,-0.0018386536665231344,0.028865162684042028,1.4741118764420693,0.11697660467906419,0,0.0343702096395584
word_length,12,-0.003949579327991059,0.022141532967297886,1.0480705649954407,0.13917216556688664,0,0.029962983131187962
log_frequency,12,-0.015004540758295222,-0.002465466530238797,-0.12450561706119147,0.14157168566286743,0,-0.002993902094279693
intensity,9,-0.006561017166916556,-0.002202127505743874,-0.239120695661947,0.07278544291141771,0,-0.0026741203218357745
presentation_order,12,-0.08733987554222565,-0.024097410055824532,-1.2974278003305324,0.0001999600079984003,6,-0.028693170534146224
run_identity,12,-0.11395138215896684,-0.02810209769163867,-1.3860776020374546,0.0001999600079984003,6,-0.03147830916200544
