claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",0.8666666666666667,0.0024953982859902053,9
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",-0.8666666666666667,0.0024953982859902053,9
R2_partial_control_step,"partial(rsa,norm|step)",-0.08333333333333334,0.831214097710308,9
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",-0.9,0.0009430623223403293,9
R2_partial_control_step,"partial(rsa,gini|step)",-0.5166666666666667,0.1543901209862251,9
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",-0.9500000000000001,8.762523965086177e-05,9
R2_partial_control_step,"partial(rsa,hoyer|step)",-0.8833333333333333,0.0015905004234978686,9
R2_alignment_vs_mechanistic,"spearman(rsa,per)",0.6666666666666667,0.04986723056888511,9
R2_partial_control_step,"partial(rsa,per|step)",-0.39999999999999997,0.2861051019083129,9
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",-0.8666666666666667,0.0024953982859902053,9
R2_partial_control_step,"partial(rsa,condition_number|step)",-0.20083160441856093,0.60437217167933,9
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",0.9047619047619048,0.0020082755054294677,8
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.261904761904762,0.530922861565801,8
R5_isolation_vs_mechanistic,"spearman(iso,norm)",-0.9500000000000001,8.762523965086177e-05,9
R5_isolation_vs_mechanistic,"spearman(iso,gini)",-0.9666666666666667,2.155031274835775e-05,9
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.8666666666666667,0.0024953982859902053,9
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.8666666666666667,0.0024953982859902053,9
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.9666666666666667,2.155031274835775e-05,9
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.880952380952381,0.0038503204637324014,8
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",-0.7833333333333333,0.012519873019449882,9
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",-0.8166666666666667,0.007224785246358786,9
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",-0.7666666666666667,0.01594401657897401,9
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",0.9,0.0009430623223403293,9
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",-0.7666666666666667,0.01594401657897401,9
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,9
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",0.7166666666666667,0.029818035695845287,9
