claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",-0.016666666666666666,0.9660548039946861,9
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",-0.09999999999999999,0.797971695234851,9
R2_partial_control_step,"partial(rsa,norm|step)",-0.18333333333333335,0.6368198117628943,9
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",-0.16666666666666669,0.668231040071504,9
R2_partial_control_step,"partial(rsa,gini|step)",-0.43333333333333335,0.2439524358800516,9
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",-0.016666666666666666,0.9660548039946861,9
R2_partial_control_step,"partial(rsa,hoyer|step)",-0.27386127875258304,0.47579723851802413,9
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.016666666666666666,0.9660548039946861,9
R2_partial_control_step,"partial(rsa,per|step)",-0.13333333333333333,0.7323675052362975,9
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",0.016666666666666666,0.9660548039946861,9
R2_partial_control_step,"partial(rsa,condition_number|step)",0.0,1.0,9
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",0.2380952380952381,0.5701563208157683,8
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.3333333333333334,0.4197530864197531,8
R5_isolation_vs_mechanistic,"spearman(iso,norm)",0.2333333333333333,0.5456987782182727,9
R5_isolation_vs_mechanistic,"spearman(iso,gini)",0.6,0.0876228290414024,9
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.5166666666666667,0.1543901209862251,9
R5_isolation_vs_mechanistic,"spearman(iso,per)",-0.5,0.17047066078705375,9
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",0.5166666666666667,0.1543901209862251,9
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",-0.1666666666666667,0.693238811728395,8
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",-0.5,0.17047066078705375,9
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",-0.6333333333333333,0.06708578689234565,9
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.7166666666666667,0.029818035695845287,9
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",0.7166666666666667,0.029818035695845287,9
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",-0.7166666666666667,0.029818035695845287,9
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,9
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",-0.21666666666666667,0.5755148957119259,9
