claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",-0.20562421913753962,0.3983755986632552,19
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",-0.21478873239436624,0.3772076291752413,19
R2_partial_control_step,"partial(rsa,norm|step)",-0.01754385964912281,0.9431706684765946,19
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",-0.09683098591549298,0.6933219019713217,19
R2_partial_control_step,"partial(rsa,gini|step)",0.1,0.6837719442525738,19
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",-0.12323943661971833,0.6152157566484193,19
R2_partial_control_step,"partial(rsa,hoyer|step)",0.0912280701754386,0.7103145534384594,19
R2_alignment_vs_mechanistic,"spearman(rsa,per)",0.06338028169014086,0.796583356023636,19
R2_partial_control_step,"partial(rsa,per|step)",-0.22280701754385965,0.35921602294744404,19
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",0.010563380281690142,0.9657655559965849,19
R2_partial_control_step,"partial(rsa,condition_number|step)",0.5228070175438596,0.021636910536196267,19
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",-0.24380165289256203,0.3295986186544725,18
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.6615067079463364,0.0027914618317622228,18
R5_isolation_vs_mechanistic,"spearman(iso,norm)",-0.39788732394366205,0.09158504934719773,19
R5_isolation_vs_mechanistic,"spearman(iso,gini)",-0.46302816901408456,0.04588764318938511,19
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.4366197183098592,0.061616468263157094,19
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.30457746478873243,0.20484195453648543,19
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.3714788732394366,0.11735852080923354,19
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.49380165289256206,0.03727550869991866,18
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",0.8754129033705652,9.209335381007996e-07,19
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",0.8576740400803816,2.6808413630179825e-06,19
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.8718651307125286,1.1545853766308058e-06,19
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.7476930876812428,0.00023300377061672995,19
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.735275883378114,0.0003345661960738382,19
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,19
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",-0.38227250390345857,0.10626646043544764,19
