claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",0.06937589660011859,0.7844416676365755,18
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",0.29978586723768735,0.2268101227816063,18
R2_partial_control_step,"partial(rsa,norm|step)",0.45304437564499483,0.05901670687313079,18
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",0.46680942184154184,0.05082042365713317,18
R2_partial_control_step,"partial(rsa,gini|step)",0.6243550051599587,0.0056112726298920695,18
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",0.49464668094218417,0.036901650229161455,18
R2_partial_control_step,"partial(rsa,hoyer|step)",0.6429308565531475,0.004002006540262521,18
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.45610278372591007,0.05711552597029138,18
R2_partial_control_step,"partial(rsa,per|step)",-0.6862745098039216,0.0016609135348996636,18
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",0.40899357601713066,0.09193378521836706,18
R2_partial_control_step,"partial(rsa,condition_number|step)",0.5954592363261093,0.009125961400493108,18
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",-0.28391959798994976,0.26942499522437835,17
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.39460784313725494,0.11700232160229737,17
R5_isolation_vs_mechanistic,"spearman(iso,norm)",0.9550321199143469,7.298479231984745e-10,18
R5_isolation_vs_mechanistic,"spearman(iso,gini)",0.942184154175589,5.231847935132781e-09,18
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",0.9379014989293364,9.141064665644065e-09,18
R5_isolation_vs_mechanistic,"spearman(iso,per)",-0.8929336188436832,6.174976433831253e-07,18
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",0.9271948608137046,3.153312102063089e-08,18
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",-0.6733668341708543,0.0030464404913553983,17
R6_causal_behaviour,behav_drop_circuit,-0.0024305555555555825,,72
R6_causal_behaviour,behav_drop_random,-0.010156250000000009,,72
R6_causal_behaviour,behav_causal_selectivity,0.007725694444444449,,72
R6_causal_behaviour,wilcoxon(circuit>random),0.4583333333333333,0.4977057398939174,72
R6_causal_alignment,mean_rsa_intact,-0.015776182732798974,,216
R6_causal_alignment,mean_rsa_circuit_ablated,-0.014016353783829245,,216
R6_causal_alignment,mean_rsa_random_ablated,-0.01359563732510373,,216
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",0.8546256935262813,6.291295755248787e-06,18
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",0.777632387803193,0.00014553529116284947,18
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.7578341091886845,0.00026901115953942154,18
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.8392270323816637,1.337683631090945e-05,18
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.8150291362972645,3.787102427463906e-05,18
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,18
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",0.14848708960881338,0.5565149777494874,18
