claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",-0.07142857142857142,0.758328345457485,21
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",0.033766233766233764,0.8844723124673912,21
R2_partial_control_step,"partial(rsa,norm|step)",0.4142857142857143,0.06187994268302525,21
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",0.08181818181818182,0.7244098408074375,21
R2_partial_control_step,"partial(rsa,gini|step)",0.01948051948051948,0.9332057914291583,21
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",-0.02077922077922078,0.9287633909628465,21
R2_partial_control_step,"partial(rsa,hoyer|step)",0.37142857142857144,0.09735837325949599,21
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.033766233766233764,0.8844723124673912,21
R2_partial_control_step,"partial(rsa,per|step)",0.03896103896103896,0.8668411213715635,21
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",0.14155844155844155,0.5404880300232261,21
R2_partial_control_step,"partial(rsa,condition_number|step)",0.33506493506493507,0.13760998567228216,21
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",-0.20150375939849624,0.3942605047612736,20
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.26315789473684204,0.2622871228754285,20
R5_isolation_vs_mechanistic,"spearman(iso,norm)",-0.6779220779220779,0.0007325317500767632,21
R5_isolation_vs_mechanistic,"spearman(iso,gini)",-0.7818181818181819,2.8403268605185375e-05,21
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.6064935064935064,0.003559301989284217,21
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.774025974025974,3.835408895133137e-05,21
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.7805194805194805,2.9886010509309143e-05,21
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",-0.38796992481203,0.0909728657975423,20
R6_causal_behaviour,behav_drop_circuit,0.007738095238095226,,84
R6_causal_behaviour,behav_drop_random,0.013442460317460317,,84
R6_causal_behaviour,behav_causal_selectivity,-0.005704365079365087,,84
R6_causal_behaviour,wilcoxon(circuit>random),0.42857142857142855,0.1968996336236598,84
R6_causal_alignment,mean_rsa_intact,-0.012434404857859993,,252
R6_causal_alignment,mean_rsa_circuit_ablated,-0.012994387241335403,,252
R6_causal_alignment,mean_rsa_random_ablated,-0.011789512046678857,,252
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",0.4822661389363573,0.026824798800406335,21
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",0.2818100380019469,0.21586031785513016,21
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.5382376476388224,0.011835034337688191,21
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.35340150262137915,0.11606001687261756,21
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.3045891403808572,0.17943583838186125,21
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,21
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",-0.06768647564019048,0.7706540632414431,21
