claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",0.7103896103896103,0.00030795937349621536,21
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",0.7389610389610389,0.00012996118121126073,21
R2_partial_control_step,"partial(rsa,norm|step)",0.2324675324675325,0.3105598986279132,21
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",0.7103896103896103,0.00030795937349621536,21
R2_partial_control_step,"partial(rsa,gini|step)",-0.031383544369800793,0.8925772856461462,21
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",0.7103896103896103,0.00030795937349621536,21
R2_partial_control_step,"partial(rsa,hoyer|step)",-0.031383544369800793,0.8925772856461462,21
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.7324675324675325,0.00015959227909270496,21
R2_partial_control_step,"partial(rsa,per|step)",-0.3051948051948052,0.17852871608932538,21
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",0.7324675324675325,0.00015959227909270496,21
R2_partial_control_step,"partial(rsa,condition_number|step)",0.3051948051948052,0.17852871608932538,21
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",-0.18045112781954886,0.4464646102705483,20
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.29323308270676685,0.20957138880302534,20
R5_isolation_vs_mechanistic,"spearman(iso,norm)",-0.031168831168831172,0.893308173976082,21
R5_isolation_vs_mechanistic,"spearman(iso,gini)",-0.06363636363636363,0.7840544504932396,21
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.06363636363636363,0.7840544504932396,21
R5_isolation_vs_mechanistic,"spearman(iso,per)",0.024675324675324677,0.9154489258699161,21
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",-0.024675324675324677,0.9154489258699161,21
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.26315789473684204,0.2622871228754285,20
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",0.6327834715758245,0.0020802198918056596,21
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",0.6210531909492902,0.002658932378674012,21
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.6210531909492902,0.002658932378674012,21
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",-0.6197498264352309,0.0027308323303235835,21
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",0.6197498264352309,0.0027308323303235835,21
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,21
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",0.3271444930289021,0.14774258566051382,21
