family,task,session,n_checkpoints,rsa_mean,rsa_sd,rsa_min,rsa_max,ceiling,seed_null_sd,frac_of_ceiling_max,mean_in_seed_sd
babylm-gpt2,Sem,ses-5,9,-0.004212853370054867,0.00342096303203595,-0.0075685769865872,0.0027879913615227,0.8186414228702774,0.0077235660279985,0.003405631920930157,-0.5454544383750927
babylm-gpt2-3,Sem,ses-5,9,-0.013072110526794288,0.0034700517157265007,-0.0183280290798997,-0.0078847111882898,0.8186414228702774,0.0077235660279985,-0.009631458863448225,-1.6924967663132442
babylm-gpt2-5,Sem,ses-5,9,-0.01241016562925349,0.0024185348999576166,-0.0166899015988021,-0.0088817427487944,0.8186414228702774,0.0077235660279985,-0.010849368845340981,-1.6067921973173687
babylm-gpt2-7,Sem,ses-5,9,-0.012200077810560445,0.003202628152092407,-0.0175516358643698,-0.007187787186023,0.8186414228702774,0.0077235660279985,-0.00878014107913274,-1.5795913139519049
beetle-fineweb3-eng,Sem,ses-5,19,0.0006065935797253527,0.014052875623276295,-0.0320178956567993,0.0274944700372856,0.8186414228702774,0.0077235660279985,0.03358548598834144,0.07853801955293785
beetle-humanscale-eng,Sem,ses-5,18,-0.004241103445173809,0.006086546453411249,-0.0158873858598847,0.0110188376622571,0.8186414228702774,0.0077235660279985,0.01345990729814701,-0.5491120849876203
pythia-1.4b-full,Sem,ses-5,21,-0.00641064934421191,0.005652316745790069,-0.0145097082226385,0.003060104393583,0.8186414228702774,0.0077235660279985,0.003738027795922937,-0.8300115932165052
pythia-160m-full,Sem,ses-5,21,-0.0012834673216721142,0.005645394878826088,-0.0181688513532088,0.0098994461067122,0.8186414228702774,0.0077235660279985,0.012092530172738248,-0.16617548383990632
pythia-1b-full,Sem,ses-5,21,0.006349856391524238,0.007974296896423731,-0.0068575845779394,0.0246214006403205,0.8186414228702774,0.0077235660279985,0.030075928181100636,0.8221404942361517
pythia-410m-full,Sem,ses-5,21,-0.001736842990992705,0.004437702860772884,-0.0084201995626117,0.0075314567162898,0.8186414228702774,0.0077235660279985,0.009199945795417245,-0.22487578725895788
pythia-70m-full,Sem,ses-5,21,-0.005034801653427785,0.009049256607678025,-0.025458060847787,0.0072208573189978,0.8186414228702774,0.0077235660279985,0.008820537438333392,-0.6518752652824169
