dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Sem,ses-5,72,-0.0140942946345766,-0.0205119024934227,-0.0093278085560547,BrainAlign/gpt2-babylm-3,0.8186414228702774,0.8278317939437225,72,70,-0.017216688822268397,0.0077235660279985,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Sem,ses-5,72,-0.0183280290798997,-0.0197474473860808,-0.0122059602669288,BrainAlign/gpt2-babylm-3,0.8186414228702774,0.8278317939437225,72,70,-0.022388348021333847,0.0077235660279985,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Sem,ses-5,72,-0.0081956073752756,-0.0118745434554391,-0.0054402518612435,BrainAlign/gpt2-babylm-3,0.8186414228702774,0.8278317939437225,72,70,-0.010011229759838676,0.0077235660279985,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Sem,ses-5,72,-0.0078847111882898,-0.0116710846968421,-0.0053900266132564,BrainAlign/gpt2-babylm-3,0.8186414228702774,0.8278317939437225,72,70,-0.009631458863448225,0.0077235660279985,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Sem,ses-5,72,-0.0135187604915471,-0.010061973868243,-0.009268395762704,BrainAlign/gpt2-babylm-3,0.8186414228702774,0.8278317939437225,72,70,-0.016513653125624077,0.0077235660279985,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Sem,ses-5,72,-0.0113182179779523,-0.0083407251915411,-0.0076611878271148,BrainAlign/gpt2-babylm-3,0.8186414228702774,0.8278317939437225,72,70,-0.013825611142750339,0.0077235660279985,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Sem,ses-5,72,-0.0165871110394552,-0.0094311496802,-0.0113907187416737,BrainAlign/gpt2-babylm-3,0.8186414228702774,0.8278317939437225,72,70,-0.020261753896227662,0.0077235660279985,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Sem,ses-5,72,-0.0136429982383303,-0.0073552420383891,-0.0093216835258124,BrainAlign/gpt2-babylm-3,0.8186414228702774,0.8278317939437225,72,70,-0.016665414010563914,0.0077235660279985,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Sem,ses-5,72,-0.014079264715822,-0.0078171599561415,-0.0096107849532507,BrainAlign/gpt2-babylm-3,0.8186414228702774,0.8278317939437225,72,70,-0.017198329234865768,0.0077235660279985,134601216
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Sem,ses-5,72,-0.0148242923629138,-0.0202440193341298,-0.0098374110722171,BrainAlign/gpt2-babylm-5,0.8186414228702774,0.8278317939437225,72,70,-0.018108407354880295,0.0077235660279985,134601216
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Sem,ses-5,72,-0.0166899015988021,-0.0184087677711229,-0.0111794051983131,BrainAlign/gpt2-babylm-5,0.8186414228702774,0.8278317939437225,72,70,-0.020387316268806494,0.0077235660279985,134601216
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Sem,ses-5,72,-0.0118732930348262,-0.0153314872645044,-0.0079931644662495,BrainAlign/gpt2-babylm-5,0.8186414228702774,0.8278317939437225,72,70,-0.014503655328356933,0.0077235660279985,134601216
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Sem,ses-5,72,-0.0088817427487944,-0.0114486037920342,-0.0057991786334445,BrainAlign/gpt2-babylm-5,0.8186414228702774,0.8278317939437225,72,70,-0.010849368845340981,0.0077235660279985,134601216
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Sem,ses-5,72,-0.0121904016840465,-0.0056106821076532,-0.0084317166316008,BrainAlign/gpt2-babylm-5,0.8186414228702774,0.8278317939437225,72,70,-0.014891014971249752,0.0077235660279985,134601216
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Sem,ses-5,72,-0.009670350333393,-0.004628776007558,-0.0065666449228093,BrainAlign/gpt2-babylm-5,0.8186414228702774,0.8278317939437225,72,70,-0.011812681429541309,0.0077235660279985,134601216
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Sem,ses-5,72,-0.0137383209078519,-0.0079617812970059,-0.0095103344572763,BrainAlign/gpt2-babylm-5,0.8186414228702774,0.8278317939437225,72,70,-0.016781854086595476,0.0077235660279985,134601216
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Sem,ses-5,72,-0.0116921485590801,-0.0054290347611146,-0.0081199525922659,BrainAlign/gpt2-babylm-5,0.8186414228702774,0.8278317939437225,72,70,-0.014282380823200595,0.0077235660279985,134601216
ds003604,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Sem,ses-5,72,-0.0121310394335734,-0.0060167706259384,-0.0083612787838139,BrainAlign/gpt2-babylm-5,0.8186414228702774,0.8278317939437225,72,70,-0.014818501843017166,0.0077235660279985,134601216
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-01,191,,Sem,ses-5,72,-0.0143948707324763,-0.0218279124782577,-0.0095495346508273,BrainAlign/gpt2-babylm-7,0.8186414228702774,0.8278317939437225,72,70,-0.017583853357927778,0.0077235660279985,134601216
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-02,382,,Sem,ses-5,72,-0.0175516358643698,-0.0191909616462999,-0.0114611565894606,BrainAlign/gpt2-babylm-7,0.8186414228702774,0.8278317939437225,72,70,-0.021439955729128855,0.0077235660279985,134601216
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-03,573,,Sem,ses-5,72,-0.007187787186023,-0.0108325850332003,-0.0047609860073684,BrainAlign/gpt2-babylm-7,0.8186414228702774,0.8278317939437225,72,70,-0.00878014107913274,0.0077235660279985,134601216
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-04,764,,Sem,ses-5,72,-0.0085312039384236,-0.0119252343902565,-0.0057128157070275,BrainAlign/gpt2-babylm-7,0.8186414228702774,0.8278317939437225,72,70,-0.010421173055856303,0.0077235660279985,134601216
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-05,1146,,Sem,ses-5,72,-0.0127372205259277,-0.0090246984413757,-0.0087379681437177,BrainAlign/gpt2-babylm-7,0.8186414228702774,0.8278317939437225,72,70,-0.015558973892707662,0.0077235660279985,134601216
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-06,1337,,Sem,ses-5,72,-0.0102715442091011,-0.0055154074132851,-0.0071515853109524,BrainAlign/gpt2-babylm-7,0.8186414228702774,0.8278317939437225,72,70,-0.012547061414370595,0.0077235660279985,134601216
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-07,1528,,Sem,ses-5,72,-0.0145629923926513,-0.0075035959198409,-0.0102098129109512,BrainAlign/gpt2-babylm-7,0.8186414228702774,0.8278317939437225,72,70,-0.017789220024551536,0.0077235660279985,134601216
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-08,1719,,Sem,ses-5,72,-0.0118288579405746,-0.0051994372422035,-0.0084372291588189,BrainAlign/gpt2-babylm-7,0.8186414228702774,0.8278317939437225,72,70,-0.014449376259389468,0.0077235660279985,134601216
ds003604,babylm-gpt2-7,BrainAlign/gpt2-babylm-7@checkpoint-09,1908,,Sem,ses-5,72,-0.0127345875054966,-0.0062082882132202,-0.0089100814935273,BrainAlign/gpt2-babylm-7,0.8186414228702774,0.8278317939437225,72,70,-0.015555757563363042,0.0077235660279985,134601216
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,598,,Sem,ses-5,72,-0.0045564950338694,7.893831704200785e-05,-0.0032401409981961,BrainAlign/gpt2-babylm-9,0.8186414228702774,0.8278317939437225,72,70,-0.005565922889527942,0.0077235660279985,134601216
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,897,,Sem,ses-5,72,-0.0032728752965053,-0.0021410420287716,-0.0021425355787694,BrainAlign/gpt2-babylm-9,0.8186414228702774,0.8278317939437225,72,70,-0.003997935121619081,0.0077235660279985,134601216
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,1196,,Sem,ses-5,72,0.0027879913615227,0.0018371911306564,0.0021259979971151,BrainAlign/gpt2-babylm-9,0.8186414228702774,0.8278317939437225,72,70,0.003405631920930157,0.0077235660279985,134601216
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,1495,,Sem,ses-5,72,-0.0063709781129422,-0.0063867840392689,-0.0044253343500883,BrainAlign/gpt2-babylm-9,0.8186414228702774,0.8278317939437225,72,70,-0.007782379360434282,0.0077235660279985,134601216
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,1794,,Sem,ses-5,72,-0.0003685653708278,0.0015272328869153,-0.0004838773891446,BrainAlign/gpt2-babylm-9,0.8186414228702774,0.8278317939437225,72,70,-0.00045021588271890216,0.0077235660279985,134601216
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,2093,,Sem,ses-5,72,-0.0053449337429764,-0.0058172583547008,-0.0033332414578796,BrainAlign/gpt2-babylm-9,0.8186414228702774,0.8278317939437225,72,70,-0.006529029186229393,0.0077235660279985,134601216
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,2392,,Sem,ses-5,72,-0.0063524707962983,-0.0055787501421692,-0.0043212088359686,BrainAlign/gpt2-babylm-9,0.8186414228702774,0.8278317939437225,72,70,-0.0077597720061924075,0.0077235660279985,134601216
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,2691,,Sem,ses-5,72,-0.0075685769865872,-0.0067520458325419,-0.0052626259842157,BrainAlign/gpt2-babylm-9,0.8186414228702774,0.8278317939437225,72,70,-0.009245289543315136,0.0077235660279985,134601216
ds003604,babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,2990,,Sem,ses-5,72,-0.0068687763520099,-0.0060138342705254,-0.0046991232019208,BrainAlign/gpt2-babylm-9,0.8186414228702774,0.8278317939437225,72,70,-0.008390457848965128,0.0077235660279985,134601216
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,Sem,ses-5,72,-0.0036876981796562,0.0022815530883913,-0.0022662611896646,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.004504656222655564,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,Sem,ses-5,72,-0.0036876981796562,0.0022815530883913,-0.0022662611896646,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.004504656222655564,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,Sem,ses-5,72,-0.0036876981796562,0.0022815530883913,-0.0022662611896646,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.004504656222655564,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,Sem,ses-5,72,-0.0036680353234781,0.0022818636252279,-0.0022454360868406,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.0044806373352296635,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,Sem,ses-5,72,-0.0036721235476137,0.002281122094544,-0.0022533986261557,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.004485631248341544,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,8,,Sem,ses-5,72,-0.0036966945723355,0.0022828355886359,-0.0022723862199069,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.004515645640522739,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,16,,Sem,ses-5,72,-0.0038018206438007,0.0022877820764993,-0.0023409865586211,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.004644060925320583,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,32,,Sem,ses-5,72,-0.0046998789496882,0.0021341999736103,-0.0029602271161213,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.005741071509928892,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,64,,Sem,ses-5,72,-0.0320178956567993,-0.0152644023426501,-0.021403918181846,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.039111013396487856,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,128,,Sem,ses-5,72,-0.0188496430750012,-0.0170175844235467,-0.0128307133516471,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.02302551831412534,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Sem,ses-5,72,-0.0057183332645794,-0.0053017298648367,-0.00396840709401,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.006985150158331937,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Sem,ses-5,72,-0.0009357110729478,0.0011711478570766,-0.0006541532298815,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.0011430047964920455,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Sem,ses-5,72,-0.0030638297150663,0.0095480652946472,-0.0024487870908862,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,-0.0037425784103668515,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Sem,ses-5,72,0.0182011899319263,-0.0012177516446762,0.0123057982598789,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,0.022233409431091634,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,4096,,Sem,ses-5,72,0.0274944700372856,0.0174615356762956,0.0183309905092656,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,0.03358548598834144,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,8192,,Sem,ses-5,72,0.023502481217533,0.0327528487244941,0.0156947774929638,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,0.028709127782869624,0.0077235660279985,193804032
ds003604,beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,16384,,Sem,ses-5,72,0.013139982105881,0.0119533489724407,0.0086044424844347,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng,0.8186414228702774,0.8278317939437225,72,70,0.016050961677226503,0.0077235660279985,193804032
