family,params,n_checkpoints,n_rows,n_cells,rsa_mean,rsa_sd,rsa_sd_all_rows,rsa_abs_max,best_rsa,best_cell,best_step,frac_of_ceiling_mean,frac_of_ceiling_abs_max,seed_null_sd,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,p_equivalence_tost,equivalent_to_zero,mean_in_seed_sd
pythia-1b-full,1078891008.0,21,21,1,0.006349856391524238,,0.007974296896423733,0.0246214006403205,0.0246214006403205,Sem/ses-5,33000,0.007756578416543725,0.030075928181100636,0.0077235660279985,,,,False,,False,0.8221404942361517
beetle-fineweb3-eng,193804032.0,19,19,1,0.0006065935797253524,,0.014052875623276293,0.0320178956567993,-0.0320178956567993,Sem/ses-5,64,0.0007409759178793406,0.039111013396487856,0.0077235660279985,,,,False,,False,0.07853801955293781
pythia-160m-full,212654688.0,21,21,1,-0.0012834673216721142,,0.005645394878826088,0.0181688513532088,-0.0181688513532088,Sem/ses-5,56000,-0.001567801586648387,0.022193906691779813,0.0077235660279985,,,,False,,False,-0.16617548383990632
pythia-410m-full,505997504.0,21,21,1,-0.0017368429909927045,,0.0044377028607728835,0.0084201995626117,-0.0084201995626117,Sem/ses-5,32,-0.002121616305345358,0.010285577210458323,0.0077235660279985,,,,False,,False,-0.22487578725895782
babylm-gpt2,134601216.0,9,9,1,-0.004212853370054867,,0.00342096303203595,0.0075685769865872,-0.0075685769865872,Sem/ses-5,2691,-0.005146152213119124,0.009245289543315136,0.0077235660279985,,,,False,,False,-0.5454544383750927
beetle-humanscale-eng,193811712.0,18,18,1,-0.004241103445173809,,0.006086546453411249,0.0158873858598847,-0.0158873858598847,Sem/ses-5,4000,-0.0051806606979449875,0.019407014372887686,0.0077235660279985,,,,False,,False,-0.5491120849876203
pythia-70m-full,95592496.0,21,21,1,-0.005034801653427787,,0.009049256607678025,0.025458060847787,-0.025458060847787,Sem/ses-5,64,-0.006150191662394787,0.031097938775840696,0.0077235660279985,,,,False,,False,-0.6518752652824171
pythia-1.4b-full,1515311488.0,21,21,1,-0.006410649344211907,,0.005652316745790069,0.0145097082226385,-0.0145097082226385,Sem/ses-5,4000,-0.007830839199090642,0.017724131490641316,0.0077235660279985,,,,False,,False,-0.8300115932165049
babylm-gpt2-7,134601216.0,9,9,1,-0.012200077810560445,,0.003202628152092407,0.0175516358643698,-0.0175516358643698,Sem/ses-5,382,-0.014902834708491998,0.021439955729128855,0.0077235660279985,,,,False,,False,-1.5795913139519049
babylm-gpt2-5,134601216.0,9,9,1,-0.012410165629253489,,0.0024185348999576166,0.0166899015988021,-0.0166899015988021,Sem/ses-5,382,-0.01515946455010989,0.020387316268806494,0.0077235660279985,,,,False,,False,-1.6067921973173684
babylm-gpt2-3,134601216.0,9,9,1,-0.013072110526794288,,0.0034700517157265002,0.0183280290798997,-0.0183280290798997,Sem/ses-5,382,-0.01596805409743566,0.022388348021333847,0.0077235660279985,,,,False,,False,-1.6924967663132442
