control,n_cells,rsa_mean,rsa_max,z_max,p_min,n_significant,frac_of_ceiling_max
acoustic_spectrum,1,0.020693440064943575,0.020693440064943575,1.2273992070589552,0.1949610077984403,0,0.02527778638557594
condition,1,0.01872677849120139,0.01872677849120139,0.9655123449193637,0.3245350929814037,0,0.022875438056938535
text_edit_distance,1,0.008363821294500614,0.008363821294500614,0.4503939543164993,0.6570685862827434,0,0.010216710580068273
acoustic_envelope,1,-0.000630613423587288,-0.000630613423587288,-0.03602814508122876,0.9698060387922416,0,-0.0007703171325448563
word_length,1,-0.0008752645962717746,-0.0008752645962717746,-0.07903552318106721,0.9566086782643471,0,-0.0010691673992327874
n_phonemes,1,-0.004726048709033401,-0.004726048709033401,-0.2617443084525344,0.7732453509298141,0,-0.005773039636708609
duration,1,-0.0063433954955496325,-0.0063433954955496325,-0.35412230276223106,0.7186562687462508,0,-0.007748687303440162
log_frequency,1,-0.009193700336210588,-0.009193700336210588,-0.5120260549286816,0.591881623675265,0,-0.01123043788091222
n_syllables,1,-0.012622046464526573,-0.012622046464526573,-0.7215865807294922,0.45810837832433515,0,-0.01541828682315739
presentation_order,1,-0.028932826838371027,-0.028932826838371027,-1.5879688526038593,0.09338132373525294,0,-0.03534249569215816
intensity,1,-0.010091012734691483,-0.010091012734691483,-1.728436347760642,0.012997400519896021,0,-0.012326537468933555
run_identity,1,-0.03543492417916518,-0.03543492417916518,-1.7866305487335785,0.0609878024395121,0,-0.04328504304644041
