file,n_stimuli,n_voxels,frac_voxels_near_constant,pattern_effective_rank,pc1_vs_global_signal,pc1_vs_mean_map,rdm_vs_amplitude_rsa,top2_variance_share
sub-5004_ses-7_run-01_patterns.npz,48,22529,0.0,2,0.6435084672166739,0.8723792883234939,0.5926576854844707,0.9025974842575373
sub-5004_ses-7_run-02_patterns.npz,48,23038,0.0,2,0.7132001736864959,0.09784955518901428,0.4280161377877641,0.94848753346002
sub-5008_ses-7_run-01_patterns.npz,48,19632,0.0,2,0.5,0.39395139568412957,0.22616019989030134,0.9391418770419069
sub-5008_ses-7_run-02_patterns.npz,48,18252,0.0,2,0.9920755536257057,0.8072152231743069,0.5806991809521559,0.9488727003571087
sub-5008_ses-9_run-01_patterns.npz,48,13353,0.0,2,0.9912071211463307,0.9881576048358549,0.23129379901518682,0.9203515485479046
sub-5008_ses-9_run-02_patterns.npz,48,13907,0.0,2,0.7954841511072513,0.7883070276142762,0.5671230716845078,0.921129094550296
sub-5009_ses-7_run-01_patterns.npz,48,18489,0.0,2,0.9982631350412506,0.5832634064816358,0.517274564106977,0.9114727776174757
sub-5009_ses-7_run-02_patterns.npz,48,16431,0.0,2,0.9938124185844551,0.8032866524181913,0.43597937467008846,0.9036029824397909
sub-5009_ses-9_run-01_patterns.npz,48,10114,0.0,2,0.7086409031697786,0.9985739798185016,0.37385634470659274,0.9260307193280664
sub-5009_ses-9_run-02_patterns.npz,48,10827,0.0,2,0.4884932696482848,0.4082147699262028,0.3392409979726264,0.9227767644827293
sub-5010_ses-7_run-01_patterns.npz,48,26111,0.0,2,0.877008250108554,0.14216920297163316,0.5041457057599127,0.9232746669737729
sub-5010_ses-7_run-02_patterns.npz,48,26456,0.0,2,0.6288536691272253,0.9750404994649702,0.5582216053272199,0.922328652947175
