family,rsa_mean,rsa_sd,mean_in_seed_sd,rsa_abs_max,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,frac_of_ceiling_abs_max,p_equivalence_tost,equivalent_to_zero
pythia-1b-full,0.006349856391524238,,0.8221404942361517,0.0246214006403205,,,,False,0.030075928181100636,,False
beetle-fineweb3-eng,0.0006065935797253524,,0.07853801955293781,0.0320178956567993,,,,False,0.039111013396487856,,False
pythia-160m-full,-0.0012834673216721142,,-0.16617548383990632,0.0181688513532088,,,,False,0.022193906691779813,,False
pythia-410m-full,-0.0017368429909927045,,-0.22487578725895782,0.0084201995626117,,,,False,0.010285577210458323,,False
babylm-gpt2,-0.004212853370054867,,-0.5454544383750927,0.0075685769865872,,,,False,0.009245289543315136,,False
beetle-humanscale-eng,-0.004241103445173809,,-0.5491120849876203,0.0158873858598847,,,,False,0.019407014372887686,,False
pythia-70m-full,-0.005034801653427787,,-0.6518752652824171,0.025458060847787,,,,False,0.031097938775840696,,False
pythia-1.4b-full,-0.006410649344211907,,-0.8300115932165049,0.0145097082226385,,,,False,0.017724131490641316,,False
babylm-gpt2-7,-0.012200077810560445,,-1.5795913139519049,0.0175516358643698,,,,False,0.021439955729128855,,False
babylm-gpt2-5,-0.012410165629253489,,-1.6067921973173684,0.0166899015988021,,,,False,0.020387316268806494,,False
babylm-gpt2-3,-0.013072110526794288,,-1.6924967663132442,0.0183280290798997,,,,False,0.022388348021333847,,False
