control,n_cells,rsa_mean,rsa_max,z_max,p_min,n_significant,frac_of_ceiling_max
acoustic_spectrum,12,0.0044972781299224334,0.05372725690425963,3.1492591609633647,0.009398120375924815,0,0.06816217882921632
n_phonemes,6,0.014726403534543115,0.04911478826071086,2.778581651859007,0.013997200559888023,0,0.05805421427318886
n_syllables,9,0.0196297645118126,0.05190470257396235,2.578284835255496,0.01919616076784643,0,0.06073168423169257
duration,12,0.010143939060329269,0.049745911957103796,2.167263879887387,0.03579284143171366,0,0.07712710301652284
text_edit_distance,12,0.008552623662474322,0.040865741417893564,2.153315454717289,0.03459308138372325,0,0.04928779537878319
acoustic_envelope,12,-0.00017261608125114674,0.04429738198671997,1.886636539109984,0.052389522095580884,0,0.060944504165236675
condition,12,-0.0015266319971079677,0.02934216980800111,1.5177493350789568,0.10337932413517296,0,0.03722554139054951
word_length,12,-0.00399903202215313,0.016321643287971338,0.8152294211970119,0.20315936812637472,0,0.018827904116877247
intensity,9,-0.005588126232095726,0.0035634426911128163,0.5897563470629518,0.15536892621475704,0,0.004142981361121349
log_frequency,12,-0.012210662426797416,0.0014654526859108061,0.07283310212422207,0.15896820635872824,0,0.0022720685142840675
presentation_order,12,-0.08899427420047411,-0.024695920215532154,-1.3495670224898315,0.0001999600079984003,6,-0.0318104698288678
run_identity,12,-0.11716972971261713,-0.028563448504782155,-1.3737093030933247,0.0001999600079984003,6,-0.03829894057925991
